charming,1
cheerful,2
confident,0.5
contemporary,-1
cool,1.25
corporate,-0.25
daring,-0.5
down_to_earth,1
exciting,1
family_oriented,2
feminine,-0.5
friendly,2
glamorous,-1
good_looking,-0.5
hard_working,0.1
honest,0.5
imaginative,0.5
independent,0.75
intelligent,0.5
leader,0.25
masculine,0
original,0.5
outdoorsy,-1
real,0.5
reliable,1
rugged,-1
secure,-0.5
sentimental,1.5
sincere,1
small_town,1
smooth,-0.5
spirited,-0.25
successful,1
technical,-1.5
tough,-2
trendy,-1
unique,1
up_to_date,-1
upper_class,-0.25
western,0.25
wholesome,-0.5
young,-0.5
