,precision,recall,f1-score,support,auc,index,K,logo_dec,des_enc,batches,iters,adam_lr,annealing_batches,num_particles,center_bp,weight_decay,folds
global.mmark_absbot,0.0,0.0,0.0,6.0,0.6286549707602339,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_absleft,0.0,0.0,0.0,20.0,0.5684713375796179,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_absright,0.0,0.0,0.0,6.0,0.4152046783625731,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_abstop,0.0,0.0,0.0,12.0,0.5752525252525252,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_avgbot,0.0,0.0,0.0,7.0,0.7252100840336135,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_avgleft,0.3333333333333333,0.14583333333333334,0.2028985507246377,48.0,0.5613695090439277,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_avgright,0.0,0.0,0.0,21.0,0.3806471306471306,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_avgtop,0.0,0.0,0.0,17.0,0.5408088235294117,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.width_has_condensed,0.0,0.0,0.0,59.0,0.4961218040792875,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.width_has_wide,0.0,0.0,0.0,42.0,0.5573192239858906,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.width_has_orig,0.7784090909090909,0.9927536231884058,0.872611464968153,138.0,0.5102192493496841,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.weight_has_bold,0.7125,0.926829268292683,0.8056537102473498,123.0,0.6160794941282747,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.weight_has_light,0.0,0.0,0.0,16.0,0.5671583850931677,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.weight_has_orig,0.6120689655172413,0.7395833333333334,0.669811320754717,96.0,0.6271862139917697,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.style_has_italic,0.4,0.08333333333333333,0.13793103448275862,48.0,0.6187015503875969,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.style_has_orig,0.8218390804597702,0.9862068965517241,0.896551724137931,145.0,0.6273706896551724,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.blue_dark,0.0,0.0,0.0,19.0,0.5343104596935376,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.grey_light,0.375,0.14285714285714285,0.20689655172413796,63.0,0.5226956279587858,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.red,0.35294117647058826,0.13333333333333333,0.19354838709677416,45.0,0.5932659932659932,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.blue_light,0.0,0.0,0.0,31.0,0.5203269995581087,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.black,0.5849056603773585,0.41333333333333333,0.484375,75.0,0.631111111111111,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.blue_medium,0.35714285714285715,0.09803921568627451,0.15384615384615385,51.0,0.5568004979769685,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.orange,0.0,0.0,0.0,13.0,0.6510318949343339,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.red_dark,0.0,0.0,0.0,7.0,0.3857142857142857,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.green_light,0.0,0.0,0.0,15.0,0.5366255144032922,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.grey_dark,0.375,0.16666666666666666,0.23076923076923078,36.0,0.6317966903073287,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.green_dark,0.0,0.0,0.0,8.0,0.3927514792899408,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.brown,0.0,0.0,0.0,8.0,0.525887573964497,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
color.yellow,0.5,0.1,0.16666666666666669,10.0,0.5970059880239521,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.has_mark,0.8914285714285715,0.9873417721518988,0.936936936936937,158.0,0.4860093271152565,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
binfont.grotesque,0.5454545454545454,0.1016949152542373,0.17142857142857146,59.0,0.48721631715024416,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
binfont.geom,0.0,0.0,0.0,61.0,0.46466930469191636,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
binfont.geom.square,0.0,0.0,0.0,14.0,0.5753724802804557,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
binfont.humanist,0.0,0.0,0.0,12.0,0.4964646464646465,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
binfont.transitional,0.0,0.0,0.0,6.0,0.5155945419103314,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
binfont.oldstyle,0.0,0.0,0.0,7.0,0.7100840336134453,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
binfont.clarendon,0.0,0.0,0.0,3.0,0.4578544061302682,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
binfont.slab,0.0,0.0,0.0,5.0,0.672093023255814,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
binfont.didone,0.0,0.0,0.0,10.0,0.6365269461077845,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.black,0.3333333333333333,0.03125,0.05714285714285714,32.0,0.5443965517241379,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.blue_dark,0.0,0.0,0.0,6.0,0.4727095516569201,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.blue_light,0.0,0.0,0.0,14.0,0.4864154250657319,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.blue_medium,0.0,0.0,0.0,10.0,0.48203592814371266,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.brown,0.0,0.0,0.0,7.0,0.5361344537815126,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.green_dark,0.0,0.0,0.0,2.0,0.32571428571428573,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.green_light,0.0,0.0,0.0,12.0,0.6222222222222222,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.grey_dark,0.375,0.0967741935483871,0.15384615384615383,31.0,0.6816173221387538,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.grey_light,0.391304347826087,0.14516129032258066,0.21176470588235294,62.0,0.5166900420757363,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.orange,0.0,0.0,0.0,10.0,0.5778443113772456,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.red,0.0,0.0,0.0,20.0,0.6356687898089173,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.red_dark,0.0,0.0,0.0,5.0,0.48720930232558146,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ac.yellow,0.0,0.0,0.0,7.0,0.5924369747899159,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
zero_sat,0.5,0.06666666666666667,0.11764705882352941,15.0,0.6045267489711935,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
high_sat,0.23809523809523808,0.14285714285714285,0.17857142857142855,35.0,0.5708249496981892,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
high_sat_sd,0.35714285714285715,0.13157894736842105,0.1923076923076923,38.0,0.6471033699356304,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
low_sat,0.3333333333333333,0.14634146341463414,0.2033898305084746,41.0,0.6065279770444764,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
low_sat_sd,0.3333333333333333,0.15151515151515152,0.20833333333333331,33.0,0.6332070707070706,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
down_diag-low,0.17647058823529413,0.06818181818181818,0.09836065573770492,44.0,0.5428913192071086,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
entropy-low,0.3333333333333333,0.09090909090909091,0.14285714285714288,44.0,0.5616883116883117,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
gpc-low,0.3125,0.11363636363636363,0.16666666666666666,44.0,0.5449419002050582,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
h_sym-low,0.0,0.0,0.0,45.0,0.5653198653198653,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
hor-low,0.3333333333333333,0.021739130434782608,0.04081632653061224,46.0,0.5499502157318288,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
mean_light-low,0.3333333333333333,0.17391304347826086,0.22857142857142854,46.0,0.5360106206438765,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ncorners-low,0.2727272727272727,0.06521739130434782,0.10526315789473684,46.0,0.4754397610355128,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
nregions-low,0.2857142857142857,0.10526315789473684,0.15384615384615385,38.0,0.5744036349867474,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
perc_white-low,0.30434782608695654,0.1794871794871795,0.22580645161290322,39.0,0.533816425120773,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
sd_light-low,0.32,0.19047619047619047,0.2388059701492537,42.0,0.6155202821869489,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
up_diag-low,0.3157894736842105,0.1935483870967742,0.24000000000000002,31.0,0.4856385329209014,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
v_sym-low,0.0,0.0,0.0,51.0,0.5966386554621849,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
down_diag-high,0.14285714285714285,0.023255813953488372,0.04,43.0,0.5711558486636584,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
entropy-high,0.0,0.0,0.0,44.0,0.5473342447026658,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
gpc-high,0.46153846153846156,0.13333333333333333,0.20689655172413796,45.0,0.5055555555555555,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
h_sym-high,0.2727272727272727,0.07692307692307693,0.12000000000000001,39.0,0.6010776662950577,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
hor-high,0.25,0.06818181818181818,0.10714285714285714,44.0,0.541866028708134,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
mean_light-high,0.17391304347826086,0.09302325581395349,0.12121212121212122,43.0,0.557098229781326,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
ncorners-high,0.6666666666666666,0.1276595744680851,0.21428571428571427,47.0,0.5361702127659574,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
nregions-high,0.5,0.018518518518518517,0.03571428571428571,54.0,0.522583559168925,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
perc_white-high,0.2857142857142857,0.14285714285714285,0.19047619047619047,42.0,0.5892416225749559,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
sd_light-high,0.36363636363636365,0.17391304347826086,0.2352941176470588,46.0,0.590939263192831,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
up_diag-high,0.09090909090909091,0.02040816326530612,0.03333333333333333,49.0,0.5191326530612245,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
v_sym-high,0.0,0.0,0.0,48.0,0.5478036175710594,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
no_chars,0.0,0.0,0.0,4.0,0.5260115606936416,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
many_chars,0.5,0.06818181818181818,0.12000000000000001,44.0,0.5478468899521531,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
many_marks,0.0,0.0,0.0,6.0,0.3996101364522417,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
micro avg,0.5939306358381503,0.2727272727272727,0.373806275579809,3014.0,0.5512613893289513,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
macro avg,0.20472711307301314,0.10807831351051227,0.12521758916193027,3014.0,0.5512613893289513,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
weighted avg,0.3639070477138153,0.2727272727272727,0.28041179148454654,3014.0,0.5512613893289513,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
samples avg,0.62211948440762,0.2782441884494366,0.371783766379312,3014.0,0.5512613893289513,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_absbot,0.0,0.0,0.0,2.0,0.4685714285714285,1,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_absleft,0.0,0.0,0.0,25.0,0.5449999999999999,1,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_absright,0.0,0.0,0.0,6.0,0.45029239766081874,1,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_abstop,0.0,0.0,0.0,14.0,0.6310254163014899,1,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_avgbot,0.0,0.0,0.0,4.0,0.2817919075144509,1,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
