,precision,recall,f1-score,support,auc,index,K,logo_dec,des_enc,batches,iters,adam_lr,annealing_batches,num_particles,center_bp,weight_decay,folds
global.mmark_absbot,0.0,0.0,0.0,3.0,1.0,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_absleft,1.0,0.5675675675675675,0.7241379310344828,74.0,0.9915651915651915,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_absright,0.0,0.0,0.0,12.0,0.9782398452611218,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_abstop,0.8,0.12903225806451613,0.2222222222222222,31.0,0.9768104676771603,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_avgbot,0.0,0.0,0.0,11.0,0.964022464022464,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_avgleft,0.9821428571428571,0.7801418439716312,0.8695652173913042,141.0,0.9861080646340571,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_avgright,0.0,0.0,0.0,52.0,0.9280761167553621,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
global.mmark_avgtop,1.0,0.32786885245901637,0.49382716049382713,61.0,0.9709611881743029,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.width_has_condensed,0.8444444444444444,0.21839080459770116,0.34703196347031967,174.0,0.8133559980573093,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.width_has_wide,0.8333333333333334,0.15503875968992248,0.26143790849673204,129.0,0.8658139534883721,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.width_has_orig,0.8476953907815631,0.9929577464788732,0.9145945945945946,426.0,0.9009754318793017,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
font.weight_has_bold,0.8173302107728337,0.9432432432432433,0.8757841907151819,370.0,0.8747407785143634,0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0
