StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q7,1_Q2,2_Q2,3_Q2,4_Q2,5_Q2,6_Q2,7_Q2,8_Q2,9_Q2,10_Q2,11_Q2,12_Q2,13_Q2,14_Q2,15_Q2,16_Q2,17_Q2,18_Q2,19_Q2,20_Q2,21_Q2,22_Q2,23_Q2,24_Q2,25_Q2,26_Q2,27_Q2,28_Q2,29_Q2,30_Q2,31_Q2,32_Q2,33_Q2,34_Q2,35_Q2,36_Q2,37_Q2,38_Q2,39_Q2,40_Q2,41_Q2,42_Q2,43_Q2,44_Q2,45_Q2,46_Q2,47_Q2,48_Q2,49_Q2,50_Q2,Q13,Q11,Q13,Q15,WBLID,Session,Payment,Bonus,Retake,Complete
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"By taking this survey, you are participating in a study being performed by researchers at Wharton. If you have questions about this research, please contact Ryan Dew at ryandew@wharton.upenn.edu. Your participation in this research is voluntary. You may decline to participate, without adverse consequences, and exit the study. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you except the limited demographic information collected at the end of the survey.","Adidas - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Arthur J Gallagher  Co - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Autozone - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Becton Dickinson And Company - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Bed Bath And Beyond - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Biogen Idec Inc - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Burberry - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Canon - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Cbi - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Cbs - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Charter Communications - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Chesapeake Energy Corporation - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Community Health Systems - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Corning - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Dana Holding Corporation - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Dell - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Discovery Media - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Dollar Tree - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Domtar Corporation - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Duke Energy - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Erie Insurance Group - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Estee Lauder - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","First Data Corp - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Fiserv Inc - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Fmc Technologies - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Gmc - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Huntsman Corporation - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Hyatt - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Ikea - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Infosys - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Jarden Corporation - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Kfc - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Kia - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Land Olakes - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Lowes - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Max Factor - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Mini - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Nvr - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Oral B - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Paypal - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Porsche - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Ramada - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Spartannash Company - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Steel Dynamics - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Target - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Telephone And Data Systems - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","The Home Depot - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Waste Management - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Wellcare Health Plans - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?","Ww Grainger Inc - Across all four domains shown above, which of the two follow-up brands is more similar to the focal brand, [Field-1]?",Were you familiar with the brands shown?,What do you consider your primary country of residence?,How long have you lived in the United States?,How old are you?,WBLID,Session,Payment,Bonus,Retake,Complete
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""1_QID2""}","{""ImportId"":""2_QID2""}","{""ImportId"":""3_QID2""}","{""ImportId"":""4_QID2""}","{""ImportId"":""5_QID2""}","{""ImportId"":""6_QID2""}","{""ImportId"":""7_QID2""}","{""ImportId"":""8_QID2""}","{""ImportId"":""9_QID2""}","{""ImportId"":""10_QID2""}","{""ImportId"":""11_QID2""}","{""ImportId"":""12_QID2""}","{""ImportId"":""13_QID2""}","{""ImportId"":""14_QID2""}","{""ImportId"":""15_QID2""}","{""ImportId"":""16_QID2""}","{""ImportId"":""17_QID2""}","{""ImportId"":""18_QID2""}","{""ImportId"":""19_QID2""}","{""ImportId"":""20_QID2""}","{""ImportId"":""21_QID2""}","{""ImportId"":""22_QID2""}","{""ImportId"":""23_QID2""}","{""ImportId"":""24_QID2""}","{""ImportId"":""25_QID2""}","{""ImportId"":""26_QID2""}","{""ImportId"":""27_QID2""}","{""ImportId"":""28_QID2""}","{""ImportId"":""29_QID2""}","{""ImportId"":""30_QID2""}","{""ImportId"":""31_QID2""}","{""ImportId"":""32_QID2""}","{""ImportId"":""33_QID2""}","{""ImportId"":""34_QID2""}","{""ImportId"":""35_QID2""}","{""ImportId"":""36_QID2""}","{""ImportId"":""37_QID2""}","{""ImportId"":""38_QID2""}","{""ImportId"":""39_QID2""}","{""ImportId"":""40_QID2""}","{""ImportId"":""41_QID2""}","{""ImportId"":""42_QID2""}","{""ImportId"":""43_QID2""}","{""ImportId"":""44_QID2""}","{""ImportId"":""45_QID2""}","{""ImportId"":""46_QID2""}","{""ImportId"":""47_QID2""}","{""ImportId"":""48_QID2""}","{""ImportId"":""49_QID2""}","{""ImportId"":""50_QID2""}","{""ImportId"":""QID19""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""WBLID""}","{""ImportId"":""Session""}","{""ImportId"":""Payment""}","{""ImportId"":""Bonus""}","{""ImportId"":""Retake""}","{""ImportId"":""Complete""}"
2021-02-08 12:47:50,2021-02-08 12:54:27,IP Address,100,396,True,2021-02-08 12:54:27,R_2fiCByBUvGLx0mg,anonymous,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,,,,Brand #2: ${lm://Field/13},,,,,,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,I was familiar with very few of the brands,Something else,Less than 1 year,Older than 55,,,,,,
2021-02-10 10:02:05,2021-02-10 10:04:26,IP Address,100,141,True,2021-02-10 10:04:26,R_12RrOCRbBSe3EYC,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,,,Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,,,,,,,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,"I was familiar with some of the brands, but not most of the brands",United States,4-10 years,18-24,52092,120130,5 Amazon Gift Card,0,False,2021-02-10T10:04:26-05:00
2021-02-10 10:00:59,2021-02-10 10:05:05,IP Address,100,246,True,2021-02-10 10:05:05,R_3HIGSl6UBRySMQG,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},,,,,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,51405,120130,5 Amazon Gift Card,0,False,2021-02-10T10:05:05-05:00
2021-02-10 10:01:48,2021-02-10 10:05:07,IP Address,100,199,True,2021-02-10 10:05:07,R_3HZEFunylJawsjD,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},,,,,,,,,,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,,,,,Brand #2: ${lm://Field/13},,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,63205,120130,5 Amazon Gift Card,0,False,2021-02-10T10:05:07-05:00
2021-02-10 10:01:44,2021-02-10 10:05:18,IP Address,100,214,True,2021-02-10 10:05:19,R_2v9bF2ZR279y1aU,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,,,,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,,,,,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,,,,,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,61612,120130,5 Amazon Gift Card,0,False,2021-02-10T10:05:18-05:00
2021-02-10 10:01:57,2021-02-10 10:05:25,IP Address,100,208,True,2021-02-10 10:05:26,R_3O1DH3kzAA8uyT7,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,,,,,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,,,Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},,,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,61746,120130,5 Amazon Gift Card,0,False,2021-02-10T10:05:25-05:00
2021-02-10 10:01:07,2021-02-10 10:05:34,IP Address,100,267,True,2021-02-10 10:05:35,R_AKIOII8rvG37IAh,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,,,,,,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,47540,120130,5 Amazon Gift Card,0,False,2021-02-10T10:05:34-05:00
2021-02-10 10:02:29,2021-02-10 10:05:38,IP Address,100,188,True,2021-02-10 10:05:38,R_1FxF4Dppdv3urmK,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,63100,120130,5 Amazon Gift Card,0,False,2021-02-10T10:05:38-05:00
