"","charming","cheerful","confident","contemporary","cool","corporate","daring","down.to.earth","exciting","family.oriented","feminine","friendly","glamorous","good.looking","hard.working","honest","imaginative","independent","intelligent","leader","masculine","original","outdoorsy","real","reliable","rugged","secure","sentimental","sincere","small.town","smooth","spirited","successful","technical","tough","trendy","unique","up.to.date","upper.class","western","wholesome","young"
"21st-century-fox",1.6,1.6,2.93333333333333,1.66666666666667,1.4,2.53333333333333,2,1.46666666666667,2.33333333333333,1.8,0.8,1.73333333333333,1.73333333333333,2,1.8,1.8,1.66666666666667,2.2,2.13333333333333,2.33333333333333,2,2,1,2.2,1.93333333333333,1,1.8,1,2.2,0.6,1.26666666666667,1.4,2.93333333333333,2.4,1.8,2,1.73333333333333,2.4,1.93333333333333,1.33333333333333,1.93333333333333,1.06666666666667
"3m",1.13333333333333,1.73333333333333,2.93333333333333,2.13333333333333,2.2,2.93333333333333,1.8,1.8,1.8,1.93333333333333,0.666666666666667,2.13333333333333,0.866666666666667,1.93333333333333,2.66666666666667,2.46666666666667,2.26666666666667,2.8,3.13333333333333,2.86666666666667,1.73333333333333,2.4,1.13333333333333,3.2,3.33333333333333,1.73333333333333,3.13333333333333,1.13333333333333,2.86666666666667,0.4,2.26666666666667,2.13333333333333,3.13333333333333,2.86666666666667,2.53333333333333,2.33333333333333,2.46666666666667,2.53333333333333,1.46666666666667,1.06666666666667,2.06666666666667,0.4
"abbott-labs",1.5625,1.6875,2.8125,2.125,1.5,3,2,2.25,2.125,1.4375,0.8125,2.125,1.125,1.6875,3.125,2.8125,2.375,2.8125,2.9375,2.75,1.6875,2.125,1,3,3,0.8125,2.9375,1.75,2.3125,1.3125,1.6875,2,3,3.375,1.4375,1.8125,2,3,2.0625,1.1875,1.6875,1.0625
"abbvie-inc",1.6,1.93333333333333,2.86666666666667,2.4,1.86666666666667,2.2,2.73333333333333,1.86666666666667,2.26666666666667,2.2,1.26666666666667,2.66666666666667,0.933333333333333,1.93333333333333,3.06666666666667,2.33333333333333,2.73333333333333,2.53333333333333,3.2,2.66666666666667,1.06666666666667,2.46666666666667,0.866666666666667,2.93333333333333,2.86666666666667,0.733333333333333,2.13333333333333,1.8,2.8,0.6,2.33333333333333,2.53333333333333,2.93333333333333,2.13333333333333,1.53333333333333,1.93333333333333,2.66666666666667,3.2,1.73333333333333,1.06666666666667,2.2,1.53333333333333
"abc",1.86666666666667,2.33333333333333,2.4,2.33333333333333,2.06666666666667,2.8,1.86666666666667,1.46666666666667,2.53333333333333,2.86666666666667,1.06666666666667,2.26666666666667,1.8,2.06666666666667,2.6,2.66666666666667,2.13333333333333,2.26666666666667,2.33333333333333,2.6,1.2,2.26666666666667,0.666666666666667,2.4,2.26666666666667,0.733333333333333,3.2,2.2,2.33333333333333,0.466666666666667,1.8,2.06666666666667,3,2.13333333333333,1.26666666666667,1.66666666666667,1.93333333333333,2.8,2.06666666666667,0.8,2.26666666666667,1.13333333333333
"abm",1.375,1.8125,3.1875,2.125,2,3.125,1.375,2,1.375,2,1.125,2.5625,0.875,1.9375,2.875,2.8125,1.75,2.5,2.875,2.6875,2.0625,2.375,1.3125,2.75,3,1.5625,2.75,1.1875,2.4375,1.0625,1.9375,1.8125,2.8125,2.5,1.625,1.25,2.125,2.5625,1.5,1.4375,2,0.875
"accenture",1.73333333333333,1.33333333333333,2.46666666666667,2,2.26666666666667,3.2,2.13333333333333,1.53333333333333,2.06666666666667,1.13333333333333,1.46666666666667,1.8,1.66666666666667,1.93333333333333,2.73333333333333,2.4,2.8,2.2,2.93333333333333,2.8,1.53333333333333,2.26666666666667,0.666666666666667,2.4,2.53333333333333,1.13333333333333,2.6,1.13333333333333,1.86666666666667,0.6,1.86666666666667,2.53333333333333,3.06666666666667,2.66666666666667,2,2.64285714285714,1.86666666666667,2.73333333333333,2.4,0.866666666666667,1.66666666666667,1.73333333333333
"ace",1.64285714285714,1.64285714285714,2.57142857142857,1.5,1.78571428571429,1,1.14285714285714,2.64285714285714,0.785714285714286,2.35714285714286,0.642857142857143,2.92857142857143,0.357142857142857,1.71428571428571,3.14285714285714,2.85714285714286,1,2.42857142857143,2.35714285714286,2.14285714285714,2.85714285714286,2.42857142857143,2.78571428571429,3.14285714285714,3.14285714285714,2.64285714285714,2.78571428571429,1.85714285714286,2.78571428571429,2.07142857142857,1.85714285714286,1.5,3,1.35714285714286,2.42857142857143,0.714285714285714,1.85714285714286,2.28571428571429,0.642857142857143,1.71428571428571,2.71428571428571,0.428571428571429
"actavis",1.35714285714286,1.64285714285714,2.57142857142857,1.85714285714286,1.42857142857143,2.71428571428571,1.21428571428571,1.42857142857143,1.35714285714286,1.57142857142857,0.785714285714286,2,0.642857142857143,1.57142857142857,1.92857142857143,1.92857142857143,1.92857142857143,2.21428571428571,2.35714285714286,2.07142857142857,1,1.57142857142857,0.857142857142857,2.07142857142857,2.07142857142857,1,2.07142857142857,0.928571428571429,2.21428571428571,0.428571428571429,1.42857142857143,1.57142857142857,2.35714285714286,1.64285714285714,0.785714285714286,1.5,1.71428571428571,2.57142857142857,1.35714285714286,1.42857142857143,1.64285714285714,1
"activision-blizzard",1.66666666666667,1.66666666666667,3.06666666666667,2.53333333333333,2.86666666666667,2.4,2.8,1.73333333333333,2.93333333333333,1.46666666666667,0.733333333333333,1.93333333333333,1.93333333333333,1.86666666666667,2.6,2.06666666666667,2.93333333333333,2.46666666666667,2.8,2.8,2.26666666666667,2.6,0.466666666666667,2.46666666666667,2.46666666666667,1.53333333333333,2.6,1.13333333333333,2.13333333333333,0.533333333333333,1.86666666666667,2.73333333333333,3.13333333333333,2.86666666666667,2.2,2.8,2.66666666666667,2.93333333333333,1.33333333333333,1.6,1.46666666666667,2
"adidas",2.13333333333333,2.6,3,2.73333333333333,2.53333333333333,2.4,2.13333333333333,2.26666666666667,2.46666666666667,2.13333333333333,1.66666666666667,2.53333333333333,1.6,2.73333333333333,2.46666666666667,2.26666666666667,2.53333333333333,2.53333333333333,2.4,2.86666666666667,1.93333333333333,2.73333333333333,2.73333333333333,3.13333333333333,2.93333333333333,2,2.4,1.4,2.53333333333333,0.666666666666667,2.06666666666667,2.66666666666667,2.86666666666667,1.46666666666667,2.06666666666667,2.86666666666667,2.66666666666667,3,1.93333333333333,1.93333333333333,2,2.26666666666667
"adobe",1.4,1.2,2.65,2.45,2.35,2.75,1.9,1.7,2.2,1.25,0.9,1.8,1.5,2.05,2.4,2.65,2.85,2.25,2.85,2.9,1.2,2.5,0.4,2.35,3.05,0.7,2.65,1,2.3,0.25,2.25,1.95,2.85,3.1,1.35,2.2,2.05,2.95,2.05,1.25,1.65,1.15
"adp",1.26666666666667,1.6,3.6,2.33333333333333,1.86666666666667,3.66666666666667,1.53333333333333,2.06666666666667,1.66666666666667,1.26666666666667,0.866666666666667,2.2,1,2,3.26666666666667,2.93333333333333,1.73333333333333,2.26666666666667,3.53333333333333,3.6,1.93333333333333,2.33333333333333,0.466666666666667,3,3.4,1.33333333333333,3.26666666666667,1.06666666666667,2.66666666666667,0.2,2.13333333333333,1.66666666666667,3.73333333333333,3.33333333333333,1.53333333333333,1.66666666666667,1.93333333333333,3.33333333333333,2.26666666666667,1.53333333333333,1.4,0.533333333333333
