"","sincerity","excitement","competence","sophistication","ruggedness"
"21st-century-fox",2.63636363636364,2.81818181818182,3.11111111111111,2.83333333333333,1.4
"3m",2.54545454545455,2.45454545454545,3,1.33333333333333,2.4
"abbott-labs",1.09090909090909,0.818181818181818,2.44444444444444,0,0
"abbvie-inc",2.54545454545455,2.54545454545455,2.44444444444444,2.5,0.4
"abc",0.818181818181818,0.545454545454545,2.33333333333333,2,0.4
"abm",0.363636363636364,0.636363636363636,2.88888888888889,0.5,1.6
"accenture",0.545454545454545,1.63636363636364,2.77777777777778,0.166666666666667,0.2
"ace",1.72727272727273,0.181818181818182,1.11111111111111,0,1.2
"actavis",2,1.54545454545455,3.55555555555556,2.33333333333333,2.6
"activision-blizzard",1.63636363636364,2.45454545454545,2.22222222222222,0.5,0.8
"adidas",2.72727272727273,2.81818181818182,3.22222222222222,3.33333333333333,3.2
"adobe",2.72727272727273,2.72727272727273,2.88888888888889,3,2.6
"adp",0.727272727272727,1.27272727272727,4,1.66666666666667,1.8
"advance-auto-parts",2.09090909090909,1.36363636363636,2.44444444444444,0,3.2
"aecom-technology",2.54545454545455,2.27272727272727,2.88888888888889,1.33333333333333,0.8
"aes",0.272727272727273,0.272727272727273,1.44444444444444,0,0
"aetna",2.18181818181818,0.363636363636364,1.77777777777778,0,0
"aflac",2.18181818181818,1.18181818181818,1.88888888888889,0.333333333333333,0
"agco-corporation",0.727272727272727,0.272727272727273,1.33333333333333,0,1.6
"aig",0.181818181818182,0.818181818181818,2.22222222222222,1,2
"air-products--chemicals",1.09090909090909,1.36363636363636,1.77777777777778,1.66666666666667,1.4
"airbnb",1.90909090909091,3.36363636363636,2,2.5,0.8
"airgas",3,1.90909090909091,2.55555555555556,1.5,1.8
"ak-steel-holding-corporation",1.09090909090909,0.363636363636364,1.88888888888889,0,0.6
"akamai-technologies",2.45454545454545,3.27272727272727,3.88888888888889,2,2.2
"alaska-air-group",2.72727272727273,1.45454545454545,1.88888888888889,0.833333333333333,0.6
"alcoa",1.18181818181818,0.181818181818182,2.77777777777778,0.333333333333333,1.2
"allergan",0.272727272727273,0.272727272727273,0.555555555555556,0,0.2
"alliance-data-systems-corp",0.454545454545455,1.54545454545455,3.33333333333333,0.833333333333333,0.2
"allianz",1.63636363636364,1.81818181818182,1,1,1.4
"allstate",2.72727272727273,2,3.33333333333333,1.33333333333333,1.8
"ally-financial",1.36363636363636,1.27272727272727,4,1.33333333333333,1.2
"alphabet",1.45454545454545,1.45454545454545,2,1.5,1.4
"altria-group",1.54545454545455,2.27272727272727,1.77777777777778,2.16666666666667,1.4
"amazon",0.363636363636364,2,3.44444444444444,0.333333333333333,1.2
"ameren-corporation",1.27272727272727,1,2.88888888888889,0,1.2
"american-airlines",0.636363636363636,1.72727272727273,2.77777777777778,1,0.8
"american-electric-power-company",2.54545454545455,1.18181818181818,3.22222222222222,1,1.8
"american-express",1.72727272727273,1.90909090909091,1.77777777777778,1.66666666666667,2.2
"american-family-insurance-group",1.36363636363636,0.181818181818182,0.888888888888889,0,0
"american-financial-group",0.0909090909090909,0.0909090909090909,1.11111111111111,0.166666666666667,0.4
"ameriprise-financial",2.27272727272727,1.45454545454545,3.22222222222222,1.83333333333333,2
"amerisourcebergen",1.45454545454545,1.45454545454545,1.77777777777778,1.5,1.2
"amgen",1.09090909090909,1,1.88888888888889,0.666666666666667,0
"amphenol-corporation",1.81818181818182,2.27272727272727,3.11111111111111,1.5,2.4
"anadarko",1.27272727272727,1.36363636363636,2.11111111111111,0,2.2
"anixter-international",0.727272727272727,0.545454545454545,3.11111111111111,0.833333333333333,0.8
"anthem",1,1,1.11111111111111,1,1.8
"apache",2.45454545454545,2.63636363636364,3.33333333333333,1.83333333333333,1.4
