"","down.to.earth","honest","wholesome","cheerful","daring","spirited","imaginative","up.to.date","reliable","intelligent","successful","upper.class","charming","outdoorsy","tough"
"21st-century-fox",2.33333333333333,3,2.5,2.66666666666667,3.33333333333333,2,2.5,3.33333333333333,3,3,3.33333333333333,3.33333333333333,2.33333333333333,1.33333333333333,1.5
"3m",2,3.33333333333333,3,2,2,2.33333333333333,3,2.66666666666667,3.33333333333333,2.66666666666667,3,1.33333333333333,1.33333333333333,2,3
"abbott-labs",0,2.33333333333333,1.5,0.666666666666667,0.333333333333333,0,1,2,4,1.33333333333333,2,0,0,0,0
"abbvie-inc",2,3,2.5,2.66666666666667,3,1.66666666666667,3,2.66666666666667,2.33333333333333,1.66666666666667,3.33333333333333,2,3,0.666666666666667,0
"abc",0,2.33333333333333,0.5,0.333333333333333,0.666666666666667,0,0,1.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.66666666666667,1.33333333333333,0.666666666666667,0
"abm",0,1.33333333333333,0,0,0.333333333333333,0,0,2,2.33333333333333,3.33333333333333,3,1,0,1.33333333333333,2
"accenture",0,1,1.5,0,1.33333333333333,0.666666666666667,2,2.66666666666667,2.33333333333333,3.66666666666667,2.33333333333333,0.333333333333333,0,0,0.5
"ace",1,3,1.5,1.33333333333333,0,0,1,0,2.33333333333333,0,1,0,0,2,0
"actavis",2,2,2,2,1.33333333333333,0.666666666666667,0.5,3.33333333333333,2.66666666666667,4,4,2.66666666666667,2,2.66666666666667,2.5
"activision-blizzard",1.33333333333333,2,2.5,1,2.33333333333333,2.33333333333333,2.5,2.66666666666667,2,2,2.66666666666667,0.333333333333333,0.666666666666667,1.33333333333333,0
"adidas",2,3,3.5,2.66666666666667,3.33333333333333,2,2.5,3.33333333333333,3.66666666666667,2.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.66666666666667,2.5
"adobe",2,3,3,3,2.66666666666667,2.33333333333333,3,3,2.66666666666667,3,3,3,3,2.33333333333333,3
"adp",0,1.66666666666667,1.5,0,0.666666666666667,0,2,2.66666666666667,4,4,4,2.66666666666667,0.666666666666667,1.33333333333333,2.5
"advance-auto-parts",2.33333333333333,2.66666666666667,2,1.33333333333333,1,1,1.5,2,2.66666666666667,2,2.66666666666667,0,0,3,3.5
"aecom-technology",2,2.66666666666667,3,2.66666666666667,2.33333333333333,1.66666666666667,2.5,2.66666666666667,2.66666666666667,3,3,1.33333333333333,1.33333333333333,0.333333333333333,1.5
"aes",0.333333333333333,0,0,0.666666666666667,0.666666666666667,0,0,0.333333333333333,1.33333333333333,1.66666666666667,1.33333333333333,0,0,0,0
"aetna",2.33333333333333,3.66666666666667,1.5,1,0,0,0,1.33333333333333,2.33333333333333,2,1,0,0,0,0
"aflac",2.33333333333333,3,2,1.33333333333333,0.333333333333333,1.33333333333333,1,2,2.33333333333333,1.33333333333333,2,0,0.666666666666667,0,0
"agco-corporation",1,1,0.5,0.333333333333333,0.333333333333333,0,0,0.666666666666667,2,0.333333333333333,1.66666666666667,0,0,2,1
"aig",0.333333333333333,0.333333333333333,0,0,1,0,0,2,1.33333333333333,2.66666666666667,2.66666666666667,1.33333333333333,0.666666666666667,2.66666666666667,1
"air-products--chemicals",1.33333333333333,0.666666666666667,1,1.33333333333333,1,1,2,1.66666666666667,1.66666666666667,2,1.66666666666667,2.66666666666667,0.666666666666667,1.33333333333333,1.5
"airbnb",0.666666666666667,3.33333333333333,3,1,3.33333333333333,3.33333333333333,3,3.66666666666667,1.66666666666667,1.33333333333333,3,3.33333333333333,1.66666666666667,1.33333333333333,0
"airgas",2.66666666666667,3.33333333333333,2.5,3.33333333333333,1,2.33333333333333,1.5,2.66666666666667,3,1.66666666666667,3,1.33333333333333,1.66666666666667,1.33333333333333,2.5
"ak-steel-holding-corporation",2,2,0,0,0,0,1,0.666666666666667,3.33333333333333,1,1.33333333333333,0,0,1,0
