name,include,url,brand_identity,source,cb_id,cb_desc,logo_file,logo_url
carefree,0,http://http://www.carefreeliners.com/,"Whether you're looking for comfortable absorbency or discreet protection, CAREFREE liners deliver the freshness you need to be confident & carefree. Whether you're looking for comfortable absorbency or discreet protection, CAREFREE liners deliver the freshness you need to be confident & carefree.",BD,energizer-holdings,"Energizer Holdings, Inc. (Energizer) is the manufacturer and marketer of primary batteries, portable lighting and personal care products in the wet shave, skin care, feminine care and infant care categories. The Company manufactures and sells products in five product categories: wet shave, skin care, feminine care, infant care, battery and portable lighting products. On October 23, 2013, it completed the acquisition of the Stayfree pad, Carefree liner and o.b. tampon feminine hygiene brands in the United States, Canada and the Caribbean from McNeil PPC, Inc. and Johnson & Johnson, Inc., members of the Johnson & Johnson Family of Consumer Companies.",carefree.jpg,http://www.columbia.edu/~rtd2118/logos/carefree.jpg
carmax,0,https://www.carmax.com/about-carmax/culture-diversity,"We recognize the value that diversity contributes to our organization and the competitive advantage we can maintain by having a broad range of talents, perspectives, and ideas with a commitment to continuously improving our business.  We ensure every associate, applicant, customer, vendor, and shareholder is treated equitably, and we respect the attributes they offer. Examples of such attributes may include age, race, color, gender, disability, sexual orientation, religious affiliation, gender identity, national origin, marital status, and citizenship. Furthermore, we acknowledge the values and needs of a richly diverse customer base, and support the communities where our Associates live and where we do business. We recognize the value that diversity contributes to our organization and the competitive advantage we can maintain by having a broad range of talents, perspectives, and ideas with a commitment to continuously improving our business.  We ensure every associate, applicant, customer, vendor, and shareholder is treated equitably, and we respect the attributes they offer. Examples of such attributes may include age, race, color, gender, disability, sexual orientation, religious affiliation, gender identity, national origin, marital status, and citizenship. Furthermore, we acknowledge the values and needs of a richly diverse customer base, and support the communities where our Associates live and where we do business.",BD,carmax,"Search new and used cars, research models, and compare cars, all online at carmax.com.",carmax.png,http://www.columbia.edu/~rtd2118/logos/carmax.png
carnival,0,https://www.carnival.com/,"We offer a wide array of quality cruises, and pride ourselves on delivering memorable vacations to our guests. A Carnival cruise offers not only outstanding value for the money, but most importantly, fun! A  _Fun Ship  cruise features day and nighttime entertainment like stage shows, musical performances, casinos and more. We make our guests feel right at home, too -- think comfy stateroom accommodations, attentive service, delicious food and drink -- and they enjoy the experience against the backdrop of some of the world's most beautiful ports. We offer a wide array of quality cruises, and pride ourselves on delivering memorable vacations to our guests. A Carnival cruise offers not only outstanding value for the money, but most importantly, fun! A  _Fun Ship  cruise features day and nighttime entertainment like stage shows, musical performances, casinos and more. We make our guests feel right at home, too -- think comfy stateroom accommodations, attentive service, delicious food and drink -- and they enjoy the experience against the backdrop of some of the world's most beautiful ports.",BD,carnival-cruise-lines,The official Pinterest page of Carnival Cruise Line. WARNING: May cause intense need to travel.,carnival.jpg,http://www.columbia.edu/~rtd2118/logos/carnival.jpg
carrier,0,http://www.carrier.com,"In 1902, Willis Carrier solved one of mankind's most elusive challenges by controlling the indoor environment through modern air conditioning. His invention enabled countless industries, promoting global productivity, health and personal comfort.    Today, Carrier innovations are found across the globe and in virtually every facet of daily life. We create comfortable and productive environments, regardless of the climate. We safeguard the global food supply by preserving the quality and freshness of food and beverages. We ensure health and well-being by enabling the proper transport and delivery of vital medical supplies under exacting conditions. We provide solutions, services and education to lead the green building movement.    These mark just a handful of the ways Carrier works to make the world a better place to live, work and play. In 1902, Willis Carrier solved one of mankind's most elusive challenges by controlling the indoor environment through modern air conditioning. His invention enabled countless industries, promoting global productivity, health and personal comfort.    Today, Carrier innovations are found across the globe and in virtually every facet of daily life. We create comfortable and productive environments, regardless of the climate. We safeguard the global food supply by preserving the quality and freshness of food and beverages. We ensure health and well-being by enabling the proper transport and delivery of vital medical supplies under exacting conditions. We provide solutions, services and education to lead the green building movement.    These mark just a handful of the ways Carrier works to make the world a better place to live, work and play.",BD,carrier-corporation,"Carrier is the world leader in heating, air-conditioning and refrigeration solutions. They constantly build upon their history of proven innovation with new products and services that improve global comfort and efficiency.",carrier.jpg,http://www.columbia.edu/~rtd2118/logos/carrier.jpg
cartier,0,http://www.cartier.com,"Its mission is to assemble and present   the historic Cartier heritage   to the largest possible number of people.     Not in a museum dedicated to it, but in displays around the world. Since then, the Cartier Collection has never stopped growing and traveling. Its mission is to assemble and present   the historic Cartier heritage   to the largest possible number of people.     Not in a museum dedicated to it, but in displays around the world. Since then, the Cartier Collection has never stopped growing and traveling.",IB,cartier,"Cartier designs, manufactures, distributes, and sells jewelries, watches, perfumes, and accessories. It develops a wide range of luxury collections of jewelries, watches, leather goods, fragrances, and accessories. From the Trinity ring to the Love bracelet, the Santos de Cartier to the Tank watches, the Panther ring to the Caresse d'Orchides par Cartier brooch; Cartier is the reference for its design and savoir-faire and it recognizes as a pioneer for its creations, icons of rarity, styles, and craftsmanship. The services of the company are online purchases, client services, and expertise guides.  Cartier is a France-based company that was founded in 1847.",cartier.png,http://www.columbia.edu/~rtd2118/logos/cartier.png
caseys-general,0,https://www.caseys.com/,"From the beginning, Casey's mission has always been to provide quality products at competitive prices with courteous service in clean stores at convenient locations.     Because our employees are the core of our company, Casey's promises to provide a work environment where employees are treated with respect, dignity and honesty, and where high performance is expected and rewarded.    It's also our mission to provide shareowners with a fair return on investment. From the beginning, Casey's mission has always been to provide quality products at competitive prices with courteous service in clean stores at convenient locations.     Because our employees are the core of our company, Casey's promises to provide a work environment where employees are treated with respect, dignity and honesty, and where high performance is expected and rewarded.    It's also our mission to provide shareowners with a fair return on investment.",BD,caseys-general-stores,"In 1959, Founder Don Lamberti leased a store from his father on East 14th and Broadway in Des Moines, Iowa. After nine years of operating this old country store, which he remodeled into a convenience store, Don's gas supplier and friend, Kurvin C. Fish, suggested that Don buy the Square Deal Oil Company.",caseys-general.jpg,http://www.columbia.edu/~rtd2118/logos/caseys-general.jpg
cbi,0,http://www.cbi.com/,"CB&I's balanced service offerings give us more control over a project. We can combine our services, technologies and products, providing additional value to our customers by having a single point of responsibility and maximum control over costs, quality and schedule certainty.    Our complete, balanced and integrated business model is unmatched in the industry. CB&I can provide any or all of the major services and products our customers require, resulting in streamlined project delivery and better cost and schedule certainty. Our integrated model gives CB&I the industry's most complete supply chain solution, enabling us to serve the largest projects in the world. CB&I's balanced service offerings give us more control over a project. We can combine our services, technologies and products, providing additional value to our customers by having a single point of responsibility and maximum control over costs, quality and schedule certainty.    Our complete, balanced and integrated business model is unmatched in the industry. CB&I can provide any or all of the major services and products our customers require, resulting in streamlined project delivery and better cost and schedule certainty. Our integrated model gives CB&I the industry's most complete supply chain solution, enabling us to serve the largest projects in the world.",BD,the-cbi,"The CBI is the UK's premier business lobbying organisation, providing a voice for employers at a national and international level.",cbi.jpg,http://www.columbia.edu/~rtd2118/logos/cbi.jpg
cbre,0,https://www.cbre.com/,"THE WORLDWIDE LEADER IN REAL ESTATE SERVICES CBRE's more than 75,000 professionals provide exceptional outcomes for clients in 60+ countries by combining local market insight, broad services, specialized expertise and premier tools and resources.  Respect We act with consideration for others' ideas and share information openly to inspire trust and encourage collaboration. Integrity No one individual, no one deal, no one client, is bigger than our commitment to our company and what we stand for. Service We approach our clients' challenges with enthusiasm and diligence, building long-term relationships by connecting the right people, capital and opportunities. Excellence We focus relentlessly on creating winning outcomes for our clients, employees and shareholders.  CBRE is widely recognized as the foremost authority on commercial real estate.  The CBRE leadership team ensures that all employees, regardless of position, uphold our core values--enabling us to maximize opportunities, drive innovation and achieve success for the company and our clients.  As the world's largest real estate services company, we take the impact we have on our clients, suppliers, employees, communities and stakeholders seriously. It's our goal to be as widely recognized for the way we do business as we are for the quality of the real estate services we provide.    CBRE creates Shared Advantage through an integrated program of environmental and social actions that generate sustained growth and continuous opportunity for both the company and the communities we serve. Please watch our video to learn more. THE WORLDWIDE LEADER IN REAL ESTATE SERVICES CBRE's more than 75,000 professionals provide exceptional outcomes for clients in 60+ countries by combining local market insight, broad services, specialized expertise and premier tools and resources.  Respect We act with consideration for others' ideas and share information openly to inspire trust and encourage collaboration. Integrity No one individual, no one deal, no one client, is bigger than our commitment to our company and what we stand for. Service We approach our clients' challenges with enthusiasm and diligence, building long-term relationships by connecting the right people, capital and opportunities. Excellence We focus relentlessly on creating winning outcomes for our clients, employees and shareholders.  CBRE is widely recognized as the foremost authority on commercial real estate.  The CBRE leadership team ensures that all employees, regardless of position, uphold our core values--enabling us to maximize opportunities, drive innovation and achieve success for the company and our clients.  As the world's largest real estate services company, we take the impact we have on our clients, suppliers, employees, communities and stakeholders seriously. It's our goal to be as widely recognized for the way we do business as we are for the quality of the real estate services we provide.    CBRE creates Shared Advantage through an integrated program of environmental and social actions that generate sustained growth and continuous opportunity for both the company and the communities we serve. Please watch our video to learn more.",BD,cbre-hampton-roads,NA,cbre.jpg,http://www.columbia.edu/~rtd2118/logos/cbre.jpg
cbs,0,http://www.cbs.com,"CBS Corporation (NYSE: CBS.A and CBS) is a mass media company that creates and distributes industry-leading content across a variety of platforms to audiences around the world. The Company has businesses with origins that date back to the dawn of the broadcasting age as well as new ventures that operate on the leading edge of media. CBS owns the most-watched television network in the U.S. and one of the world's largest libraries of entertainment content, making its brand --  _the Eye  -- one of the most recognized in business. The Company's operations span virtually every field of media and entertainment, including cable, publishing, radio, local TV, film, and interactive and socially responsible media. CBS's businesses include CBS Television Network, The CW (a joint venture between CBS Corporation and Warner Bros. Entertainment), CBS Television Studios, CBS Studios International, CBS Television Distribution, CBS Consumer Products, CBS Home Entertainment, CBS Interactive, CBS Films, Showtime Networks, CBS Sports Network, Pop (a joint venture between CBS Corporation and Lionsgate), Smithsonian Networks, Simon & Schuster, CBS Television Stations, CBS Radio and CBS EcoMedia. CBS Corporation (NYSE: CBS.A and CBS) is a mass media company that creates and distributes industry-leading content across a variety of platforms to audiences around the world. The Company has businesses with origins that date back to the dawn of the broadcasting age as well as new ventures that operate on the leading edge of media. CBS owns the most-watched television network in the U.S. and one of the world's largest libraries of entertainment content, making its brand --  _the Eye  -- one of the most recognized in business. The Company's operations span virtually every field of media and entertainment, including cable, publishing, radio, local TV, film, and interactive and socially responsible media. CBS's businesses include CBS Television Network, The CW (a joint venture between CBS Corporation and Warner Bros. Entertainment), CBS Television Studios, CBS Studios International, CBS Television Distribution, CBS Consumer Products, CBS Home Entertainment, CBS Interactive, CBS Films, Showtime Networks, CBS Sports Network, Pop (a joint venture between CBS Corporation and Lionsgate), Smithsonian Networks, Simon & Schuster, CBS Television Stations, CBS Radio and CBS EcoMedia.",BD,cbs-corporation,"CBS Corporation is a mass media company that creates and distributes content across a variety of platforms to audiences around the world. The company operates businesses with origins that date back to the dawn of the broadcasting age as well as new ventures that operate on the leading edge of media.  The company owns the most-watched television network in the U.S. and one of the world's largest libraries of entertainment content, making its brand, 'the Eye', one of the most recognized in business. The company's operations span virtually every field of media and entertainment, including cable, publishing, radio, local TV, film, outdoor advertising, and interactive and socially responsible media.  CBS Corporation's entertainment segment distributes a schedule of news and public affairs broadcasts, and sports and entertainment programming; produces, acquires, and distributes programming content, including series, specials, news, and public affairs; produces and distributes theatrical motion pictures; and operates online content networks for information and entertainment. Its cable networks segment owns and operates multiplexed channels; offers subscription program services comprising theatrical feature films, original series, documentaries, sports-related programming, and special events as well as the CBS Sports Network, a 24-hour cable program service that provides college sports and related content. This segment also owns and manages Smithsonian Networks, which operates a channel featuring cultural, historical, scientific, and educational programs. The publishing segment publishes and distributes adult and children's consumer books in printed, digital, and audio formats. The local broadcasting segment owns 30 broadcast television stations; 126 radio stations in 27 U.S. markets and related online properties; and local websites in various U.S. markets, which combine the company's television and radio local media brands online to provide the latest news, traffic, weather, and sports information as well as local discounts, directories, and reviews.  CBS Corporation owns the most-watched television network in the U.S. and one of the world's largest libraries of entertainment content, making its brand, 'the Eye', one of the most recognized in business. The company's operations span virtually every field of media and entertainment, including cable, publishing, radio, local TV, film, outdoor advertising, and interactive and socially responsible media. CBS's businesses include CBS Television Network, The CW (a joint venture between CBS Corporation and Warner Bros. Entertainment), Showtime Networks, CBS Sports Network, TVGN (a joint venture between CBS Corporation and Lionsgate), Smithsonian Networks, Simon & Schuster, CBS Television Stations, CBS Radio, CBS Television Studios, CBS Global Distribution Group (CBS Studios International and CBS Television Distribution), CBS Interactive, CBS Consumer Products, CBS Home Entertainment, CBS Films and CBS EcoMedia.  CBS Corporation was founded in 1986 and is headquarters in New York, United States.",cbs.jpg,http://www.columbia.edu/~rtd2118/logos/cbs.jpg
cdw-corporation,0,http://www.aboutcdw.com/,"CDW is a leading multi-brand technology solutions provider to business, government, education and healthcare organizations in the United States, Canada and the United Kingdom. A Fortune 500 company with multinational capabilities, CDW was founded in 1984 and employs approximately 8,500 coworkers. For the year ended December 31, 2016, the company generated net sales of nearly $14 billion. For more information about CDW CDW is a leading multi-brand technology solutions provider to business, government, education and healthcare organizations in the United States, Canada and the United Kingdom. A Fortune 500 company with multinational capabilities, CDW was founded in 1984 and employs approximately 8,500 coworkers. For the year ended December 31, 2016, the company generated net sales of nearly $14 billion. For more information about CDW",F500,cdw-corporation,"Headquartered in Vernon Hills, Ill., CDW is a leading provider of technology solutions for business, government, education and healthcare. With a balanced portfolio of 250,000 small-, medium- and large-sized customers, CDW generated net sales of $10.1 billion in 2012, and employs more than 6,800 coworkers in 25 locations across the U.S. and Canada.  Founded in 1984 by entrepreneur Michael Krasny, CDW pioneered the business model that melds personalized business-to-business technology distribution with advanced technology services. Today, CDW is ranked No. 31 on Forbes' list of America's Largest Private Companies and No. 267 on the FORTUNE 500 list of America's top companies.",cdw-corporation.png,http://www.columbia.edu/~rtd2118/logos/cdw-corporation.png
