"name","include","url","brand_identity","source","cb_id","cb_desc","logo_file","logo_url"
"entergy",0,"http://www.entergy.com/","Entergy Corp. is an integrated energy company engaged primarily in electric power production and retail distribution operations.Entergy exists to operate a world-class energy business that creates sustainable value for our four stakeholders. Entergy Corp. is an integrated energy company engaged primarily in electric power production and retail distribution operations.Entergy exists to operate a world-class energy business that creates sustainable value for our four stakeholders.","BD","entergy-corporation","Entergy Corporation is an integrated energy company engaged primarily in electric power production and retail distribution operations. Entergy owns and operates power plants with approximately 30,000 megawatts of electric generating capacity, including nearly 10,000 megawatts of nuclear power.","entergy.jpg","http://www.columbia.edu/~rtd2118/logos/entergy.jpg"
"enterprise",0,"https://www.enterprise.com/en/home.html","Enterprise Rent-A-Car is an ongoing American success story. Our guiding principles, and humble beginning, revolve around personal honesty and integrity. We believe in strengthening our communities one neighborhood at a time, serving our customers as if they were our family, and rewarding hard work. These things are as true today as they were when we were founded in 1957.    Today, our massive network means Enterprise is the largest transportation solutions provider. We offer car, truck and motorcycle rentals, as well as car sharing and car sales. We're in over 30 countries with more than 7,200 locations. What does this mean to our customers? We're there when you need us.    We take an active role in sustainability, not only because it's smart for our business, but because we believe in making the world a better place for future generations. Because of our size, we are in a unique position to foster innovation, advance research and test market-driven solutions. Enterprise Rent-A-Car is an ongoing American success story. Our guiding principles, and humble beginning, revolve around personal honesty and integrity. We believe in strengthening our communities one neighborhood at a time, serving our customers as if they were our family, and rewarding hard work. These things are as true today as they were when we were founded in 1957.    Today, our massive network means Enterprise is the largest transportation solutions provider. We offer car, truck and motorcycle rentals, as well as car sharing and car sales. We're in over 30 countries with more than 7,200 locations. What does this mean to our customers? We're there when you need us.    We take an active role in sustainability, not only because it's smart for our business, but because we believe in making the world a better place for future generations. Because of our size, we are in a unique position to foster innovation, advance research and test market-driven solutions.","BD","enterprise-rent-a-car","Enterprise Rent-A-Car is a global transportation solutions provider that offers car, truck, and motorcycle rentals as well as car sharing and car sales. Its customized rental programs are designed specifically to meet its clients' needs.","enterprise.png","http://www.columbia.edu/~rtd2118/logos/enterprise.png"
"envision-healthcare-holdings",0,"https://www.evhc.net/","Envision Healthcare is committed to providing the tools and learning experiences our team members need to be successful. We believe in growing talent from within the organization and strive to create opportunities for persons of varying backgrounds to grow through career enhancement programs.    When an individual joins the Envision Healthcare team, they make a commitment to our clients, our customers and our company. Our employees make a difference in the lives of others. In exchange, we make a commitment to them to encourage their success, support their professional goals and help them build a life-long career with our organization.    One of the ways we achieve that is through our SOAR career development program.     At Envision Healthcare, we are proud to be an employer that champions diversity and inclusion, as reflected in our Code of Business Conduct and various other policies. We believe our team members are our greatest strength and that each individual contributor is an integral part of our success. It is to that end that we embrace diversity.    Envision Healthcare's mission is to serve and support the provision of high-quality patient care across our family of companies. We accomplish our mission with a team of diverse individuals. Our clinicians and support team members participate in the communities where they live and work. As a result of our dedication to serving various communities, we focus on having a workforce that mirrors the communities that we serve. Our success in rendering patient care and serving those communities is a credit to the efforts of our diverse global workforce. We are committed to investing in our team members and celebrating the myriad of cultures, lifestyles, experiences, and ideas they have to offer our organization, our clients and our patients. Envision Healthcare is committed to providing the tools and learning experiences our team members need to be successful. We believe in growing talent from within the organization and strive to create opportunities for persons of varying backgrounds to grow through career enhancement programs.    When an individual joins the Envision Healthcare team, they make a commitment to our clients, our customers and our company. Our employees make a difference in the lives of others. In exchange, we make a commitment to them to encourage their success, support their professional goals and help them build a life-long career with our organization.    One of the ways we achieve that is through our SOAR career development program.     At Envision Healthcare, we are proud to be an employer that champions diversity and inclusion, as reflected in our Code of Business Conduct and various other policies. We believe our team members are our greatest strength and that each individual contributor is an integral part of our success. It is to that end that we embrace diversity.    Envision Healthcare's mission is to serve and support the provision of high-quality patient care across our family of companies. We accomplish our mission with a team of diverse individuals. Our clinicians and support team members participate in the communities where they live and work. As a result of our dedication to serving various communities, we focus on having a workforce that mirrors the communities that we serve. Our success in rendering patient care and serving those communities is a credit to the efforts of our diverse global workforce. We are committed to investing in our team members and celebrating the myriad of cultures, lifestyles, experiences, and ideas they have to offer our organization, our clients and our patients.","F500","envision-healthcare","Envision Healthcare is a Healthcare Benefits Manager that specializes in the creation, development and implementation of Consumer Driven Health Care plans. Our goal is to change the way healthcare is financed and delivered in America. We do this by providing employers and employees the tools and information to make wise healthcare choices.","envision-healthcare-holdings.png","http://www.columbia.edu/~rtd2118/logos/envision-healthcare-holdings.png"
"eog-resources",0,"http://www.eogresources.com/","EOG Resources, Inc. is one of the largest independent (non-integrated) crude oil and natural gas companies in the United States with proved reserves in the United States, Trinidad, the United Kingdom and China. EOG Resources is listed on the New York Stock Exchange (NYSE) and trades under the ticker symbol  _EOG.     EOG's strategy is to generate the best rates of return by controlling operating and capital costs while maximizing oil and natural gas reserve recoveries. EOG strives to maintain the lowest possible operating cost structure that is consistent with prudent and safe operations.    The company focuses on integrating technology such as 3D seismic, core analysis, and microseismic to develop proprietary petro-physical models. These models inform the company's execution of precision horizontal targeting and customized advanced completions.    In order to find and develop low-cost reserves, EOG prioritizes exploration and drilling of internally generated prospects. This strategy is intended to consistently deliver cost-effective oil and natural gas production that maximizes cash flow and earnings, allowing the company to deliver long-term shareholder value while maintaining a strong balance sheet.    As of December 31, 2016, EOG's total estimated net proved reserves were 2,147 million barrels of oil equivalent comprised of 55 percent crude oil and condensate, 19 percent natural gas liquids and 26 percent natural gas. Approximately 97 percent of these reserves were located in the United States.    According to the U.S. Energy Information Administration (EIA), fossil fuels account for about 82 percent of the total energy consumed in the U.S. This energy is used to heat our homes, generate electricity, power our industries and meet our transportation needs.    Having abundant, clean-burning sources of domestically produced energy means more affordable energy prices. This increases incentives for energy-intensive manufacturing companies to remain in the United States. It also creates more jobs and provides for a better energy future for America.    EOG Resources is committed to bolstering North American energy supplies by finding and producing crude oil, natural gas and natural gas liquids, while adhering to sound environmental, health and safety standards in its operations.    In the United States, according to the EIA, about 60 percent of the country's homes are heated by safe, affordable, clean-burning natural gas. This important domestic energy source is also used to produce steel, glass, paper, clothing, brick and electricity, and is an essential raw material for many common products such as fertilizer. The increased use of natural gas is also important in addressing climate change concerns because of its clean, low-carbon content.    The EIA has also reported that crude oil accounts for about 92 percent of the total energy consumed for transportation in the United States. Gasoline is the most important consumer product produced from crude oil. EOG Resources, Inc. is one of the largest independent (non-integrated) crude oil and natural gas companies in the United States with proved reserves in the United States, Trinidad, the United Kingdom and China. EOG Resources is listed on the New York Stock Exchange (NYSE) and trades under the ticker symbol  _EOG.     EOG's strategy is to generate the best rates of return by controlling operating and capital costs while maximizing oil and natural gas reserve recoveries. EOG strives to maintain the lowest possible operating cost structure that is consistent with prudent and safe operations.    The company focuses on integrating technology such as 3D seismic, core analysis, and microseismic to develop proprietary petro-physical models. These models inform the company's execution of precision horizontal targeting and customized advanced completions.    In order to find and develop low-cost reserves, EOG prioritizes exploration and drilling of internally generated prospects. This strategy is intended to consistently deliver cost-effective oil and natural gas production that maximizes cash flow and earnings, allowing the company to deliver long-term shareholder value while maintaining a strong balance sheet.    As of December 31, 2016, EOG's total estimated net proved reserves were 2,147 million barrels of oil equivalent comprised of 55 percent crude oil and condensate, 19 percent natural gas liquids and 26 percent natural gas. Approximately 97 percent of these reserves were located in the United States.    According to the U.S. Energy Information Administration (EIA), fossil fuels account for about 82 percent of the total energy consumed in the U.S. This energy is used to heat our homes, generate electricity, power our industries and meet our transportation needs.    Having abundant, clean-burning sources of domestically produced energy means more affordable energy prices. This increases incentives for energy-intensive manufacturing companies to remain in the United States. It also creates more jobs and provides for a better energy future for America.    EOG Resources is committed to bolstering North American energy supplies by finding and producing crude oil, natural gas and natural gas liquids, while adhering to sound environmental, health and safety standards in its operations.    In the United States, according to the EIA, about 60 percent of the country's homes are heated by safe, affordable, clean-burning natural gas. This important domestic energy source is also used to produce steel, glass, paper, clothing, brick and electricity, and is an essential raw material for many common products such as fertilizer. The increased use of natural gas is also important in addressing climate change concerns because of its clean, low-carbon content.    The EIA has also reported that crude oil accounts for about 92 percent of the total energy consumed for transportation in the United States. Gasoline is the most important consumer product produced from crude oil.","BD","eog-resources","EOG Resources is a Fortune 500 company with its headquarters in the Heritage Plaza building in downtown Houston, Texas. The company is one of the largest independent oil and natural gas companies in the United States with proven reserves in the United States, Canada, Trinidad and Tobago, the United Kingdom, and China. EOG Resources, Inc. is listed on the New York Stock Exchange and is traded under the ticker symbol ""EOG"".","eog-resources.jpg","http://www.columbia.edu/~rtd2118/logos/eog-resources.jpg"
"equinix",0,"http://www.equinix.com/","Equinix connects the world's leading businesses to their customers, employees and partners inside the world's most connected data centers in 41 markets across five continents. In the United States, Equinix operates data centers in Atlanta, Boston, Chicago, Dallas, Denver, Los Angeles, Miami, New York, Philadelphia, Seattle, Silicon Valley and Washington D.C.    At Equinix, we believe in the power of interconnection. Just as PCs, networking gear and Web apps revolutionized previous digital eras, innovations in connectivity are fostering new forms of interaction and interconnection is this era's game-changer.    The interconnected era presents us with amazing opportunities and complex challenges. In today's workplace, your customers, employees and partners are dispersed over more geographic locations, processing more data, using a multitude of devices and expecting more than ever.    Equinix enables the interconnected enterprise to directly connect its employees, partners and customers to what they need, in the right context, using the devices, channels and services they prefer wherever they may be. The result: extraordinary experiences for your customers, high engagement for your employees, top value for your shareholders and exponential growth for your business.    When you choose Equinix, you are choosing the interconnection leader, strategically positioned with the world's most connected data centers bringing together market leaders and innovators on a single, global interconnection platform, accelerating business performance and fostering endless opportunities. Equinix connects the world's leading businesses to their customers, employees and partners inside the world's most connected data centers in 41 markets across five continents. In the United States, Equinix operates data centers in Atlanta, Boston, Chicago, Dallas, Denver, Los Angeles, Miami, New York, Philadelphia, Seattle, Silicon Valley and Washington D.C.    At Equinix, we believe in the power of interconnection. Just as PCs, networking gear and Web apps revolutionized previous digital eras, innovations in connectivity are fostering new forms of interaction and interconnection is this era's game-changer.    The interconnected era presents us with amazing opportunities and complex challenges. In today's workplace, your customers, employees and partners are dispersed over more geographic locations, processing more data, using a multitude of devices and expecting more than ever.    Equinix enables the interconnected enterprise to directly connect its employees, partners and customers to what they need, in the right context, using the devices, channels and services they prefer wherever they may be. The result: extraordinary experiences for your customers, high engagement for your employees, top value for your shareholders and exponential growth for your business.    When you choose Equinix, you are choosing the interconnection leader, strategically positioned with the world's most connected data centers bringing together market leaders and innovators on a single, global interconnection platform, accelerating business performance and fostering endless opportunities.","BD","equinix","Equinix provides global data center services that ensure the vitality of the information-driven world. Global enterprises, content and financial companies, and nearly 600 network service providers rely upon Equinix's insight and expertise to protect and connect their most valued information assets.   Currently, Equinix operates 90 International Business Exchange   (IBX ) data centers across 35 major metropolitan areas in 11 countries in North America, Europe and Asia-Pacific.","equinix.jpg","http://www.columbia.edu/~rtd2118/logos/equinix.jpg"
"erie-insurance-group",0,"http://www.erieinsurance.com","Over 5,000 employees and 12,000 independent agents live and work in hometowns like yours.    We're driven to give back to our communities, from delivering Meals on Wheels and coaching Little League, to helping people rebuild after a catastrophe.    We know that our customers trust us to help them when they're faced with the worst. We're proud to be there when they need us the most.    We're committed to a culture of service.    Our founder H.O. Hirt raised the letters ERIE out of the word SERvIcE to remind us of the high bar we set for ourselves.    What's our secret? It's our agents and employees who follow the Golden Rule  _ treating others as you would want to be treated. Over 5,000 employees and 12,000 independent agents live and work in hometowns like yours.    We're driven to give back to our communities, from delivering Meals on Wheels and coaching Little League, to helping people rebuild after a catastrophe.    We know that our customers trust us to help them when they're faced with the worst. We're proud to be there when they need us the most.    We're committed to a culture of service.    Our founder H.O. Hirt raised the letters ERIE out of the word SERvIcE to remind us of the high bar we set for ourselves.    What's our secret? It's our agents and employees who follow the Golden Rule  _ treating others as you would want to be treated.","F500","erie-insurancegroup","Erie Insurance offers a range of services to meet family insurance needs, including a variety of home and tenant (renters) insurance policies and boat insurance. ERIE also offers a variety of business insurance products to meet the needs of both small and large businesses. Erie Family Life offers a complete line of products to meet individual and business life insurance needs. When H.O. Hirt and O.G. Crawford decided to start an insurance exchange in 1925, they wanted to base it on simple common sense, mixed with just plain decency. They turned to the Golden Rule as a guiding principle: Do unto others as you would have them do unto you. The two entrepreneurs spent months drumming up support for the Erie Insurance Exchange, with nothing but their axiom and a business plan scribbled on a 10-cent tablet. On April 20, 1925, their fundraising concluded and 90 years of service and innovation began.","erie-insurance-group.png","http://www.columbia.edu/~rtd2118/logos/erie-insurance-group.png"
"essendant",0,"https://www.essendant.com/","We power our partners' success by integrating a vast product assortment, a world class fulfillment network and a full suite of advanced sales, marketing and digital tools. It's a seamless solution that powers unlimited possibilities for our customers in the pursuit of smarter operations, category expansion and business growth.    We connect our customers, a diverse network of resellers, distributors, online retailers and national organizations across the U.S., with top manufacturers in the market to offer over 2 million products in our portfolio. We power our partners' success by integrating a vast product assortment, a world class fulfillment network and a full suite of advanced sales, marketing and digital tools. It's a seamless solution that powers unlimited possibilities for our customers in the pursuit of smarter operations, category expansion and business growth.    We connect our customers, a diverse network of resellers, distributors, online retailers and national organizations across the U.S., with top manufacturers in the market to offer over 2 million products in our portfolio.","F500","united-stationers","Essendant is a purpose-driven company that strives for more than just business success. We treat others with respect, act with honesty and integrity, and improve our communities. An important part of enabling our partners to reach their full potential is to honor our values, both in our business transactions and our commitment to building stronger communities.","essendant.png","http://www.columbia.edu/~rtd2118/logos/essendant.png"
"esso",0,"http://www.esso.com","Imperial is an industry leader in applying technology and innovation to responsibly develop Canada's energy resources. As Canada's largest petroleum refiner, a major producer of crude oil and natural gas, a key petrochemical producer and a leading fuels marketer from coast to coast, our company is committed to high standards across all areas of our business.    For more than a century, we have been helping Canadians get where they need to go and we hope to continue to be part of your journey for years to come. Imperial is an industry leader in applying technology and innovation to responsibly develop Canada's energy resources. As Canada's largest petroleum refiner, a major producer of crude oil and natural gas, a key petrochemical producer and a leading fuels marketer from coast to coast, our company is committed to high standards across all areas of our business.    For more than a century, we have been helping Canadians get where they need to go and we hope to continue to be part of your journey for years to come.","BD","esso",NA,"esso.png","http://www.columbia.edu/~rtd2118/logos/esso.png"
"estee-lauder",0,"http://www.esteelauder.com","Founded in 1946, this technologically advanced, innovative company has gained a worldwide reputation for elegance, luxury and superior quality. Our products come with a promise to uphold the finest standards of excellence. Through extensive research and stringent product evaluation, we are pleased to bring you skincare, makeup and fragrance products that are both gentle and highly effective. Este Lauder products are sold in more than 135 countries and territories. In the U.S., they are available in better department stores and specialty stores and online at esteelauder.com. Founded in 1946, this technologically advanced, innovative company has gained a worldwide reputation for elegance, luxury and superior quality. Our products come with a promise to uphold the finest standards of excellence. Through extensive research and stringent product evaluation, we are pleased to bring you skincare, makeup and fragrance products that are both gentle and highly effective. Este Lauder products are sold in more than 135 countries and territories. In the U.S., they are available in better department stores and specialty stores and online at esteelauder.com.","BD","estee-lauder-companies","Estee Lauder Companies is a manufacturer and marketer of skincare products, makeup, perfumes and hair care products.","estee-lauder.png","http://www.columbia.edu/~rtd2118/logos/estee-lauder.png"
"eversource-energy",0,"https://www.eversource.com/content/","Each day since has been spent working to build a single, united company around the mission of delivering reliable energy and superior customer service.     More than 8,000 men and women coming together in good weather and bad. Making sure that the energy that powers our corner of the world is always there.     Taking care of problems before they're problems.     Heading out in the storm when others head home.     Connecting homes, businesses and offices, families, neighbors and friends.    We are proud of our history and future as New England's energy provider.    Over the next few months you'll be hearing more about this commitment to customers throughout New England and how energy brings us together. Each day since has been spent working to build a single, united company around the mission of delivering reliable energy and superior customer service.     More than 8,000 men and women coming together in good weather and bad. Making sure that the energy that powers our corner of the world is always there.     Taking care of problems before they're problems.     Heading out in the storm when others head home.     Connecting homes, businesses and offices, families, neighbors and friends.    We are proud of our history and future as New England's energy provider.    Over the next few months you'll be hearing more about this commitment to customers throughout New England and how energy brings us together.","F500","eversource",NA,"eversource-energy.png","http://www.columbia.edu/~rtd2118/logos/eversource-energy.png"
