name,include,url,brand_identity,source,cb_id,cb_desc,logo_file,logo_url
autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg
barnes-noble,2,http://www.barnesandnoble.com/,"With so many titles, it is vital to give customers an easy way to find precisely the books they are looking for. Our search engine enables customers to locate books by title, author, or keyword in a few seconds at most. Customers with a general idea of what they want can use our Browse pages to sift through hundreds of categories to find exactly the right book. To further assist users, we offer descriptions and reviews, and our See Inside program lets customers read excerpts from tens of thousands of titles. We also offer editor recommendations and customer reviews on hundreds of thousands of titles.",F500,barnes-noble,"Barnes & Noble is a multi-channel distribution platform that provides access to trade books, textbooks, magazines, newspapers, and other content. It operates as a content, commerce, and technology company.     Barnes & Noble's main business is the sale of trade books, mass-market paperbacks, children's books, bargain books, magazines, gift, cafe products and services, music, and movies direct to customers. As of January 2009, the company operated 778 bookstores and a website.     Barnes & Noble was founded in 1917 by [Leonard Riggio](http://www.crunchbase.com/person/leonard-riggio). It is headquartered in New York, N.Y.",barnes-noble.png,http://www.columbia.edu/~rtd2118/logos/barnes-noble.png
berkshire-hathaway,2,http://www.berkshirehathaway.com/,"Berkshire Hathaway HomeServices is a real estate brokerage franchise network designed for today's real estate market. From first time home buyers to high-end residential markets to middle market communities to commercial real estate, our franchisees are down to earth, nimble and local experts. This network of members and agents wouldn't be a part of the Berkshire Hathaway HomeServices family if they weren't.",BD,berkshire,"Berkshire Group is a real estate investment management company distinguished by over four decades in the U.S. real estate markets, an integrated investment and operating platform, an experienced team, and an opportunistic approach to finding value on behalf of institutional investment clients, including pension funds, endowments and foundations, in the U.S. and around the world.",berkshire-hathaway.jpg,http://www.columbia.edu/~rtd2118/logos/berkshire-hathaway.jpg
bmw,2,http://www.bmw.com/,"The BMW Group sets trends in production technology and sustainability as an innovation leader with an intelligent material mix, a technological shift towards digitalisation and resource-efficient production. At the same time, flexibility and continuous optimisation of value chains ensure competitiveness.    Long-term thinking and responsible action are the basis of economic success. Ecological and social sustainability, comprehensive product responsibility and a clear commitment to conserving resources are therefore an integral part of our strategy. With Efficient Dynamics, the BMW Group consistently implements the principle of sustainable mobility and is steadily reducing its vehicles' fuel consumption and emissions.",IB,bmw,"Bayerische Motoren Werke AG (BMW), is a German automobile and motorcycle manufacturing company. Founded in 1916, it is known for its performance and luxury vehicles. It owns and produces the MINI brand, and is the parent company of Rolls-Royce Motor Cars.  As a global company, the BMW Group operates 25 production and assembly facilities in 14 countries and has a global sales network in more than 140 countries.",bmw.png,http://www.columbia.edu/~rtd2118/logos/bmw.png
boeing,2,http://www.boeing.com/,"Boeing is the world's largest aerospace company and leading manufacturer of commercial jetliners and defense, space and security systems. As America's biggest manufacturing exporter, the company supports airlines and U.S. and allied government customers in more than 150 countries. Boeing products and tailored services include commercial and military aircraft, satellites, weapons, electronic and defense systems, launch systems, advanced information and communication systems, and performance-based logistics and training.    Boeing has a long tradition of aerospace leadership and innovation. The company continues to expand its product line and services to meet emerging customer needs. Its broad range of capabilities includes creating new, more efficient members of its commercial airplane family; designing, building and integrating military platforms and defense systems; creating advanced technology solutions; and arranging innovative customer-financing options.    With corporate offices in Chicago, Boeing employs approximately 150,000 people across the United States and in more than 65 countries. This represents one of the most diverse, talented and innovative workforces anywhere. Our enterprise also leverages the talents of hundreds of thousands more skilled people working for Boeing suppliers worldwide.    Boeing is organized into two business units: Commercial Airplanes and Defense, Space & Security. Supporting these units are Boeing Capital Corporation, a global provider of financing solutions; Shared Services Group, which provides a broad range of services to Boeing worldwide; and Boeing Engineering, Operations & Technology, which helps develop, acquire, apply and protect innovative technologies and processes.",BD,the-boeing-company,"The Boeing Company is an American multinational corporation that designs, manufactures and sells fixed-wing aircraft, rotorcraft, rockets and satellites and provides leasing and product support services. Boeing is among the largest global aircraft manufacturers, is the second-largest aerospace & defense contractor in the world based on 2012 revenue and is the US' largest exporter by dollar value. Boeing stock is a component of the Dow Jones Industrial Average.  The Boeing Company's corporate headquarters are located in Chicago and the company is led by Chairman and CEO James McNerney. Boeing is organized into five primary divisions: Boeing Commercial Airplanes (BCA), Boeing Defense, Space & Security (BDS), Engineering, Operations & Technology, Boeing Capital and Boeing Shared Services Group.  Boeing is the world's largest aerospace company and leading manufacturer of commercial jetliners and defense, space and security systems. A top U.S. exporter, the company supports airlines and U.S. and allied government customers in 150 countries. Boeing products and tailored services include commercial and military aircraft, satellites, weapons, electronic and defense systems, launch systems, advanced information and communication systems, and performance-based logistics and training.  Boeing has a long tradition of aerospace leadership and innovation. The company continues to expand its product line and services to meet emerging customer needs. Its broad range of capabilities includes creating new, more efficient members of its commercial airplane family; integrating military platforms, defense systems and the warfighter through network-enabled solutions; creating advanced technology solutions; and arranging innovative customer-financing options. With corporate offices in Chicago, Boeing employs more than 170,000 people across the United States and in 70 countries. This represents one of the most diverse, talented and innovative workforces anywhere. More than 140,000 employees hold college degrees -- including nearly 35,000 advanced degrees -- in virtually every business and technical field from approximately 2,700 colleges and universities worldwide. Our enterprise also leverages the talents of hundreds of thousands more skilled people working for Boeing suppliers worldwide.  Boeing is organized into two business units: Boeing Commercial Airplanes and Boeing Defense, Space & Security. Supporting these units are Boeing Capital Corporation, a global provider of financing solutions; the Shared Services Group, which provides a broad range of services to Boeing worldwide; and Boeing Engineering, Operations & Technology, which helps develop, acquire, apply and protect innovative technologies and processes.",boeing.jpg,http://www.columbia.edu/~rtd2118/logos/boeing.jpg
burberry,2,https://www.burberry.com/,"As the Burberry business continues to evolve in an ever-changing environment, building and nurturing its authentic culture is ever more important. Guided by its core values  _ Protect, Explore, Inspire  _ Burberry is dedicated to fostering a distinct culture with a global team mindset and a pioneering spirit, underpinned by a commitment to responsibility.  Alongside a continued focus on engaging and cultivating our talent, this year saw enhanced emphasis on sustainability and the pursuit of positive social and environmental change. Burberry will be establishing Key Performance Indicators for the Build our Culture strategy in the future.",IB,burberry,"Founded in 1856, Burberry is a British luxury fashion brand.  Burberry sells its products to the end consumer through both retail (including digital) and wholesale channels. For 2012/13, retail accounted for 71% of revenue and wholesale 24%. Burberry also has licensing agreements in Japan and globally, leveraging the local and technical expertise of its licence partners.",burberry.png,http://www.columbia.edu/~rtd2118/logos/burberry.png
campbells,2,https://www.campbells.com/campbell-soup/,"For generations, people have trusted Campbell to provide food and drinks that are good, honest, authentic and flavorful  _ made from ingredients that are grown, prepared, cooked or baked with care. People love that our food fits their real lives, fuels their bodies and feeds their souls. And they appreciate knowing what goes into our food and why  _ so they can feel good about the choices they make, for themselves and their loved ones.",BD,campbellsoup-com,"Soup lovers across America consume more than 10 billion bowls of soup each year   and, by a wide margin, their favorite soups are Campbell's:registered: condensed soups in the familiar red and white can. Our three most popular varieties are Chicken Noodle, Tomato and Cream of Mushroom, which are among the top 10 food items sold in grocery stores every week.  Campbell is also known for its popular, ready-to-serve varieties. Campbell's:registered: Chunky:tm: soup offers a nutritious way to satisfy hearty appetites. Campbell's:registered: Select Harvest:registered: soup features high-quality ingredients, proprietary stocks, no artificial flavors, and no MSG.*  Other soup offerings include Campbell's:registered: soup in microwavable bowls and Campbell's:registered: Soup on the Go microwavable cups, good for eating at work and on the go. Our Campbell's:registered: Slow Kettle:registered: Style soups feature an extraordinary taste with a perfect combination of authentic ingredients you'll want to slow down for.   Campbell offers 90 soups across our soup portfolio that have been reduced in sodium, including many varieties of Campbell's:registered: Condensed soups, and in our lines of Campbell's:registered: Chunky:tm: and Select Harvest:registered: soups. Our complete line of Campbell's:registered: Healthy Request:registered: soups meet all criteria for healthy foods, such as being controlled for fat, saturated fat, and cholesterol, and containing a positive nutrient, such as vitamin A.  In the U.S., Campbell sells a total of almost 2 billion cans of soup every year, accounting for more than 60 percent of the U.S. wet soup market. Each year, nearly 100 million U.S. households, or more than 80 percent of all U.S. households, purchase our soups. On average, American consumers stock six cans of our soups in their pantries at all times.",campbells.jpg,http://www.columbia.edu/~rtd2118/logos/campbells.jpg
capital-one,2,http://press.capitalone.com/,"Capital One Financial Corporation is a financial holding company whose subsidiaries, which include Capital One, N.A., and Capital One Bank (USA), N.A., had $236.8 billion in deposits and $357.0 billion in total assets as of December 31, 2016. Headquartered in McLean, Virginia, Capital One offers a broad spectrum of financial products and services to consumers, small businesses and commercial clients through a variety of channels. Capital One, N.A. has branches located primarily in New York, Louisiana, Texas, Maryland, Virginia, New Jersey and the District of Columbia. A Fortune 500 company, Capital One trades on the New York Stock Exchange under the symbol ""COF"" and is included in the S&P 100 index.    We founded Capital One on the belief that information and technology would revolutionize fi nancial services. Two decades later, our belief is even stronger. The forces of digital disruption are accelerating and taking new shape. Advances in technology present defi ning opportunities and risks for banks. To win, banks must operate like leading tech companies. Banking is moving from the branch on the corner to the bank in your hand. And soon it will come to you in real time, on whatever technology you choose, wherever you are, customized for what you need and what you want. As digital changes everything, our goal is to bring ingenuity, simplicity, and humanity to banking.     Our simple and innovative products are delivering tremendous value to customers. Venture is a premier travel credit card that off ers unlimited double miles that customers can actually use. Quicksilver is our _ agship cash-back card that pays 1.5% back on every purchase, every day, with no games or limits. Our Spark Business credit card provides savvy business owners with the choice of unlimited double miles or 2% cash back. Auto Navigator allows buyers to compare cars, search national inventories, and get pre-approved for fi nancing. On any device, anywhere.",BD,capital-one,"Capital One Financial Corporation, incorporated in July 21, 1994, is a diversified banking company focused primarily on consumer and commercial lending and deposit origination.  Its principal business segments are Local Banking and National Lending. Local Banking includes consumer, small business and commercial deposits, and lending conducted within its branch network. The National Lending segment consists of three sub-segments: - The U.S. Card sub-segment, which consists of domestic consumer credit and debit card activities; - The Auto Finance sub-segment, which includes automobile and other motor vehicle financing activities, - The Global Financial Services sub-segment consisting of international lending activities, small business lending, installment loans, home loans, healthcare financing and other diversified activities.",capital-one.jpg,http://www.columbia.edu/~rtd2118/logos/capital-one.jpg
caterpillar,2,http://www.cat.com/,"We have a long history of innovation and using leading edge technology to provide customer solutions. Whether we're researching ways to move more dirt with less fuel, developing products that generate fewer emissions or exploring autonomous vehicle solutions, our strength is integrating customer feedback with ideas and actions to ensure our customers' success. Now and in the future.",BD,caterpillar-inc,"Caterpillar Inc., is an American corporation which designs, manufactures, markets and sells machinery and engines and sells financial products and insurance to customers via a worldwide dealer network. Caterpillar is the world's leading manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. With more than US$89 billion in assets, Caterpillar was ranked number one in its industry and number 44 overall in the 2009 Fortune 500.  Caterpillar stock is a component of the Dow Jones Industrial Average. Caterpillar Inc. traces its origins to the 1925 merger of the Holt Manufacturing Company and the C. L. Best Tractor Company, creating a new entity, the California based Caterpillar Tractor Company. In 1986, the company re-organized itself as a Delaware corporation under the current name, Caterpillar Inc. Caterpillar's headquarters are located in Peoria, Illinois, United States.  Caterpillar machinery is recognizable by its trademark ""Caterpillar Yellow"" livery and the ""CAT"" logo.",caterpillar.png,http://www.columbia.edu/~rtd2118/logos/caterpillar.png
chipotle-mexican,2,https://chipotle.com/,"We're all about preparing food without added colors, flavors, or preservatives (other than   lemon or lime juice, which can be used as preservatives -- though we use them only for taste).   Just genuine raw ingredients and their individual, delectable flavors. We source from farms rather than factories,   and spend a lot more on our ingredients than many other restaurants.   We wouldn't have it any other way.    Great ingredients deserve great preparation. Morning to night, our skilled crews  use classic cooking techniques on the meticulously sourced meats and produce   that are delivered regularly to each restaurant. It's no coincidence that our founder   and CEO is a classically trained chef.    We care deeply about where our ingredients come from. While industrial farming practices have evolved to maximize profits and production, we make an extra effort to partner with farmers, ranchers, and other suppliers whose practices emphasize quality and responsibility. See how we're making choices with farmers, animals, and the environment in mind.    We've always done things differently, both in and out of our restaurants. Check out how we're changing the face of fast food, starting conversations, and directly supporting efforts to shift the future of farming and food. We hope you'll join us as we continue to learn, evolve, and shape what comes next on our mission to make better food accessible to everyone.",BD,chipotle-mexican-grill,"When Chipotle (pronounced chi-POAT-lay) opened its first store in 1993, the idea was simple: demonstrate that food served fast didn't have to be a ""fast-food"" experience. We use high-quality raw ingredients, classic cooking methods and distinctive interior design--features that are more frequently found in the world of fine dining. When we opened, there wasn't an industry category to describe what we were doing. Some 20 years and more than 1,600 restaurants later, we compete in a category of dining now called ""fast-casual,"" the fastest growing segment of the restaurant industry, where customers expect food quality that's more in line with full-service restaurants, coupled with the speed and convenience of fast food.",chipotle-mexican.png,http://www.columbia.edu/~rtd2118/logos/chipotle-mexican.png
