name,charming,cheerful,confident,contemporary,cool,corporate,daring,down-to-earth,exciting,familiar_with,family-oriented,favorability_rating,feminine,friendly,glamorous,good_looking,hard_working,honest,imaginative,independent,intelligent,leader,logo_consist,masculine,original,outdoorsy,purch_lik,purchased,real,reliable,rugged,secure,sentimental,sincere,small-town,smooth,spirited,successful,technical,tough,trendy,unique,up-to-date,upper_class,western,wholesome,young
adobe,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,3,3,2,3,3,0,3,3,3,3,3,2,3,3,3,3,3,1
adobe,1,0,3,3,2,1,1,1,2,4,0,4,0,1,1,3,2,3,4,2,3,1,4,0,2,0,4,3,2,4,0,3,0,1,0,0,2,2,3,0,4,2,3,1,1,0,2
adobe,2,0,4,3,4,4,3,3,0,3,1,3,0,2,0,4,3,2,3,3,4,3,3,4,3,0,3,2,3,4,0,2,2,3,0,3,2,4,4,2,3,3,3,3,0,2,0
adobe,2,0,4,4,2,4,4,4,3,4,2,3,2,3,0,2,4,3,4,4,4,4,3,2,4,0,3,3,4,4,0,4,0,4,0,4,3,4,4,4,4,2,4,2,4,2,3
adobe,0,0,0,0,0,2,0,0,3,3,0,4,0,0,0,0,2,3,3,0,0,2,3,0,0,0,3,2,2,3,0,2,0,0,0,0,0,3,2,0,0,0,2,2,0,0,0
adobe,2,3,2,3,3,3,3,3,3,3,3,4,1,3,3,3,3,2,2,2,3,3,4,1,3,2,4,3,2,3,3,3,2,3,2,3,2,2,2,3,2,3,3,2,2,2,2
adobe,1,1,1,1,2,2,1,1,3,4,0,3,0,1,2,2,1,2,4,1,2,2,4,0,2,0,3,3,2,3,0,2,0,2,0,1,1,2,2,0,2,3,3,3,0,2,0
adobe,0,0,3,1,0,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,4,0,1,0,4,3,0,1,0,2,0,2,0,1,0,3,3,0,0,2,1,0,0,0,0
adobe,1,1,3,4,3,4,1,2,2,4,2,3,1,3,2,1,3,3,1,3,3,4,3,2,3,0,3,3,2,4,1,3,1,4,0,4,1,3,3,1,1,2,4,2,0,1,0
adobe,3,1,1,1,1,1,1,3,1,3,2,4,2,3,1,2,2,2,1,2,2,2,4,1,1,0,4,3,2,1,2,2,1,1,1,2,1,2,2,1,3,1,2,1,1,2,1
adobe,0,0,2,0,0,2,0,0,0,4,0,3,0,1,0,0,0,2,1,1,1,0,4,0,2,0,3,3,0,2,0,2,0,1,0,2,0,1,1,0,0,0,1,1,0,1,0
adobe,0,0,1,0,2,4,1,0,2,4,0,3,0,0,0,0,0,3,4,0,3,4,4,0,0,0,3,3,4,3,0,2,0,0,0,2,3,0,4,0,0,0,3,0,0,0,0
adobe,4,2,4,2,4,4,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,3,2,4,0,4,3,4,4,0,4,2,4,0,4,2,4,4,2,2,4,4,4,0,4,2
adobe,2,1,2,2,1,3,1,1,3,3,2,4,1,1,1,1,2,2,2,3,3,3,4,0,2,1,3,2,2,3,2,3,1,1,0,1,1,2,3,1,2,1,2,2,1,2,1
