name,cb_desc,cb_id
twentyfirst-century-fox,"21st Century Fox is an American multinational mass media corporation. It is one of two companies created from the 2013 split of News Corporation (as founded by Milo and Mary Switz in 1979); 21st Century Fox retains the previous News Corporation's broadcasting and film assets and serves as its legal successor, while its publishing assets were spun off to form News Corp at the same time. The split was designed to ensure that both companies are operated under more ""focused"" management, which Murdoch claimed would ""unlock"" their true value. Among its holdings are Fox Entertainment Groupowners of the 20th Century Fox film studio and Fox television network among other assets, pan-Asian pay channel operator STAR TV, Italian television provider Sky Italia, and stakes in the television providers BSkyB and Sky Deutschland.",21st-century-fox
alcoa,"A global leader in lightweight metals engineering and manufacturing, Alcoa innovates multi-material solutions that advance our world.Our technologies enhance transportation, from automotive and commercial transport to air and space travel, and improve industrial and consumer electronics products.We enable smart buildings, sustainable food and beverage packaging, high-performance defense vehicles across air, land and sea, deeper oil and gas drilling and more efficient power generation.We pioneered the aluminum industry over 125 years ago, and today, our 60,000 people in 30 countries deliver value-add products made of titanium, nickel and aluminum, and produce best-in-class bauxite, alumina and primary aluminum products.",alcoa
chesapeake-energy-corporation,"Chesapeake Energy Corporation is the second-largest producer of natural gas, the 11th largest producer of oil and natural gas liquids and the most active driller of new wells in the U.S. Headquartered in Oklahoma City, the company's operations are focused on discovering and developing unconventional natural gas and oil fields onshore in the U.S. Chesapeake owns leading positions in the Eagle Ford, Utica, Granite Wash, Cleveland, Tonkawa, Mississippi Lime and Niobrara unconventional liquids plays and in the Marcellus, Haynesville/Bossier and Barnett unconventional natural gas shale plays. The company also owns substantial marketing and oilfield services businesses through its subsidiaries Chesapeake Energy Marketing, Inc. and Chesapeake Oilfield Services, L.L.C.†",chesapeake-energy
actavis,"Actavis plc (NYSE: ACT) is a global, integrated specialty pharmaceutical company focused on developing, manufacturing and distributing generic, brand and biosimilar products.The Company has global headquarters in Dublin, Ireland and Administrative Headquarters in Parsippany, New Jersey, USA.http://www.allergan.com/products/key-products/generic-products",actavis
adidas,"Adidas strives to be the leading sports brand in the world an ambitious yet realistic goal. One major lever to achieve this is the brand broad and unique product portfolio spanning from apparel and footwear for professional athletes to premium fashion. It allows adidas to address multiple consumer needs, tackle market opportunities from various angles as well as be less affected by one-dimensional market risks. This product portfolio as well as adidas commitment to excel in all relevant segments differentiates the brand from competitors and ensures solid market growth, while staying true to the brand values. Currently, the brand focuses on five global priorities: Football, Running, Training, Basketball and Originals.",adidas
adobe,"Adobe is a software company that provides its users with digital marketing and media solutions. Its tools and services allow its customers to create ground-breaking digital content, deploy it across media and devices, measure and optimize it over time, and achieve greater business success.The company helps its customers make, manage, measure, and monetize their content across every channel and screen. Its main products include Illustrator, Photoshop, Flash, Freehand, InDesign, Acrobat, Dreamweaver, and many others.Adobe is the global leader in digital marketing and digital media solutions. Their tools and services allow their customers to create groundbreaking digital content, deploy it across media and devices, measure and optimize it over time, and achieve greater business success. Adobe helps their customers make, manage, measure, and monetize their content across every channel and screen.Adobe was founded on January 1, 1982 in California, United States.",adobe-systems
aecom-technology,"AECOM is a global provider of professional technical and management support services to a broad range of markets, including transportation, facilities, environmental, energy, water and government. With approximately 45,000 employees around the world, AECOM is a leader in all of the key markets that it serves. AECOM provides a blend of global reach, local knowledge, innovation and technical excellence in delivering solutions that create, enhance and sustain the world's built, natural, and social environments. A Fortune 500 company, AECOM serves clients in more than 150 countries and had revenue of $8.0 billion during the 12 months ended March 31, 2014.",aecom
agco-corporation,"AGCO Corporation (AGCO) is a manufacturer and distributor of agricultural equipment and related replacement parts globally. The Company sells a range of agricultural equipment, including tractors, combines, self-propelled sprayers, hay tools, forage equipment and implements. It also manufactures and distributes grain storage and handling equipment systems, as well as protein production systems. Its products are recognized in the agricultural equipment industry and are marketed under a range of brands, including Challenger, Fendt, Massey Ferguson and Valtra. The Company distributes its products through a combination of approximately 3,100 independent dealers and distributors in more than 140 countries. In September 2013, Grain Systems, Inc. (GSI), a global brand of the Company announced that it has purchased Johnson System Inc. (JSI), manufacturer of catwalks, towers and support structures based in Marshall, Michigan.",agco-corporation
aig,"AIG Investments is a group of international companies that provide investment advice and market asset management products and services to clients around the world. AIG Investments is a worldwide leader in asset management, with extensive capabilities in equity, fixed income, hedge funds, private equity, and real estate.AIG Investments manages nearly US $758 billion in assets, and employs more than 2,100 employees in 46 offices around the world.",aig-investments
ak-steel-holding-corporation,"AK Steel Holding Corporation is an American steel company whose predecessor, Armco, was founded in 1899 in Middletown, Ohio",ak-steel
akamai-technologies,"Akamai is the leading provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.",akamai-technologies
alaska-air-group,"Alaska Airlines is the eighth-largest U.S. airline based on passenger traffic and is the dominant U.S. West Coast air carrier. Headquartered in Seattle, Alaska carries more passengers between the state of Alaska and the Lower 48 than any other airline. During recent years, the airline has expanded significantly to serve more U.S. East Coast, Mexican and Canadian destinations.",alaska-air-group
alliance-data-systems-corp,"Alliance Data Systems provides marketing, loyalty, and credit solutions in the United States, Canada, and other countries. It operates through various consumer marketing channels. Its marketing channels includes in-store, online, catalog, mail, telephone, email, mobile, and social media markets.It operates through three segments: LoyaltyOne, Epsilon, and Private Label Services and Credit. The LoyaltyOne segment owns and operates the AIR MILES Reward Program, a coalition loyalty program.  Epsilon provides integrated direct marketing solutions that leverage transactional data to help clients acquire and build relationships with its customers. The Private Label Services and Credit segment provides credit card processing, billing and payment processing, customer care, and collections services for private label retailers along with other services such as security services for credit cards and more.Alliance Data Systems was established in 1996 and is headquartered in Plano, Texas. It serves financial services, specialty retail, grocery and drugstore chains, petroleum retail, automotive, hospitality and travel, telecommunications, and pharmaceutical markets.",alliance-data-systems
allianz,Allianz offers a comprehensive range of insurance and asset management products and services to approximately 78 million customers in more,allianz
ally-financial,"Ally Financial Inc. is a automotive financial services company powered by a top direct banking franchise. Ally's automotive services business offers a full suite of financing products and services, including new and used vehicle inventory and consumer financing, leasing, inventory insurance, commercial loans and vehicle remarketing services. Ally Bank, the company's direct banking subsidiary, offers an array of deposit products, including certificates of deposit, savings accounts, money market accounts, IRA deposit products and interest checking. Ally's Commercial Finance unit provides financing to middle-market companies across a broad range of industries.",ally-bank
