HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.include,Input.url,Input.brand_identity,Input.source,Input.cb_id,Input.cb_desc,Input.logo_file,Input.logo_url,Answer.boring,Answer.charming,Answer.cheerful,Answer.confident,Answer.contemporary,Answer.cool,Answer.corporate,Answer.daring,Answer.dishonest,Answer.down-to-earth,Answer.exciting,Answer.familiar_with,Answer.family-oriented,Answer.favorability_rating,Answer.feminine,Answer.friendly,Answer.glamorous,Answer.good looking,Answer.hard working,Answer.honest,Answer.imaginative,Answer.independent,Answer.intelligent,Answer.leader,Answer.logo_consist,Answer.masculine,Answer.original,Answer.outdoorsy,Answer.purch_lik,Answer.purchased,Answer.real,Answer.reliable,Answer.rugged,Answer.secure,Answer.sentimental,Answer.sincere,Answer.small-town,Answer.smooth,Answer.spirited,Answer.successful,Answer.technical,Answer.tough,Answer.trendy,Answer.ugly,Answer.unique,Answer.up-to-date,Answer.upper class,Answer.western,Answer.wholesome,Answer.young,QC.Boring,QC.Dishonest,QC.Ugly,QC.SD,Approve,Reject
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,3I0BTBYZAZTNTCW94KK48VXANSB0YY,A145AXBDTCIW6Z,Submitted,Sat Apr 15 20:53:03 PDT 2017,Sat Apr 15 20:55:48 PDT 2017,Mon Apr 17 20:55:48 PDT 2017,,,,165,0% (0/0),0% (0/0),0% (0/0),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,1,0,0,2,1,1,3,3,1,2,1,2,0,2,0,1,0,1,2,2,0,0,0,2,3,4,1,1,2,1,1,2,2,2,1,1,0,0,1,1,3,2,0,0,0,1,0,1,1,1,FALSE,FALSE,FALSE,FALSE,x,
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,39DD6S19JRJMPSL88DL27R8GNNSEZS,A1515RF1RMDNGF,Submitted,Sun Apr 16 00:14:45 PDT 2017,Sun Apr 16 00:31:54 PDT 2017,Tue Apr 18 00:31:54 PDT 2017,,,,1029,0% (0/0),0% (0/0),0% (0/0),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,0,1,3,3,0,1,2,0,0,0,0,2,0,2,0,0,0,0,3,3,1,2,3,1,3,0,1,0,3,1,1,3,1,2,0,3,0,0,0,3,1,1,1,0,1,4,0,0,0,0,FALSE,FALSE,FALSE,FALSE,x,
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,3SBEHTYCWPBY07DP8A9AEZX69MSIYB,A15HF9M3EGMCWL,Submitted,Sat Apr 15 21:23:50 PDT 2017,Sat Apr 15 21:28:05 PDT 2017,Mon Apr 17 21:28:05 PDT 2017,,,,255,0% (0/0),0% (0/0),0% (0/0),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,0,0,4,4,2,1,3,1,0,4,2,2,4,4,0,4,1,1,4,3,1,3,3,4,3,3,4,1,4,1,4,4,4,4,2,4,0,2,4,3,3,4,1,0,2,3,0,3,1,2,FALSE,FALSE,FALSE,FALSE,x,
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,3BGYGHDBBZS4O16GQMHNIFPK5B0223,A1601UNFFAAQOI,Submitted,Sat Apr 15 21:05:22 PDT 2017,Sat Apr 15 21:07:08 PDT 2017,Mon Apr 17 21:07:08 PDT 2017,,,,106,0% (0/0),0% (0/0),0% (0/0),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,3,0,1,2,0,0,3,0,0,1,0,2,1,2,0,1,0,0,2,1,0,1,1,1,2,3,0,2,3,1,2,1,2,1,0,1,0,0,1,2,3,2,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,x,
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,3PIWWX1FJLE40T2W4ST7GDXI9XCJJY,A17ELSQUMU0QT6,Submitted,Sun Apr 16 02:13:30 PDT 2017,Sun Apr 16 02:26:32 PDT 2017,Tue Apr 18 02:26:32 PDT 2017,,,,782,0% (0/0),0% (0/0),0% (0/0),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,0,0,1,0,0,0,1,0,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0,1,2,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,,Failed quality control check.
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,37M28K1J0SLTZ0ZSAMGUNEUZJAEJAE,A1RWNYJA5X25YH,Submitted,Sat Apr 15 20:58:36 PDT 2017,Sat Apr 15 21:00:26 PDT 2017,Mon Apr 17 21:00:26 PDT 2017,,,,110,100% (1/1),100% (1/1),100% (1/1),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,0,2,4,4,2,4,3,2,0,4,2,2,4,4,1,4,0,2,4,4,2,4,4,4,4,4,4,4,4,1,4,4,4,4,2,4,4,4,4,4,4,4,3,0,2,4,2,2,4,0,FALSE,FALSE,FALSE,FALSE,x,
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,3FE2ERCCZZGENFWRFIQWL50GHQOPOJ,A1SJI2TEA1X4OQ,Submitted,Sat Apr 15 21:22:14 PDT 2017,Sat Apr 15 21:24:31 PDT 2017,Mon Apr 17 21:24:31 PDT 2017,,,,137,0% (0/0),0% (0/0),0% (0/0),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,1,1,1,3,1,1,2,1,0,1,2,1,2,3,1,3,1,1,2,3,1,2,2,1,3,2,1,1,3,1,3,3,1,3,1,2,1,1,2,3,3,1,2,0,1,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE,x,
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,3O7L7BFSHGX0U2WY89XG7W5QRANEIS,A1XLGIFFGB01EU,Submitted,Sat Apr 15 21:00:31 PDT 2017,Sat Apr 15 21:05:45 PDT 2017,Mon Apr 17 21:05:45 PDT 2017,,,,314,0% (0/0),0% (0/0),0% (0/0),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,2,2,0,3,0,0,0,0,0,3,0,2,0,1,1,0,0,0,2,3,0,4,2,2,3,3,3,2,3,1,3,2,3,3,0,3,0,0,0,3,3,3,0,0,0,1,0,1,2,1,FALSE,FALSE,FALSE,FALSE,x,
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,3NS0A6KXC6GK96HZE8BQ7UTS034GZ8,A2256DN6GN5K3N,Submitted,Sat Apr 15 20:57:22 PDT 2017,Sat Apr 15 21:00:08 PDT 2017,Mon Apr 17 21:00:08 PDT 2017,,,,166,0% (0/0),0% (0/0),0% (0/0),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,1,2,2,3,1,3,1,2,1,3,1,2,2,3,1,3,1,2,3,3,2,3,3,3,3,3,2,2,4,1,3,3,3,3,1,2,2,3,3,4,3,3,3,0,2,3,1,4,2,2,FALSE,FALSE,FALSE,FALSE,x,
3P6ENY9P7A39RSP6880L4F7JJ82HIO,395K4VYE02V186ITZXV32V7H11P56Z,Evaluate how well words describe brands ($0.3 per 2-3 min),"We will give you a company information, and you will evaluate how well certain words describe the brand.","branding, marketing, survey",$0.30,Sat Apr 15 20:48:43 PDT 2017,20,BatchId:2767892;OriginalHitTemplateId:920937305;,1200,172800,Sat Apr 22 20:48:43 PDT 2017,,,3YJ6NA41JDO0M45UZ5YRD9JUIWEPJ0,A2LI51CANHJ00M,Submitted,Sat Apr 15 21:20:12 PDT 2017,Sat Apr 15 21:22:42 PDT 2017,Mon Apr 17 21:22:42 PDT 2017,,,,150,0% (0/0),0% (0/0),0% (0/0),autozone,2,http://www.autozone.com/,AutoZone is the leading retailer and a leading distributor of automotive replacement parts and accessories in the U.S.AutoZone is built on a culture of philanthropy which does all they can to meet the needs of the present while protecting our future.,BD,autozone,"For over 30 years, AutoZone has been committed to providing the best auto parts, prices and customer service in the automotive aftermarket industry. At AutoZone.com they focuses on putting customers first, according to their highly dedicated crew of skilled staff who specialize in various essential car and machine products. Their staff is dedicated to bringing only the best quality of automotive parts of customers and clients all over the world.  Without any doubt, today, AutoZone.com is the leading retailer and a leading distributor of automotive replacement parts and accessories in the United States.",autozone.jpg,http://www.columbia.edu/~rtd2118/logos/autozone.jpg,1,4,3,4,3,4,2,2,0,3,3,2,3,2,1,3,2,2,4,3,2,3,3,3,1,3,4,1,3,1,3,4,2,2,2,3,1,3,3,4,4,3,2,0,4,3,1,2,3,1,FALSE,FALSE,FALSE,FALSE,x,
