name,feat,area,frac,ftype,style,family,ver
21st-century-fox,0,456.0,0.009313725490196078,sans,geom,futura,bold
21st-century-fox,1,304.0,0.006209150326797385,sans,grotesque,helvetica,bold
21st-century-fox,2,362.0,0.007393790849673202,sans,geom-square,eurostile,bold
21st-century-fox,3,459.0,0.009375,sans,humanist,gillsans,bold
21st-century-fox,4,440.0,0.008986928104575163,sans,geom,futura,bold
21st-century-fox,5,626.0,0.0127859477124183,sans,grotesque,helvetica,bold
21st-century-fox,6,363.0,0.0074142156862745095,sans,geom-square,eurostile,bold
21st-century-fox,7,559.0,0.011417483660130718,sans,grotesque,helvetica,bold
21st-century-fox,8,383.0,0.007822712418300654,sans,geom-square,eurostile,bold
21st-century-fox,9,385.0,0.007863562091503268,sans,geom,futura,bold
21st-century-fox,10,613.0,0.012520424836601308,sans,grotesque,helvetica,bold
21st-century-fox,11,520.0,0.010620915032679739,sans,geom,futura,cb
abbott-labs,0,894.0,0.02018970189701897,serif,oldstyle,bembo,bold
abbott-labs,1,805.0,0.018179765130984644,serif,clarendon,clarendon,bold
abbott-labs,2,806.0,0.01820234869015357,serif,clarendon,clarendon,bold
abbott-labs,3,605.0,0.013663053297199638,serif,clarendon,clarendon,bold
abbvie-inc,0,2357.0,0.010265321765792132,sans,grotesque,helvetica,light
abm,0,82.0,0.0023437946607214313,sans,geom,comfortaa,orig
abm,1,45.0,0.0012862287772251759,sans,geom,comfortaa,orig
abm,2,45.0,0.0012862287772251759,serif,slab,rockwell,co
abm,3,69.0,0.001972217458411936,sans,geom-square,eurostile,bold
abm,4,24.0,0.0006859886811867604,serif,slab,rockwell,co
abm,5,31.0,0.0008860687131995655,sans,geom,futura,orig
abm,6,111.0,0.003172697650488767,sans,humanist,gillsans,cb
abm,7,67.0,0.001915051734979706,sans,geom,futura,bold
accenture,0,973.0,0.014163027656477438,serif,transitional,times,cb
accenture,1,1406.0,0.020465793304221252,sans,humanist,gillsans,orig
accenture,2,775.0,0.011280931586608443,sans,geom,bauhaus,orig
accenture,3,1402.0,0.020407569141193595,sans,humanist,gillsans,orig
accenture,4,1351.0,0.019665211062590976,sans,humanist,gillsans,orig
ace,0,5717.0,0.0818175313059034,sans,geom-square,eurostile,bi
ace,1,826.0,0.011821109123434705,sans,geom,futura,bi
ace,2,329.0,0.0047084078711985685,sans,geom,futura,cbi
ace,3,737.0,0.010547406082289804,sans,geom,futura,bi
ace,4,332.0,0.00475134168157424,sans,geom,futura,cbi
ace,5,551.0,0.007885509838998212,sans,geom,futura,italic
actavis,0,6698.0,0.034089983713355046,callig,glyphic,copperplate-gothic,bold
actavis,1,3582.0,0.01823086319218241,sans,geom,futura,cb
actavis,2,3576.0,0.018200325732899023,sans,humanist,gillsans,orig
actavis,3,3802.0,0.01935057003257329,sans,humanist,gillsans,orig
actavis,4,3894.0,0.019818811074918567,sans,geom,futura,bold
actavis,5,2225.0,0.011324307817589576,sans,humanist,gillsans,bold
activision-blizzard,0,2537.0,0.030478501663883516,sans,geom-square,eurostile,co
activision-blizzard,1,890.0,0.010692103461117985,callig,glyphic,trajan,orig
activision-blizzard,2,316.0,0.0037962974086666107,sans,geom,bauhaus,bold
activision-blizzard,3,314.0,0.0037722702098775813,sans,grotesque,helvetica,bold
activision-blizzard,4,315.0,0.003784283809272096,sans,geom,bauhaus,bold
activision-blizzard,5,331.0,0.0039765013995843295,sans,geom,bauhaus,bold
activision-blizzard,6,987.0,0.011857422602385901,sans,humanist,gillsans,orig
activision-blizzard,7,1355.0,0.01627842717956727,sans,geom,bauhaus,bold
activision-blizzard,8,552.0,0.0066315068657720536,sans,humanist,gillsans,bold
activision-blizzard,9,596.0,0.007160105239130696,sans,humanist,gillsans,bold
activision-blizzard,10,798.0,0.009586852316822643,sans,humanist,gillsans,cb
activision-blizzard,11,598.0,0.007184132437919725,sans,humanist,gillsans,bold
adidas,0,506.0,0.007272622743474761,sans,geom,futura,orig
adidas,1,1423.0,0.020452454869495228,sans,geom,futura,orig
adidas,2,1398.0,0.02009313556398758,sans,geom,futura,orig
adobe,0,827.0,0.014168722587719298,sans,grotesque,helvetica,cb
adobe,1,843.0,0.014442845394736841,serif,transitional,times,cb
adobe,2,612.0,0.010485197368421052,sans,humanist,gillsans,cb
advance-auto-parts,0,212.0,0.010534684953289604,sans,geom-square,eurostile,italic
advance-auto-parts,1,110.0,0.005466110117272908,serif,oldstyle,bembo,bi
advance-auto-parts,2,97.0,0.004820115285231564,serif,oldstyle,bembo,bi
advance-auto-parts,3,142.0,0.007056251242297754,sans,grotesque,helvetica,bi
aecom-technology,0,1116.0,0.041223404255319146,sans,humanist,gillsans,orig
aecom-technology,1,1466.0,0.05415189125295508,callig,glyphic,copperplate-gothic,bold
aecom-technology,2,398.0,0.014701536643026005,callig,casual,nadianne,bold
aecom-technology,3,1951.0,0.07206708037825059,sans,geom,futura,bi
aes,0,1243.0,0.018077370564281558,sans,geom,comfortaa,bold
aes,1,1169.0,0.017001163467132055,sans,grotesque,helvetica,cb
aes,2,1093.0,0.01589586969168121,sans,humanist,gillsans,light
aes,3,86.0,0.0012507271669575334,sans,humanist,gillsans,italic
aes,4,73.0,0.0010616637579988365,callig,casual,nadianne,orig
aes,5,49.0,0.0007126236183827806,callig,casual,nadianne,orig
aes,6,89.0,0.0012943571844095405,sans,humanist,gillsans,italic
aes,7,48.0,0.0006980802792321117,sans,grotesque,helvetica,ci
aes,8,51.0,0.0007417102966841187,serif,didone,bodoni,italic
aes,9,70.0,0.0010180337405468296,sans,humanist,gillsans,bi
aes,10,41.0,0.0005962769051774287,sans,humanist,gillsans,italic
aes,11,31.0,0.0004508435136707388,sans,grotesque,helvetica,cbi
aes,12,66.0,0.0009598603839441536,serif,slab,rockwell,italic
aetna,0,531.0,0.030610480198305184,serif,transitional,times,bold
aetna,1,776.0,0.04473395976249495,sans,humanist,gillsans,cb
aflac,0,8413.0,0.05070515911282546,sans,humanist,gillsans,orig
aflac,1,13177.0,0.07941779170684668,sans,humanist,gillsans,orig
aflac,2,7193.0,0.04335221793635487,sans,humanist,gillsans,orig
aflac,3,1755.0,0.01057738669238187,sans,geom,futura,cbi
aflac,4,16.0,9.643201542912247e-05,sans,geom,futura,light
aflac,5,3.0,1.8081002892960463e-05,sans,humanist,gillsans,cb
aflac,6,3.0,1.8081002892960463e-05,sans,humanist,gillsans,cb
aflac,7,3.0,1.8081002892960463e-05,sans,humanist,gillsans,cb
aflac,8,9.0,5.424300867888139e-05,sans,grotesque,helvetica,light
aflac,9,3.0,1.8081002892960463e-05,sans,humanist,gillsans,cb
agco-corporation,0,92.0,0.0014829142488716957,sans,humanist,gillsans,co
agco-corporation,1,140.0,0.002256608639587363,sans,grotesque,helvetica,cb
agco-corporation,2,183.0,0.0029497098646034817,callig,glyphic,copperplate-gothic,bold
agco-corporation,3,144.0,0.0023210831721470018,sans,geom,bauhaus,orig
agco-corporation,4,110.0,0.0017730496453900709,sans,grotesque,helvetica,cb
agco-corporation,5,149.0,0.002401676337846551,sans,grotesque,helvetica,bold
agco-corporation,6,79.0,0.0012733720180528691,sans,grotesque,helvetica,cb
agco-corporation,7,217.0,0.0034977433913604126,sans,grotesque,helvetica,cb
agco-corporation,8,94.0,0.0015151515151515152,sans,grotesque,helvetica,cb
agco-corporation,9,64.0,0.0010315925209542231,sans,humanist,gillsans,bold
agco-corporation,10,99.0,0.0015957446808510637,sans,geom,bauhaus,orig
agco-corporation,11,153.0,0.0024661508704061897,sans,geom-square,eurostile,bold
agco-corporation,12,138.0,0.0022243713733075435,sans,humanist,gillsans,cb
agco-corporation,13,85.0,0.0013700838168923275,sans,geom,bauhaus,orig
agco-corporation,14,145.0,0.0023372018052869115,serif,clarendon,clarendon,bold
agco-corporation,15,195.0,0.0031431334622823983,sans,humanist,gillsans,cb
agco-corporation,16,152.0,0.00245003223726628,sans,grotesque,helvetica,cb
aig,0,790.0,0.0350177304964539,sans,geom,futura,orig
aig,1,638.0,0.02828014184397163,sans,geom,futura,orig
aig,2,308.0,0.013652482269503547,sans,geom-square,eurostile,co
air-products--chemicals,0,1467.0,0.019429434202161474,sans,grotesque,helvetica,bi
air-products--chemicals,1,1355.0,0.01794606908243272,sans,grotesque,helvetica,bi
air-products--chemicals,2,10865.0,0.1438996609451155,callig,casual,nadianne,orig
airbnb,0,1778.0,0.02437954202660085,sans,geom,bauhaus,orig
airbnb,1,1771.0,0.024283559577677225,sans,geom,bauhaus,orig
airbnb,2,1518.0,0.02081447963800905,sans,geom,futura,orig
airbnb,3,745.0,0.010215274921157274,sans,grotesque,helvetica,orig
airbnb,4,1292.0,0.017715617715617717,sans,geom,futura,orig
airbnb,5,564.0,0.007733443027560675,sans,humanist,gillsans,bold
airgas,0,4491.0,0.06286922193913262,sans,geom,futura,cb
airgas,1,2106.0,0.02948175938628664,sans,geom,futura,co
airgas,2,4310.0,0.06033541450849735,sans,geom-square,eurostile,cb
airgas,3,3339.0,0.04674244757398438,sans,grotesque,helvetica,cb
airgas,4,1871.0,0.026192009407285045,sans,humanist,gillsans,bold
airgas,5,181.0,0.0025338074306352717,sans,grotesque,helvetica,orig
airgas,6,105.0,0.0014698882884900749,sans,geom-square,eurostile,orig
airgas,7,188.0,0.0026317999832012767,sans,geom,comfortaa,bold
airgas,8,161.0,0.0022538287090181144,sans,grotesque,helvetica,orig
airgas,9,123.0,0.0017218691379455161,sans,grotesque,helvetica,orig
airgas,10,74.0,0.0010359212699834813,sans,grotesque,helvetica,orig
airgas,11,51.0,0.0007139457401237506,sans,humanist,gillsans,co
airgas,12,172.0,0.002407817005907551,sans,grotesque,helvetica,light
airgas,13,119.0,0.0016658733936220848,sans,grotesque,helvetica,orig
airgas,14,51.0,0.0007139457401237506,sans,humanist,gillsans,co
airgas,15,154.0,0.0021558361564521095,sans,grotesque,helvetica,orig
airgas,16,120.0,0.0016798723297029425,sans,grotesque,helvetica,orig
airgas,17,146.0,0.002043844667805247,sans,grotesque,helvetica,orig
airgas,18,214.0,0.002995772321303581,sans,geom,futura,orig
airgas,19,172.0,0.002407817005907551,sans,grotesque,helvetica,orig
airgas,20,158.0,0.002211831900775541,sans,grotesque,helvetica,orig
airgas,21,120.0,0.0016798723297029425,sans,grotesque,helvetica,orig
airgas,22,128.0,0.0017918638183498053,sans,grotesque,helvetica,orig
ak-steel-holding-corporation,0,505.0,0.015904009070009134,sans,geom,futura,bold
ak-steel-holding-corporation,1,537.0,0.016911787862564167,sans,geom,futura,bold
ak-steel-holding-corporation,2,430.0,0.013542027524958271,sans,humanist,gillsans,orig
ak-steel-holding-corporation,3,203.0,0.006393096715270998,sans,humanist,gillsans,bold
ak-steel-holding-corporation,4,216.0,0.0068025068497464805,sans,geom,futura,cb
ak-steel-holding-corporation,5,324.0,0.01020376027461972,serif,slab,rockwell,bold
ak-steel-holding-corporation,6,326.0,0.01026674644915441,serif,slab,rockwell,bold
ak-steel-holding-corporation,7,394.0,0.012408276383333859,sans,geom,futura,bold
ak-steel-holding-corporation,8,388.0,0.01221931785972979,sans,geom,futura,bold
akamai-technologies,0,853.0,0.02357656163626313,sans,geom-square,eurostile,bi
akamai-technologies,1,587.0,0.016224433388612493,sans,geom-square,eurostile,bi
akamai-technologies,2,535.0,0.01478717523493643,sans,geom-square,eurostile,bi
akamai-technologies,3,774.0,0.021393034825870648,sans,geom-square,eurostile,bi
akamai-technologies,4,532.0,0.014704256495301271,sans,geom-square,eurostile,bi
akamai-technologies,5,228.0,0.006301824212271974,sans,grotesque,helvetica,bi
allergan,0,376.0,0.014234875444839857,sans,humanist,gillsans,bi
allergan,1,177.0,0.006700991898235784,sans,geom,futura,ci
allergan,2,178.0,0.006738850609525252,sans,geom,futura,ci
allergan,3,171.0,0.006473839630498978,sans,humanist,gillsans,italic
allergan,4,294.0,0.011130461119103506,sans,humanist,gillsans,bi
allergan,5,396.0,0.014992049670629212,sans,humanist,gillsans,bi
alliance-data-systems-corp,0,219.0,0.0029185990724452265,sans,geom,comfortaa,orig
alliance-data-systems-corp,1,220.0,0.0029319260088490856,sans,grotesque,helvetica,light
alliance-data-systems-corp,2,500.0,0.006663468201929741,sans,geom,comfortaa,light
alliance-data-systems-corp,3,323.0,0.004304600458446613,sans,geom-square,eurostile,orig
alliance-data-systems-corp,4,272.0,0.003624926701849779,sans,geom,comfortaa,orig
alliance-data-systems-corp,5,353.0,0.004704408550562397,sans,geom,comfortaa,orig
alliance-data-systems-corp,6,135.0,0.00179913641452103,sans,humanist,gillsans,co
alliance-data-systems-corp,7,632.0,0.008422623807239191,sans,grotesque,helvetica,orig
alliance-data-systems-corp,8,270.0,0.00359827282904206,sans,humanist,gillsans,light
alliance-data-systems-corp,9,474.0,0.006316967855429394,sans,geom,comfortaa,bold
allianz,0,3027.0,0.04077975965942771,sans,geom,futura,light
allianz,1,2364.0,0.031847820229562965,callig,glyphic,copperplate-gothic,bold
allianz,2,1144.0,0.015411973918197985,serif,didone,bodoni,bold
allianz,3,1082.0,0.014576709597456486,sans,geom,futura,cb
allianz,4,1021.0,0.013754917281888237,sans,geom,futura,cb
allianz,5,756.0,0.01018483591097699,sans,humanist,gillsans,bold
allianz,6,709.0,0.00955165166783424,sans,humanist,gillsans,bold
allianz,7,871.0,0.011734116505900739,sans,geom-square,eurostile,bold
allianz,8,1398.0,0.01883386323220348,sans,geom,bauhaus,orig
allstate,0,295.0,0.009837268240629585,sans,humanist,gillsans,co
allstate,1,259.0,0.008636788048552755,sans,humanist,gillsans,co
allstate,2,356.0,0.011871415232759771,sans,geom,comfortaa,bold
allstate,3,356.0,0.011871415232759771,sans,geom,comfortaa,bold
allstate,4,388.0,0.012938508736828065,callig,glyphic,copperplate-gothic,bold
allstate,5,453.0,0.015106042416966788,sans,humanist,gillsans,orig
ally-financial,0,3828.0,0.054090716405256464,sans,humanist,gillsans,co
ally-financial,1,3828.0,0.054090716405256464,sans,humanist,gillsans,co
ally-financial,2,6065.0,0.08570015543309312,sans,humanist,gillsans,co
alphabet,0,2206.0,0.029590878604963112,sans,grotesque,helvetica,light
alphabet,1,935.0,0.012541918175720992,sans,grotesque,helvetica,light
alphabet,2,1831.0,0.024560697518444,sans,geom-square,eurostile,orig
alphabet,3,2145.0,0.028772635814889334,sans,geom,comfortaa,bold
alphabet,4,1169.0,0.01568075117370892,sans,geom,comfortaa,light
alphabet,5,2155.0,0.02890677397719651,sans,geom,comfortaa,bold
alphabet,6,1857.0,0.024909456740442655,sans,geom,comfortaa,orig
altria-group,0,425.0,0.006961506961506962,callig,glyphic,trajan,orig
altria-group,1,651.0,0.010663390663390664,callig,glyphic,trajan,orig
altria-group,2,339.0,0.005552825552825553,serif,transitional,times,orig
altria-group,3,383.0,0.006273546273546274,serif,transitional,times,orig
altria-group,4,292.0,0.004782964782964783,serif,clarendon,clarendon,orig
amazon,0,297.0,0.012941176470588235,sans,humanist,gillsans,cb
amazon,1,314.0,0.013681917211328975,sans,grotesque,helvetica,cb
amazon,2,169.0,0.007363834422657952,sans,grotesque,helvetica,co
amazon,3,196.0,0.008540305010893246,callig,glyphic,copperplate-gothic,orig
amazon,4,266.0,0.01159041394335512,sans,geom,futura,light
amazon,5,426.0,0.018562091503267975,sans,grotesque,helvetica,orig
ameren-corporation,0,1689.0,0.023413782109042516,sans,grotesque,helvetica,cbi
ameren-corporation,1,1303.0,0.018062852627639077,sans,grotesque,helvetica,cbi
ameren-corporation,2,743.0,0.01029984612612113,sans,grotesque,helvetica,italic
ameren-corporation,3,1311.0,0.018173752720517904,sans,grotesque,helvetica,cbi
ameren-corporation,4,1373.0,0.019033228440328818,sans,grotesque,helvetica,cbi
american-airlines,0,232.0,0.003629764065335753,sans,geom,comfortaa,bold
american-airlines,1,499.0,0.007807121847424745,sans,geom-square,eurostile,orig
american-airlines,2,497.0,0.007775830777895988,sans,geom-square,eurostile,orig
american-airlines,3,601.0,0.009402966393391327,sans,humanist,gillsans,orig
american-airlines,4,219.0,0.003426372113398836,sans,grotesque,helvetica,orig
american-airlines,5,273.0,0.0042712309906752614,sans,geom,bauhaus,orig
american-airlines,6,380.0,0.005945303210463734,sans,geom,futura,orig
american-airlines,7,222.0,0.0034733087176919706,sans,grotesque,helvetica,orig
american-airlines,8,381.0,0.005960948745228112,sans,humanist,gillsans,orig
american-airlines,9,383.0,0.005992239814756869,sans,humanist,gillsans,orig
american-airlines,10,312.0,0.004881406846486013,callig,glyphic,copperplate-gothic,orig
american-airlines,11,168.0,0.0026284498404155455,sans,humanist,gillsans,co
american-airlines,12,168.0,0.0026284498404155455,sans,humanist,gillsans,co
american-airlines,13,168.0,0.0026284498404155455,sans,humanist,gillsans,co
american-airlines,14,232.0,0.003629764065335753,sans,humanist,gillsans,bold
american-airlines,15,231.0,0.003614118530571375,sans,humanist,gillsans,bold
american-electric-power-company,0,397.0,0.006892361111111111,sans,geom,futura,bi
american-electric-power-company,1,260.0,0.0045138888888888885,sans,humanist,gillsans,bi
american-electric-power-company,2,498.0,0.008645833333333333,sans,geom,futura,bi
american-electric-power-company,3,342.0,0.0059375,sans,geom,futura,bi
american-electric-power-company,4,402.0,0.0069791666666666665,sans,geom,futura,bi
american-electric-power-company,5,363.0,0.006302083333333333,sans,geom,futura,bi
american-electric-power-company,6,270.0,0.0046875,sans,humanist,gillsans,bi
american-electric-power-company,7,399.0,0.006927083333333334,sans,geom,futura,bi
american-electric-power-company,8,737.0,0.012795138888888889,sans,humanist,gillsans,bi
american-electric-power-company,9,446.0,0.007743055555555556,sans,geom,futura,bi
american-express,0,84.0,0.0042859329557630495,sans,geom-square,eurostile,bold
american-express,1,36.0,0.0018368284096127354,sans,humanist,gillsans,bold
american-express,2,423.0,0.02158273381294964,callig,casual,nadianne,bold
american-family-insurance-group,0,363.0,0.004946447551304064,sans,humanist,gillsans,cb
american-family-insurance-group,1,438.0,0.005968440847028043,callig,glyphic,copperplate-gothic,bold
american-family-insurance-group,2,713.0,0.009715749598015971,sans,grotesque,helvetica,bold
american-family-insurance-group,3,406.0,0.005532390374185812,sans,humanist,gillsans,cb
american-family-insurance-group,4,515.0,0.007017687297304663,callig,glyphic,copperplate-gothic,bold
american-family-insurance-group,5,231.0,0.0031477393508298587,sans,humanist,gillsans,bold
american-family-insurance-group,6,438.0,0.005968440847028043,sans,geom,futura,bold
american-family-insurance-group,7,352.0,0.004796555201264547,sans,humanist,gillsans,bold
american-family-insurance-group,8,432.0,0.005886681383370125,callig,glyphic,copperplate-gothic,bold
american-family-insurance-group,9,232.0,0.0031613659281061785,sans,humanist,gillsans,bold
american-family-insurance-group,10,308.0,0.004196985801106478,sans,geom-square,eurostile,bold
american-family-insurance-group,11,334.0,0.004551276810290791,callig,glyphic,copperplate-gothic,bold
american-financial-group,0,143.0,0.002012667135819845,callig,glyphic,trajan,bold
american-financial-group,1,114.0,0.0016045038705137227,callig,glyphic,copperplate-gothic,bold
american-financial-group,2,157.0,0.0022097114707952145,serif,transitional,americana,orig
american-financial-group,3,112.0,0.0015763546798029558,serif,didone,bodoni,italic
american-financial-group,4,168.0,0.0023645320197044333,serif,transitional,americana,italic
american-financial-group,5,139.0,0.001956368754398311,serif,oldstyle,centaur,bi
american-financial-group,6,112.0,0.0015763546798029558,serif,didone,bodoni,italic
american-financial-group,7,125.0,0.0017593244194229415,serif,didone,bodoni,italic
american-financial-group,8,87.0,0.0012244897959183673,sans,grotesque,helvetica,co
american-financial-group,9,102.0,0.0014356087262491204,sans,grotesque,helvetica,co
american-financial-group,10,83.0,0.0011681914144968332,serif,slab,rockwell,light
american-financial-group,11,101.0,0.0014215341308937367,sans,grotesque,helvetica,co
american-financial-group,12,87.0,0.0012244897959183673,sans,geom,futura,orig
american-financial-group,13,103.0,0.0014496833216045039,sans,grotesque,helvetica,co
american-financial-group,14,69.0,0.0009711470795214637,sans,grotesque,helvetica,co
american-financial-group,15,130.0,0.0018296973961998593,sans,grotesque,helvetica,cb
american-financial-group,16,144.0,0.0020267417311752287,sans,humanist,gillsans,co
american-financial-group,17,133.0,0.00187192118226601,sans,grotesque,helvetica,cb
american-financial-group,18,167.0,0.00235045742434905,sans,geom,futura,cb
american-financial-group,19,119.0,0.0016748768472906405,sans,grotesque,helvetica,cb
ameriprise-financial,0,259.0,0.007120274914089347,serif,transitional,americana,bold
