chars,colors,corners,edge,entropy,feat_size,feats,h_mean,h_sd,ht,name,perc_white,s_mean,s_sd,v_mean,v_sd,wt
1,4,69,0.038685769,3.728136733,0.046911014,13,0.147389349,0.25319011,109,maytag,0.622542595,0.150760604,0.346372651,0.787193359,0.787193359,203
3,4,87,0.030890986,3.558842113,0.108654999,12,0.452036291,0.40082726,356,quaker-foods-and-snacks,0.315837647,0.4840817,0.370084434,0.667609432,0.667609432,356
3,2,91,0.028215725,3.341611258,0.039895356,11,0.285730609,0.291278658,139,american-express,0.555946732,0.352091888,0.413589967,0.929061007,0.929061007,141
12,4,63,0.055010272,3.115748155,0.01468212,32,0.159936513,0.256743259,247,activision-blizzard,0.605929913,0.141608564,0.260371602,0.865098963,0.865098963,337
0,5,9,0.033342595,3.038794798,0.050006175,6,0.165430514,0.290771641,122,nbc,0.674400296,0.239411071,0.365110396,0.91357149,0.91357149,177
1,4,104,0.052567079,3.012795287,0.034376689,21,0.339261465,0.401392084,136,penske-automotive-group,0.591170021,0.08000286,0.223139229,0.852259885,0.852259885,228
0,2,19,0.030268199,2.981536446,0.478591954,1,0.278009231,0.284024605,144,citi,0.514798851,0.471931234,0.491189883,0.903477951,0.903477951,145
2,4,86,0.032152778,2.922193317,0.054873575,13,0.24010674,0.268875633,160,landrover,0.581435185,0.258537066,0.425773271,0.762677015,0.762677015,270
4,4,15,0.015025365,2.743154287,0.010218966,96,0.243271642,0.287892512,1042,volkswagen,0.463521539,0.292314996,0.398130501,0.799778976,0.799778976,1042
8,4,164,0.024121573,2.735362952,0.023377221,28,0.17669074,0.296187385,416,wipro,0.611107559,0.210398871,0.320238425,0.808831653,0.808831653,376
6,3,42,0.033294295,2.680294901,0.028412333,13,0.281150299,0.374824534,139,chevron,0.650995483,0.287381245,0.406517802,0.916726537,0.916726537,129
13,3,102,0.019688889,2.613346812,0.026111111,14,0.111055424,0.188248367,90,dollar-general,0.620088889,0.345344404,0.455643209,0.89703756,0.89703756,250
1,5,51,0.027014568,2.600229023,0.023160954,27,0.061091903,0.147975752,319,nissan,0.671399594,0.003791459,0.011696766,0.862936259,0.862936259,340
1,6,52,0.026091954,2.592809518,0.00543514,21,0.087724149,0.216442142,116,cadillac,0.779137931,0.043977667,0.160612752,0.901822628,0.901822628,150
0,2,17,0.02075674,2.461258437,0.078201593,3,0.172168065,0.254425725,96,pfizer,0.749770221,0.229452415,0.403642695,0.967614319,0.967614319,136
4,4,34,0.020606618,2.414751381,0.054495251,12,0.226575861,0.291361809,320,upc,0.649613971,0.170866591,0.246573493,0.940005262,0.940005262,340
6,5,145,0.035402249,2.414389458,0.058457324,15,0.221882299,0.253457198,340,dicks-sporting,0.529684256,0.283672545,0.353905549,0.759893192,0.759893192,680
2,2,228,0.027310759,2.366529075,0.007455628,28,0.148827101,0.253035106,206,first-american-financial-corporation,0.780843003,0.112245338,0.248129035,0.914969611,0.914969611,246
13,6,83,0.039387052,2.334365511,0.018631891,21,0.281889033,0.398410286,182,western-refining,0.599111975,0.039868386,0.090839497,0.740383961,0.740383961,469
0,9,69,0.034946644,2.32807172,0.032766904,5,0.124605989,0.275705276,117,cabelas-inc,0.685657209,0.134892766,0.259172643,0.889826591,0.889826591,338
5,2,65,0.032298137,2.27814496,0.018901474,17,0.217088389,0.272882295,84,parliament,0.804968944,0.113794487,0.283506603,0.920766857,0.920766857,230
1,2,65,0.031933722,2.27534313,0.037836566,8,0.248579204,0.279274624,226,wesco-international,0.714611184,0.259705074,0.413875916,0.86511229,0.86511229,235
0,6,74,0.03595063,2.272211786,0.046802784,8,0.319638893,0.450265248,136,campbells,0.558088235,0.341198328,0.424591584,0.869311563,0.869311563,280
4,3,145,0.040449215,2.271435661,0.019029635,21,0.245965396,0.421044148,86,advance-auto-parts,0.754025045,0.133018671,0.279357828,0.907012211,0.907012211,234
0,2,95,0.039960092,2.267775367,0.04594623,5,0.123112554,0.191811611,138,starbucks,0.733879437,0.204007151,0.378152226,0.870074049,0.870074049,138
8,2,5,0.021309021,2.216240649,0.050543626,11,0.065738828,0.061375899,361,markel-corporation,0.473603528,0.212344262,0.204063127,0.845056714,0.845056714,309
0,2,5,0.01776123,2.197680006,0.033843994,6,0.181601392,0.258742118,128,att,0.777770996,0.198899309,0.378524368,0.967678653,0.967678653,128
6,3,51,0.025173611,2.193889429,0.02897632,13,0.197079133,0.258538003,316,tesoro-corporation,0.673358386,0.27236758,0.410249571,0.849760633,0.849760633,288
0,4,18,0.02402975,2.190246906,0.115417864,8,0.284639173,0.294342564,246,cst-brands,0.528711425,0.42655851,0.462080631,0.863672132,0.863672132,857
6,3,27,0.030161702,2.14513731,0.025329662,17,0.207309673,0.294471027,125,precision-castparts-corp,0.689770213,0.159636071,0.297374498,0.887041202,0.887041202,235
4,3,44,0.017668825,2.137883705,0.001507495,97,0.050887365,0.213779978,230,trident,0.814457513,0.011062963,0.075867498,0.921054009,0.921054009,329
12,5,133,0.049797468,2.132883482,0.009414419,23,0.212138551,0.232308129,100,intl-fcstone,0.77078481,0.167356811,0.341991039,0.891630181,0.891630181,395
0,2,51,0.03654888,2.085968362,0.223983181,1,0.006178935,0.066579525,83,heinz,0.748362578,0.218104091,0.392569544,0.978868811,0.978868811,149
1,3,164,0.024409521,2.068775703,0.020615948,31,0.219641731,0.367711692,713,land-olakes,0.636787577,0.245391381,0.344174002,0.898350995,0.898350995,1354
1,2,33,0.032671661,2.036737841,0.058778095,4,0.169483191,0.261049408,107,kroger,0.732370433,0.222652711,0.390216346,0.929856413,0.929856413,121
2,7,110,0.050750892,2.026254439,0.092848003,12,0.220881419,0.317840712,155,jb-hunt-transport-services,0.364724897,0.401534312,0.385085452,0.804219469,0.804219469,479
1,2,82,0.02496115,2.006191697,0.082471348,4,0.164348867,0.212036855,143,whole-foods,0.641802642,0.317301455,0.451939591,0.809676897,0.809676897,144
34,8,328,0.035811351,2.002833645,0.003844924,69,0.195498672,0.364948518,180,cme,0.78352518,0.051212152,0.176924535,0.854431592,0.854431592,695
0,2,180,0.024636243,1.991615289,0.459292328,1,0.318236446,0.303673055,108,old-republic-international-corporation,0.492526455,0.326196813,0.355483319,0.734673462,0.734673462,280
3,2,95,0.036964558,1.985483734,0.029113472,7,0.127081958,0.238359328,63,raymond-james,0.835453359,0.109810268,0.284508411,0.917738298,0.917738298,292
18,4,147,0.036520971,1.985226108,0.010549001,19,0.174822682,0.283132024,301,seaboard-corporation,0.779739891,0.148056253,0.287730277,0.862430121,0.862430121,1113
1,3,59,0.043261336,1.952200091,0.083854364,4,0,0,87,marriott,0.628394594,0,0,0.757700605,0.757700605,182
10,5,47,0.032112475,1.927760737,0.01014063,45,0.105580521,0.182029273,118,tropicana-beverages,0.743911942,0.212134916,0.389227668,0.871024984,0.871024984,261
1,2,75,0.020361601,1.895114676,0.090342947,6,0.331067533,0.290978362,101,icahn-enterprises-lp,0.450767685,0.259771912,0.237659498,0.811084889,0.811084889,690
4,7,276,0.035903137,1.883395746,0.071155822,11,0.262163362,0.40188141,257,caseys-general,0.559954961,0.28959295,0.39136066,0.852045729,0.852045729,273
11,4,49,0.035129576,1.868045543,0.01805327,16,0.00368852,0.024049222,65,discover,0.808062526,0.032303054,0.160683323,0.881638316,0.881638316,187
0,2,22,0.02745581,1.84585378,0.062614701,3,0.137734441,0.244023873,119,warner-bros,0.786366271,0.177750679,0.360894605,0.954285203,0.954285203,116
0,3,30,0.02979794,1.843529047,0.026299237,8,0.158758154,0.272572245,161,coors,0.745282648,0.146066456,0.343143779,0.864154445,0.864154445,316
6,3,5,0.014096186,1.84138138,0.016094527,10,0.102460948,0.194947576,134,akamai-technologies,0.826782753,0.146545459,0.318538213,0.983127391,0.983127391,270
14,8,158,0.044448172,1.836735443,0.047616052,21,0.437079447,0.464720138,176,minute-maid,0.443475344,0.097768451,0.175664318,0.576359509,0.576359509,271
15,4,95,0.050457822,1.832526821,0.014575622,24,0.063880475,0.151995329,177,oreilly-auto-parts,0.676816676,0.127578741,0.324980732,0.791458192,0.791458192,290
5,2,23,0.036430362,1.83153568,0.060135458,6,0.165187968,0.276835942,76,otis,0.773451486,0.169949698,0.334729682,0.883515511,0.883515511,147
0,7,89,0.023721591,1.826981801,0.017153533,23,0.061637236,0.208694884,96,autozone,0.630752841,0.244539974,0.375401159,0.924296272,0.924296272,440
8,5,127,0.025770336,1.821956871,0.032329019,22,0.034997348,0.117909366,222,harley-davidson,0.598968534,0.143662298,0.316484568,0.754214509,0.754214509,276
10,3,107,0.032031773,1.82190339,0.019283509,13,0.149889262,0.242103819,260,tenet-healthcare-corp,0.73930602,0.19346917,0.330696289,0.917040691,0.917040691,460
0,2,124,0.047371983,1.786925527,0.069011823,5,0.366432174,0.464301264,143,kenworth,0.63108239,0.340616557,0.461610406,0.939011519,0.939011519,527
6,2,58,0.039533916,1.775877594,0.016861364,8,0.244457179,0.354236338,89,xfinity,0.845312407,0.11730938,0.283028378,0.98107944,0.98107944,189
5,6,63,0.037903851,1.774776955,0.012008242,20,0.192772931,0.372782455,169,yoplait,0.789458759,0.124296705,0.295078135,0.932841293,0.932841293,313
4,3,43,0.04838948,1.768267435,0.043507437,6,0.001769971,0.033384343,96,aecom-technology,0.707040485,4.21E-05,0.000967448,0.725672716,0.725672716,282
9,3,126,0.045900901,1.76247266,0.045990991,14,0.047089741,0.085174701,148,western-union,0.330315315,0.274923267,0.436628971,0.587457031,0.587457031,600
7,9,71,0.032302133,1.756715993,0.012613201,32,0.094850229,0.270138568,183,folgers,0.751961044,0.137524241,0.266926595,0.92298547,0.92298547,248
0,2,30,0.037999038,1.756031934,0.278224421,1,0.188802069,0.266343736,99,western-digital,0.700199272,0.266223052,0.42420405,0.909146689,0.909146689,147
0,3,44,0.04767712,1.75513631,0.091366628,3,0,0,82,kohls,0.688385598,0,0,0.790195395,0.790195395,210
0,2,7,0.041791717,1.752353319,0.114795918,3,0.214104902,0.268742589,136,cbi,0.630289616,0.343422403,0.461355889,0.944823223,0.944823223,196
5,2,51,0.03753874,1.742413312,0.03764635,6,0.249395906,0.426344358,176,illinois-tool-works,0.755255682,0.186550208,0.344346022,0.872418115,0.872418115,440
2,4,98,0.04133904,1.734640752,0.153652832,6,0.34276889,0.442845297,197,tyson,0.521996616,0.448840407,0.478214446,0.928512332,0.928512332,306
1,2,36,0.024876343,1.728804534,0.109563526,4,0.263621081,0.248317286,211,cbre,0.554067758,0.431479155,0.485998623,0.75039976,0.75039976,687
6,7,55,0.026654111,1.725482972,0.017699219,14,0.081656488,0.249413641,142,bacardi,0.791229938,0.099052514,0.256556196,0.876977162,0.876977162,172
2,5,91,0.059000753,1.725090939,0.029483387,14,0.310333436,0.382825751,133,huntsman-corporation,0.598305958,0.365337099,0.472974311,0.788567148,0.788567148,569
7,4,44,0,1.723878087,0.008078264,19,0.10310896,0.212827462,69,anthem,0.890283046,0.074317184,0.221700963,0.97313262,0.97313262,149
0,7,181,0.046826758,1.723327391,0.119427985,11,0.496252058,0.441787805,265,lm,0.317738708,0.302177897,0.398999677,0.579514961,0.579514961,264
11,3,9,0.023517846,1.718024028,0.009449073,22,0.016395814,0.094111651,76,spectrum,0.867135511,0.013540928,0.091290439,0.954775927,0.954775927,174
0,2,62,0.039566532,1.706910335,0.029541891,9,0.169321875,0.367998647,64,eastman-chemical-company,0.77702873,0.162467021,0.309778116,0.97847041,0.97847041,248
2,4,21,0.010898746,1.703055269,0.019807402,15,0.112596285,0.205194011,141,sprite,0.832551989,0.140044694,0.322909755,0.957842155,0.957842155,177
0,6,27,0.043297565,1.693470061,0.090943208,11,0.134755473,0.319239784,184,mars,0.476050817,0.187537186,0.358071947,0.653112497,0.653112497,391
6,6,42,0.025862069,1.691231947,0.01318541,13,0.097390972,0.210747024,87,microsoft,0.815727057,0.077553865,0.239884383,0.948797987,0.948797987,252
2,3,57,0.037369745,1.689660795,0.049991017,5,0.192147862,0.342189703,92,us-bank,0.762980596,0.18458041,0.351478049,0.918763959,0.918763959,242
6,6,76,0.033053221,1.68615831,0.011008403,20,0.141089873,0.328610002,105,keycorp,0.836872931,0.047044613,0.166110275,0.908558646,0.908558646,187
3,3,28,0.045891198,1.673248226,0.040409314,5,0.166429064,0.315938577,122,esso,0.777644356,0.191705597,0.373948417,0.95592156,0.95592156,157
0,3,70,0.042544346,1.671557901,0.109386548,9,0.047947896,0.072818987,164,best-buy,0.508370288,0.275248951,0.418024329,0.776951002,0.776951002,220
2,2,31,0.037889007,1.667856079,0.11831588,4,0.352163341,0.355564419,313,cadbury,0.510838954,0.315558599,0.331548436,0.795482423,0.795482423,540
2,3,40,0.049330468,1.665925193,0.077831046,3,0.318297709,0.433014346,115,bbt,0.713638618,0.258982907,0.427939544,0.874789481,0.874789481,263
0,2,57,0.036684095,1.662705283,0.041500614,7,0.185504857,0.268776089,98,lennar,0.698549502,0.280078448,0.438918861,0.903045251,0.903045251,605
2,3,79,0.028503638,1.658112405,0.017409547,19,0.180853193,0.274585558,109,lkq-corporation,0.717842455,0.219358508,0.399960497,0.883632258,0.883632258,290
2,2,65,0.043635123,1.655199265,0.053190971,7,0.23270326,0.282434656,106,ingram-micro,0.611647409,0.302196194,0.390332252,0.901679348,0.901679348,387
10,4,101,0.019750755,1.651684478,0.011014602,21,0.111611874,0.268434563,80,avis-budget-group,0.860574018,0.086055505,0.231603333,0.949185031,0.949185031,331
12,7,54,0.026323198,1.631717139,0.01434135,21,0.109813889,0.276018455,74,metlife,0.821931306,0.06649587,0.21605614,0.917351451,0.917351451,192
4,2,72,0.016801311,1.630603953,0.018359407,13,0.097736019,0.216021652,117,state-street,0.860789135,0.06626702,0.189922347,0.967223382,0.967223382,146
8,3,293,0.046139654,1.624559171,0.004098551,37,0.01997144,0.054126841,226,jack-daniels,0.795615873,0.010884299,0.083507184,0.851265383,0.851265383,283
6,3,144,0.030099206,1.624142052,0.011679067,24,0,0,160,norfolk,0.72140873,0,0,0.757300498,0.757300498,315
5,2,108,0.046139706,1.622704326,0.030317266,9,0.181560052,0.268331407,102,cablevision-systems-corporation,0.699923407,0.233437441,0.386737392,0.897937872,0.897937872,640
0,2,40,0.036871036,1.605958055,0.117077754,3,0.229338687,0.289213784,129,ford,0.62384778,0.334188242,0.452515045,0.829660324,0.829660324,275
10,4,36,0.024464119,1.601437895,0.016829525,24,0.168815175,0.197994726,396,reynolds-american,0.653586188,0.279852698,0.384067938,0.910998192,0.910998192,1073
6,3,52,0.022518311,1.599977441,0.019918682,11,0.10148958,0.216327212,69,carmax,0.825853202,0.146520704,0.332216264,0.950610969,0.950610969,186
2,6,145,0.030450197,1.594846223,0.18172007,3,0.290138929,0.280521855,151,royal-caribbean-cruises,0.395156867,0.523570778,0.435490582,0.816381711,0.816381711,495
12,5,33,0.034393222,1.584162902,0.008085824,26,0.096148321,0.248655807,98,buick,0.85509293,0.023348022,0.101770461,0.925083248,0.925083248,224
2,5,72,0.037743651,1.573441941,0.0407418,19,0.337837694,0.364176372,291,taco-bell,0.52997961,0.341930343,0.385145922,0.85731375,0.85731375,241
6,4,39,0.032441392,1.571380929,0.011350182,22,0.123899556,0.238854251,82,baxalta-incorporated,0.813343595,0.146748111,0.326709939,0.958917088,0.958917088,206
3,3,52,0.039860507,1.57101201,0.045685216,6,0.094776396,0.291717467,118,youtube,0.703014849,0.180723302,0.339503532,0.900899661,0.900899661,226
2,3,19,0.039677277,1.561454844,0.062348954,5,0.074534382,0.185892021,116,becton-dickinson-and-company,0.784298556,0.188924105,0.370089111,0.952932797,0.952932797,234
3,4,60,0.029583763,1.548773411,0.011031992,12,0.125282592,0.245863503,171,marshalls,0.840206398,0.147151825,0.346961264,0.935486621,0.935486621,425
2,5,82,0.047882544,1.545856423,0.034458726,14,0.282955372,0.435131949,108,terex-corporation,0.673564999,0.058146691,0.173726079,0.777480637,0.777480637,502
2,2,7,0.037470456,1.542872219,0.040617974,5,0.061591798,0.111759139,83,aetna,0.784804289,0.132800277,0.262493445,0.917471405,0.917471405,209
13,2,69,0,1.54099313,0.006274516,23,0.09054619,0.206706288,66,mckinsey,0.903272266,0.040297009,0.144020879,0.970898427,0.970898427,263
2,2,39,0.038718116,1.537634689,0.055430428,8,0,0,139,espn,0.541677567,0.440165931,0.489934527,0.909150733,0.909150733,440
0,2,41,0.044035184,1.523690344,0.059890049,5,0.033343649,0.178931031,85,colgate,0.665805388,0.299349616,0.443575091,0.999882504,0.999882504,214
0,6,23,0.030656039,1.501979798,0.056959372,8,0.117164992,0.202870527,233,fanta,0.521332997,0.422172701,0.450952522,0.914411026,0.914411026,238
3,2,4,0.043129433,1.498408709,0.047429078,4,0.1352367,0.236253879,120,aig,0.782934397,0.187369495,0.370097179,0.979535183,0.979535183,188
21,11,591,0.028796077,1.49033547,0.00877359,36,0.092142983,0.262629383,617,philip-morris,0.760889332,0.064557836,0.150834205,0.889381172,0.889381172,975
