name,source,about_us,cb,method,cb_desc
21st-century-fox,BD,"21st Century Fox is the world's premier portfolio of cable, broadcast, film, pay TV and satellite assets spanning six continents across the globe. Reaching more than 1.8 billion subscribers in approximately 50 local languages every day, 21st Century Fox is home to a global portfolio of cable and broadcasting networks and properties, including FOX, FX, FXX, FXM, FS1, Fox News Channel, Fox Business Network, FOX Sports, Fox Sports Network, National Geographic, STAR India, 28 local television stations in the U.S. and more than 350 international channels; film studio Twentieth Century Fox Film; and television production studios Twentieth Century Fox Television and a 50% ownership interest in Endemol Shine Group. The Company also holds a 39.1% ownership interest in Sky, Europe’s leading entertainment company, which serves 22 million customers across five countries.  For more information about 21st Century Fox, please visit www.21CF.com.",21st-century-fox,0,
3m,BD,,3m,0,
abbott-labs,BD,,abbott,2,
abbvie-inc,BD,,abbvie,2,
activision-blizzard,BD,,activision,2,
adp,BD,,adp,0,
advance-auto-parts,BD,,advance-auto-parts,0,
aes,F500,,aes,0,
aetna,BD,,aetna,0,
aflac,BD,,aflac,0,
air-products--chemicals,F500,,air-products,2,
airbnb,BD,,airbnb,0,
airgas,F500,,airgas-incorporated,1,
allergan,BD,,allergan,0,
alphabet,F500,,alphabet,0,
amazon,BD,,amazon,0,
american-electric-power-company,F500,,american-electric-power,2,
american-financial-group,F500,,american-financial-group,0,
american-international-group,F500,,american-international-group,0,
amerisourcebergen,BD,,amerisourcebergen-corporation,1,
amphenol-corporation,F500,,amphenol-corporation,0,
anadarko,BD,,anadarko-petroleum-corporation,1,
anthem,BD,,anthem-3,1,
apache,BD,,apache,0,
apple,BD,,apple,0,
arrow-electronics,BD,,arrow-electronics,0,
ashland,F500,,ashland-inc,1,
avery-dennison-corporation,F500,,avery-dennison,2,
avis-budget-group,BD,,avis-budget-group,0,
avnet,F500,,avnet,0,
avon,BD,,avon,0,
bacardi,BD,,bac,2,
baker-hughes,BD,,baker-hughes,0,
ball-corp,BD,,ball-corporation-altrista,1,
barnes-noble,F500,,barnes-noble,0,
baxalta-incorporated,F500,,baxalta,2,
baxter-international,F500,,baxter-international,0,
bd,BD,,bdna,1,
berkshire-hathaway,BD,,berkshire,2,
biogen-idec-inc,BD,,biogen-idec,2,
blackstone,BD,,blackstone-technology-group,1,
bnsf-railway,BD,,bnsf-railway-company,1,
boston-scientific-corp,BD,,boston-scientific,2,
bristol-myers-squibb,BD,,bristol-myers-squibb,0,
broadcom,BD,,broadcom,0,
cabelas-inc,BD,,cabelas,2,
cablevision-systems-corporation,F500,,cablevision-systems,2,
cadbury,BD,,cad,2,
cadillac,BD,,cadillac,0,
calpine-corporation,F500,,calpine,2,
calvin-klein,BD,,calvin-klein,0,
camel,BD,,cameleon-software,1,
campbells,BD,,campbellsoup-com,1,
cardinal-health,BD,,cardinal-health,0,
carnival,BD,,carnival-cruise-lines,1,
caseys-general,BD,,caseys-general-stores,1,
caterpillar,BD,,caterpillar-inc,1,
celgene,BD,,celgene,0,
centerpoint-energy,F500,,centerpoint-energy,0,
centurylink,BD,,centurylink,0,
cerner-corp,BD,,cerner-corporation,1,
ch2m-hill-companies,F500,,ch2m-hill,2,
charles-schwab,BD,,charles-schwab,0,
charter-communications,F500,,charter-communications,0,
chase,BD,,chase-corporation,1,
chevrolet,BD,,chevrolet,0,
chs,F500,,chs-community-health-systems,1,
chubb,BD,,chubb-corporation,1,
cigna,BD,,cigna,0,
cincinnati-financial-corporation,F500,,cincinnati-financial,2,
cintas-corp,BD,,cintas,2,
cisco,BD,,cisco,0,
coach,BD,,coachella-valley-water-district,1,
colgate,BD,,colgate-palmolive-india-ltd,1,
comcast-corporation,F500,,comcast,2,
corning,BD,,corning,0,
costco,BD,,costco,0,
crown-holdings-inc,BD,,crown,2,
csc,BD,,csc,0,
csx,BD,,csx-corporation,1,
cummins,BD,,cummins,0,
danaher,BD,,danaher,0,
davita-healthcar,BD,,davita-healthcare-partners,1,
dean-foods-company,F500,,dean-foods,2,
dell,BD,,dell,0,
deloitte,BD,,deloitte,0,
directv,BD,,directv,0,
disney,IB,,disney-consumer-products,1,
dollar-tree,BD,,dollar-tree-stores-inc,1,
dover-corporation,F500,,dover,2,
dte-energy-co,BD,,dte-energy,2,
eastman-chemical-company,F500,,eastman-chemical-company,0,
eaton,BD,,eaton-national-bank-trust-co,1,
ebay,BD,,ebay-gsi-vendornet-division,1,
emcor-group,F500,,emcor-group,0,
emerson,BD,,emerson,0,
energy-future-holdings-corp,F500,,energy-future-holdings,2,
entergy,BD,,entergy-corporation,1,
envision-healthcare-holdings,F500,,envision-healthcare,2,
eog-resources,BD,,eog-resources,0,
equinix,BD,,equinix,0,
expedia.com,BD,,expedia,2,
expeditors-international-of-washington,F500,,expeditors-international,2,
express-scripts,BD,,express-scripts,0,
exxonmobil,BD,,exxonmobil,0,
facebook,BD,,facebook,0,
family-dollar,BD,,family-dollar-stores,1,
fastenal-co,BD,,fastenal-company,1,
fedex,BD,,fedex,0,
fidelity-national,BD,,fidelity-national-financial,1,
first-american-financial-corporation,F500,,first-american,2,
first-data-corp,BD,,first-data-corporation,1,
firstenergy-corp,BD,,firstenergy-corp,0,
fiserv-inc,BD,,fiserv,2,
fluor,BD,,fluor-corporation,1,
ford,BD,,ford,0,
franklin-resources,F500,,franklin-resources,0,
freddie-mac,F500,,freddie-mac,0,
freeport-mcmoran,BD,,freeport-mcmoran-copper-gold,1,
gamestop,BD,,gamestop,0,
gap,BD,,gap,0,
garmin,BD,,garmin,0,
general-dynamics,BD,,general-dynamics,0,
gilead-sciences,BD,,gilead-sciences,0,
gillette,BD,,gillette-company,1,
goldman-sachs,BD,,goldman-sachs-asset-management,1,
google,BD,,google,0,
graybar-electric-company,F500,,graybar,2,
grey-goose,BD,,grey,2,
hanesbrands,F500,,hanesbrands,0,
harman-international-industries,F500,,harman-international,2,
hbo,BD,,hbo,0,
henry-schein-inc,BD,,henry-schein-inc,0,
hess,BD,,hess-corporation,1,
hewlett-packard-enterprise,BD,,hewlett-packard-enterprise,0,
hilton,BD,,hilton-grand-vacations,1,
hollyfrontier-corporation,F500,,hollyfrontier-corporation,0,
honda,IB,,honda-r-d-americas,1,
honeywell,BD,,honeywell,0,
hormel,BD,,hormel-foods,1,
hrg-group,F500,,hrg-group,0,
hyatt,BD,,hyatt,0,
hyundai,IB,,hyundai-motor-america,1,
ibm,BD,,ibm,0,
ingram-micro,F500,,ingram-micro,0,
insight-enterprises,F500,,insight,2,
intel,BD,,intel,0,
international-paper,BD,,international-paper,0,
intl-fcstone,F500,,intl-fcstone,0,
iron-mountain-inc,BD,,iron-mountain,2,
jabil,BD,,jabil,0,
jack-in-the-box,BD,,jack-in-the-box,0,
jacobs-engineering,BD,,jacobs-engineering-group,1,
jarden-corporation,F500,,jarden,2,
jetblue-airways-corporation,F500,,jet,2,
johnson-controls,BD,,johnson-controls,0,
johnson-johnson,BD,,johnson-johnson,0,
kelly-services,F500,,kelly-services,0,
kia,IB,,kia-motors-manufacturing-georgia,1,
kitchenaid,BD,,kitchenaid,0,
kraft,BD,,kraft,0,
lam-research-corporation,F500,,lam-research,2,
lansing-trade-group,F500,,lansing-trade-group,0,
lennar,BD,,lennar-corporation,1,
lenovo,IB,,lenovo,0,
leucadia-national-corporation,F500,,leucadia-national,2,
liberty-interactive-corporation,F500,,liberty-interactive-corporation,0,
lithia-motors,F500,,lithia-motors,0,
live-nation-entertainment,F500,,live-nation-entertainment,0,
lockheed-martin,BD,,lockheed-martin,0,
lowes,BD,,lowes,0,
marathon-petroleum,BD,,marathon-petroleum,0,
marriott,BD,,marriott-international,1,
mars,BD,,mars,0,
marshalls,BD,,marshalls,0,
masco,BD,,mascon-global,1,
mattel,F500,,mattel,0,
mcdonalds,BD,,mcdonalds,0,
mckinsey,BD,,mckinsey-china,1,
mclane-company,BD,,mclane,2,
metlife,BD,,metlife,0,
mgm-resorts-international,F500,,mgm-resorts-international,0,
michaels,BD,,michaels-stores,1,
minute-maid,BD,,minute-maid,0,
mohawk-industries,F500,,mohawk-industries,0,
moodys,BD,,moodys,0,
mosaic,F500,,mosaic451,1,
motorola,BD,,motorola-solutions,1,
mtv,BD,,mtvi-group,1,
murphy-usa,F500,,murphy-usa,0,
7up,BD,NA,NA,NA,NA
abc,BD," The ABC Television Network is home to the Emmy-winning ""Modern Family"" and comedy favorite ""The Middle""; reality phenomenon ""Shark Tank"" and long-running hit ""Dancing with the Stars""; ""General Hospital,"" along with daytime talk shows ""The View"" and ""The Chew""; and late-night talk show ""Jimmy Kimmel Live!"" The network also boasts some of television's most prestigious awards shows, including The Oscars, the Country Music Awards, The American Music Awards and The Billboard Music Awards.

ABC Studios is a leader in the development, production and strategic distribution of entertainment content and is the key content provider for the ABC Entertainment Group. The studio's current hits include ""Grey's Anatomy,"" ""Marvel's Agents of S.H.I.E.L.D.,"" ""Designated Survivor,"" ""Once Upon a Time,"" ""Speechless,"" ""Scandal,"" ""American Crime"" and more series that air on other networks.",abc,3,"ABC is a media company that develops, produces, and distributes entertainment content on television and online.

The company offers WATCH ABC, a live stream service that allows its users to view its network live or on-demand on various devices such as smartphones, tablets, and computers.

ABC was purchased by Capital Cities in 1985 and became Capital Cities/ABC until the Walt Disney Company purchased Capital Cities in 1996. The company was founded in 1946 and is based in New York, United States. It operates as a subsidiary of The Walt Disney Company."
