name,url,brand_identity,source,cb_id,cb_desc,logo_file,logo_url
 21st-century-fox,https://www.21cf.com/,"We foster a culture of originality and innovation  to make 21st Century Fox a place where fresh  ideas, new approaches and compelling stories  can take root. We are bold because we believe  audiences always want, and deserve, more  choice and better experiences. Our core video brands, and the breakout  content that powers them, are indispensable  for customers and distributors around the  globe. 21st Century Fox is well positioned to  build on our leadership and continue driving  innovation for customers the world over  We foster a culture of originality and innovation  to make 21st Century Fox a place where fresh  ideas, new approaches and compelling stories  can take root. We are bold because we believe  audiences always want, and deserve, more  choice and better experiences. Our core video brands, and the breakout  content that powers them, are indispensable  for customers and distributors around the  globe. 21st Century Fox is well positioned to  build on our leadership and continue driving  innovation for customers the world over.  ",BD,21st-century-fox,"21st Century Fox is an American multinational mass media corporation. It is one of two companies created from the 2013 split of News Corporation (as founded by Milo and Mary Switz in 1979); 21st Century Fox retains the previous News Corporation's broadcasting and film assets and serves as its legal successor, while its publishing assets were spun off to form News Corp at the same time. The split was designed to ensure that both companies are operated under more ""focused"" management, which Murdoch claimed would ""unlock"" their true value. Among its holdings are Fox Entertainment Group   owners of the 20th Century Fox film studio and Fox television network among other assets, pan-Asian pay channel operator STAR TV, Italian television provider Sky Italia, and stakes in the television providers BSkyB and Sky Deutschland.",21st-century-fox.png,http://www.columbia.edu/~rtd2118/logos/21st-century-fox.png
 3m,http://www.3m.com/,"Our beginnings were humble rocks, but after more than 100 years, we know how to rock science. Every day at 3M, we explore, we connect and we invent. And we've opened the door to show the world the unique, multi-dimensional ways 3M science can touch your life.",BD,3m,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, abrasives, laminates, passive fire protection, dental and orthodontic products, electronic materials, medical products, car-care products, electronic circuits, and optical films. The company operates in the industrial and transportation; health care; safety, security and protection services; consumer and office; display and graphics; and electro and communications businesses. Its industrial and transportation business serves a range of markets, such as appliance, paper and packaging, food and beverage, electronics, automotive original equipment manufacturer, and automotive aftermarket.  3M has operations in more than 65 countries that include 29 international companies with manufacturing operations and 35 companies with laboratories. Its products are available for purchase through distributors and retailers in more than 200 countries, and online directly from the company.  3M was founded in 1902 by [Joshua Jones](https://www.crunchbase.com/person/joshua-jones) and is headquartered in Saint Paul, M.N.",3m.jpg,http://www.columbia.edu/~rtd2118/logos/3m.jpg
 abbott-labs,http://www.abbott.com/,"For more than 125 years, we've adapted to an increasingly complex healthcare environment by keeping our focus where it belongs--on helping people achieve their best possible health, in all stages of life, around the world. And that's a goal we'll continue to pursue far into the future.    At Abbott, we believe that innovative, responsible and sustainable business plays an important role in building a healthy, thriving society. We strive to foster economic, environmental and social well-being through our operations and in our work with others.  It starts with responsible business. Every day, people around the world depend on our products to live healthier lives. That's why we run our business the right way, for the long term  _ for the benefit of the many people we serve.    But that's just the beginning. We see potential everywhere.  By building a more inclusive business, we aim to reach more people, in more places, than ever before. From strengthening the capacity of suppliers, to creating products that address local-country health needs, we are always finding new opportunities to expand the positive impact of our people, products and business in communities around the world.  We can't tackle every challenge. But what we can do is address the critical issues that best match our scientific expertise, business acumen and unique resources. With ingenuity and compassion, we can work together to find the answers.  Knowledge and optimism are resources that grow in value the more they are shared. Healthy economies contribute to healthy communities. Opportunity is contagious.  At Abbott, we call it  _Finding the Upside. Э    At Abbott, we believe that our success and the success of the communities we serve are intertwined. Applying our expertise to the most pressing health challenges is how we develop new markets, fulfill the potential of our communities and lay the foundation for progress.",BD,abbott,"Abbott Molecular Inc., a genomic disease management company, engages in the development and marketing of clinical laboratory products, which provide information critical to the evaluation and management of cancer, prenatal disorders, and other genetic diseases. It currently markets seven U.S. Food and Drug Administration or foreign cleared or approved clinical products in addition to distributing over 300 Analyte Specific Reagent and research products through its direct sales operations in the United States and Europe and a worldwide distribution network covering 59 countries. The company was founded in 1991 and is based in Des Plaines, Illinois. As on 12/05/2001, Abbott Molecular Inc. operates as a subsidiary of Abbott Laboratories Inc.",abbott-labs.jpg,http://www.columbia.edu/~rtd2118/logos/abbott-labs.jpg
 abbvie-inc,https://www.abbvie.com/,"Research and innovation are the cornerstones of our business. We advance leading-edge science through a dynamic and collaborative approach. This enables us to find better solutions for treating the world's most challenging diseases. We focus on discovering, developing and delivering drugs in therapeutic areas where we have proven expertise--and can make an impact.     We are a diverse, inclusive organization with people who reflect the thousands of communities we serve around the world. For all of us, working at AbbVie is more than a job. It's a purpose that leads to better lives for other people, across the world. When the stakes are as high as a patient's well-being, the best ideas must rise to the top, no matter where they begin.    Our employees are scientists, researchers, communicators, manufacturing specialists and regulatory experts located around the globe. We're constantly working to create solutions that go beyond treating the illness to have a positive impact on patients' lives, on societies--and on science itself.    We pledge to cultivate an ethical, transparent and inclusive culture. This includes focusing on the health, welfare and financial well-being of our employees around the world.    We're constantly finding new ways to address patients' most serious health issues. We concentrate our efforts on a core set of therapeutic areas--ones where we've proven our expertise, and where we feel we can have an even greater impact on disease and how it is managed.",BD,abbvie,"AbbVie is a global, research-based biopharmaceutical company formed in 2013 following separation from Abbott. The company's mission is to use its expertise, dedicated people and unique approach to innovation to develop and market advanced therapies that address some of the world's most complex and serious diseases.   In 2013, AbbVie employs approximately 21,000 people worldwide and markets medicines in more than 170 countries.",abbvie-inc.jpg,http://www.columbia.edu/~rtd2118/logos/abbvie-inc.jpg
 abc,http://abc.go.com/," The ABC Television Network is home to the Emmy-winning ""Modern Family"" and comedy favorite ""The Middle""; reality phenomenon ""Shark Tank"" and long-running hit ""Dancing with the Stars""; ""General Hospital,"" along with daytime talk shows ""The View"" and ""The Chew""; and late-night talk show ""Jimmy Kimmel Live!"" The network also boasts some of television's most prestigious awards shows, including The Oscars, the Country Music Awards, The American Music Awards and The Billboard Music Awards.  ABC Studios is a leader in the development, production and strategic distribution of entertainment content and is the key content provider for the ABC Entertainment Group. The studio's current hits include ""Grey's Anatomy,"" ""Marvel's Agents of S.H.I.E.L.D.,"" ""Designated Survivor,"" ""Once Upon a Time,"" ""Speechless,"" ""Scandal,"" ""American Crime"" and more series that air on other networks.",BD,abc,"ABC is a media company that develops, produces, and distributes entertainment content on television and online.  The company offers WATCH ABC, a live stream service that allows its users to view its network live or on-demand on various devices such as smartphones, tablets, and computers.  ABC was purchased by Capital Cities in 1985 and became Capital Cities/ABC until the Walt Disney Company purchased Capital Cities in 1996. The company was founded in 1946 and is based in New York, United States. It operates as a subsidiary of The Walt Disney Company.",abc.png,http://www.columbia.edu/~rtd2118/logos/abc.png
 abm,http://www.abm.com/,"A Well-Run Facility Produces Great Customer Experiences You Can Rely on ABM to Deliver Exceptional Facility Services Your Facility Impacts Your Customers' Experience  Whether your customer is a student, employee, patient, tenant, traveler or guest, they will form an opinion about your company based on their experience at your facility.  Here's an example in Aviation, one of the many industries we serve Your Customers Have High Expectations  Your customers expect quick and hassle-free parking, to be greeted courteously, and to enter a clean, comfortable, and well functioning building.  When this occurs, they will leave with a positive experience. Your Customers' Experience is Important to Us  We are dedicated to delivering facility services that improve customer experiences and provide a great, long-lasting impression of your company and facility.  Through engaged employees, who are focused on our mission:  To make a difference, every person, every day  Since 1909, we've been dedicated to providing exceptional customer experiences and extending the life of building assets.  We serve thousands of clients across the U.S. and in more than 20 international locations.  Through Our Comprehensive Facility Services  If you would like to speak with a facility solutions expert or have other inquiries, please click below:                Building Value With Integrated Facilities Solutions  ABM (NYSE: ABM) is a leading provider of facility solutions with revenues of approximately $5.1 billion and over 100,000 employees in 300+ offices throughout the United States and various international locations. ABM's comprehensive capabilities include janitorial, electrical & lighting, energy solutions, facilities engineering, HVAC & mechanical, landscape & turf, mission critical solutions and parking, provided through stand-alone or integrated solutions. ABM provides custom facility solutions in urban, suburban and rural areas to properties of all sizes     from schools and commercial buildings to hospitals, data centers, manufacturing plants and airports. ABM Industries Incorporated, which operates through its subsidiaries, was founded in 1909. For more information, visit www.abm.com.   ABM (NYSE: ABM) is a leading provider of facility solutions with revenues of approximately $5.1 billion and over 100,000 employees in 300+ offices throughout the United States and various international locations.  ABM's comprehensive capabilities include janitorial, electrical & lighting, energy solutions, facilities engineering, HVAC & mechanical, landscape & turf, mission critical solutions and parking, provided through stand-alone or integrated solutions.  ABM provides custom facility solutions in urban, suburban and rural areas to properties of all sizes     from schools and commercial buildings to hospitals, data centers, manufacturing plants and airports. ABM Industries Incorporated, which operates through its subsidiaries, was founded in 1909.   Since 1909, we have been dedicated to extending the life of your building assets and providing an exceptional experience for your customers.  We serve thousands of clients across the U.S. and in more than 20 international locations.  Our Passion Is Building Value, for You and Your Customers  Each and every day, our mission is to build value for your business by helping you decrease operating costs, reduce customer complaints, and improve your customer's overall experience.  We Live by Our Core Values  They're not philosophical. They're how we do business.  Our employees put them into action every day.   We Have the Greatest Respect for Our Employees  We employ more than 100,000 skilled and hardworking people, and we have the greatest respect for them. We meet and exceed legal, union, and staff demands for safe working conditions and career growth.  And, we treat everyone justly and fairly because happy employees result in happy clients. We Deliver Customized Solutions  Generic facility services don't work because you have unique needs.  That's why we start with understanding your challenges and then leverage our deep industry expertise to provide you with customized facility solutions.  In 1909, ABM began as a modest window cleaning business. Through organic growth and strategic acquisitions, we've become much more.  We've expanded our platform with integrated services and new core capabilities in energy efficiency, healthcare support services, aviation services, mission-critical solutions, and more. Award-Winning Technology  We're leveraging our award-winning technology to drive efficiencies through workforce automation, enabling 100% paperless operations, driving innovations in automated parking collections, and much more.  Service Quality Driven by Training & Technology  What can you expect from ABM? Excellence.  Service is our product, and we put our hearts into it. Some companies give clients only what's contractually required. But that's not us. Going    above and beyond   might sound like a clichРй, but it's what we do. Technology Ensures Best Practices  Our latest    operations-on-the-go   technology, ABM MPower  , allows our employees to manage janitorial, facility engineering, and parking services with greater efficiency, and to analyze trends that lead to process and quality improvements.   Our Passion Is Building Value For You & Your Customers  Today's ABM is about Building Value      encompassing the thousands of physical assets we service and maintain as well as the value we create by improving your customer's experience in your facilities.",F500,abm-industries,"ABM Industries Incorporated (ABM) is a provider of integrated facility solutions. The Company provides end-to-end integrated facilities management services to thousands of commercial, governmental, industrial, institutional, residential, and retail client facilities in hundreds of cities, primarily throughout the United States. Its ABM's capabilities include facility services, energy solutions, commercial cleaning, maintenance and repair, heating, ventilation, and air conditioning (HVAC), electrical, landscaping, parking and security, through stand-alone or integrated solutions. The Company segments include Janitorial, Facility Services, Parking, Security, Building & Energy Solutions, and Other. On November 1, 2012, it acquired Air Serv Corporation (Air Serv), a provider of facility solutions services for airlines, airports, and freight companies, and HHA Services, Inc. On November 1, 2012, ABM Building Services acquired the operations of Calvert-Jones.",abm.png,http://www.columbia.edu/~rtd2118/logos/abm.png
 accenture,https://www.accenture.com/us-en/new-applied-now,"The people to lead. The knowledge to innovate. The vision to transform. WHAT WE DO Accenture solves our clients' toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world. Accenture Strategy Shapes the future at the intersection of business and technology Accenture Consulting Transforms businesses through industry expertise and insights Accenture Digital Creates value through new experiences, new intelligence and new connections Accenture Technology Powers businesses with cutting-edge solutions using established and emerging technologies Accenture Operations Delivers outcomes through infrastructure, security, cloud and business process services WHAT SETS US APART, BY THE NUMBERS  WE SERVE CLIENTS IN MORE THAN 120  countries  WE WORK ACROSS MORE THAN 40  industries  OF OUR TOP 100 CLIENTS 98  have worked with us for at least 10 years  WE HAVE MADE 14  consecutive appearances in Fortune's ""World's Most Admired Companies"" list  WE HAVE 5K  patents and patent pending applications in 44 countries learn about our history of innovation  In today's business environment, companies need to continually reinvent themselves. At Accenture, we take an innovation-led approach to help clients ""imagine and invent"" their future. Through the Accenture Innovation Architecture, we combine our capabilities to invent, develop, and deliver disruptive innovations for clients, and to scale them faster.  Of all of our accomplishments, we take pride in our business performance, diversity and corporate citizenship. We're honored to be recognized for our success in these categories. Global Leader  Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions     underpinned by the world's largest delivery network     Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With approximately 401,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. ",BD,accenture,"Accenture is a global management consulting, technology services and outsourcing company, with approximately 204,000 people serving clients in more than 120 countries. Combining unparalleled experience, comprehensive capabilities across all industries and business functions, and extensive research on the world's most successful companies, Accenture collaborates with clients to help them become high-performance businesses and governments.",accenture.jpg,http://www.columbia.edu/~rtd2118/logos/accenture.jpg
 ace,http://www.acehardware.com/home/index.jsp,"We are your local hardware store and we are a part of your community. Over 4,600 of Ace's 4,700 stores around the globe are independently owned and operated by local entrepreneurs. These hard working men and women are part of the fabric of your community. They are small business owners who are local and loyal...just like it ought to be. While others have become large and impersonal, at Ace, we've remained small and very personal. That's why we say a visit to Ace, is like a visit to your neighbor.",BD,ace,"ArgentumCidalElectrics Inc. is engaged in creating and testing technologies that eradicate the growth of bacteria, funguses and viruses.",ace.png,http://www.columbia.edu/~rtd2118/logos/ace.png
 actavis,http://www.tevapharm.com,"Building on its strong global footprint, size and scale, Teva is reaffirming its commitment to place people at the center of our strategy, and enable as many as possible to live better, healthier days.     Teva is committed to increasing access to high-quality healthcare for people across the globe, at every stage of life. We do this by developing, producing and marketing affordable generic drugs as well as innovative and specialty pharmaceuticals and active pharmaceutical ingredients.",BD,actavis,"Actavis plc (NYSE: ACT) is a global, integrated specialty pharmaceutical company focused on developing, manufacturing and distributing generic, brand and biosimilar products.  The Company has global headquarters in Dublin, Ireland and Administrative Headquarters in Parsippany, New Jersey, USA.  http://www.allergan.com/products/key-products/generic-products",actavis.jpg,http://www.columbia.edu/~rtd2118/logos/actavis.jpg
 activision-blizzard,http://www.activisionblizzard.com/,"Our road to victory begins, as it always has, with talent. And at Activision Blizzard, we pride ourselves on not only attracting the best and brightest talent, but also on getting the best out of that talent once they are here. We do this by bringing world-class business processes and rigor to an industry of pure passion. By combining these two seemingly opposing forces, we have been able to achieve both creative excellence and commercial success.     The result of this philosophy obviously has great benefit to our employees in that, no matter what project you are working on at Activision Blizzard, it stands a solid chance of becoming a world-beater that makes a huge impact on popular culture. There are no short straws here. If we're making it, we're putting industry-leading resources, technology, and marketing might behind it. If you asked any employee at Activision Blizzard what our core business is, they could justifiably say, ""We make blockbusters.""",BD,activision,Activision (NASDAQ: ATVI) is an American video game developer and publisher. It was the first independent developer and distributor of video games for gaming consoles.,activision-blizzard.jpg,http://www.columbia.edu/~rtd2118/logos/activision-blizzard.jpg
