name,source
21st-century-fox,BD
3m,BD
7up,BD
a-com,F500
abbott-labs,BD
abbvie-inc,BD
abc,BD
abm-industries-incorporated,F500
accenture,BD
ace,BD
actavis,BD
activision-blizzard,BD
acuvue,BD
adidas,IB
adobe,BD
adp,BD
advance-auto-parts,BD
aecom-technology,BD
aetna,BD
aflac,BD
agco-corporation,F500
aig,BD
air-products--chemicals,F500
airbnb,BD
airgas,F500
ak-steel-holding-corporation,F500
akamai-technologies,BD
alaska-air-group,F500
alcoa,BD
allergan,BD
alliance-data-systems-corp,BD
allianz,IB
allstate,BD
ally-financial,F500
alphabet,F500
altria-group,F500
always,BD
amark-precious-metals,F500
amazon,BD
ameren-corporation,F500
american-airlines,BD
american-electric-power-company,F500
american-express,BD
american-family-insurance-group,F500
american-financial-group,F500
american-international-group,F500
american-tower,BD
ameriprise-financial,BD
amerisourcebergen,BD
amgen,BD
amphenol-corporation,F500
anadarko,BD
anixter-international,F500
anthem,BD
apache,BD
apple,BD
applied-materials,BD
aramark,BD
archerdanielsmidland-company,F500
arrow-electronics,BD
arthur-j-gallagher--co,F500
asbury-automotive-group,F500
ashland,F500
assurant,F500
att,BD
audi,IB
autoliv,F500
automatic-data-processing,F500
autonation,F500
autoowners-insurance-group,F500
autozone,BD
aveeno,BD
avery-dennison-corporation,F500
avis-budget-group,BD
avnet,F500
avon,BD
bacardi,BD
baker-hughes,BD
ball-corp,BD
bank-of-america,BD
barnes-noble,F500
baxalta-incorporated,F500
baxter-international,F500
bbt,BD
bcg,BD
bd,BD
becton-dickinson-and-company,F500
bed-bath-and-beyond,BD
berkshire-hathaway,BD
best-buy,BD
big-lots,F500
biogen-idec-inc,BD
black-and-decker,BD
blackrock,BD
blackstone,BD
bmw,IB
bnsf-railway,BD
boeing,BD
bond-street,BD
booking.com,BD
booz-allen-hamilton-holding-corp,F500
borgwarner-inc,BD
boston-scientific-corp,BD
bristol-myers-squibb,BD
broadcom,BD
budweiser,BD
buick,BD
burberry,IB
burger-king,BD
burlington-stores,F500
c.h.-robinson,BD
cabelas-inc,BD
cablevision-systems-corporation,F500
cadbury,BD
cadillac,BD
calpine-corporation,F500
calvin-klein,BD
camel,BD
cameron-international-corporation,F500
campbells,BD
canon,IB
capital-one,BD
cardinal-health,BD
carefree,BD
carmax,BD
carnival,BD
carrier,BD
cartier,IB
caseys-general,BD
caterpillar,BD
cbi,BD
cbre,BD
cbs,BD
cdw-corporation,F500
celanese-corporation,F500
celgene,BD
centene-corporation,BD
centerpoint-energy,F500
centurylink,BD
cerner-corp,BD
ch2m-hill-companies,F500
charles-schwab,BD
charter-communications,F500
chase,BD
cheetos,BD
chesapeake-energy-corporation,F500
chesterfield,BD
chevrolet,BD
chevron,BD
chipotle-mexican,BD
chs,F500
chubb,BD
ciel,BD
cigna,BD
cincinnati-financial-corporation,F500
cinemark,BD
cintas-corp,BD
cisco,BD
citi,BD
citizens,BD
clinique,BD
cme,BD
cms-energy-corporation,F500
coach,BD
coca-cola,BD
cognizant,BD
colgate,BD
comcast-corporation,F500
commercial-metals-company,F500
community-health-systems,F500
computer-sciences-corporation,F500
conagra-foods,F500
conocophillips,BD
cons-edison-inc,BD
constellation-brands,F500
coors,BD
copenhagen,BD
coremark-holding-company,F500
corning,BD
corona-extra,IB
costco,BD
courtyard,BD
crown-holdings-inc,BD
csc,BD
cst-brands,F500
csx,BD
cummins,BD
cvs,BD
d.r.-horton,BD
dana-holding-corporation,F500
danaher,BD
danone,IB
darden-restaurants,F500
davita-healthcar,BD
dean-foods-company,F500
deere--company,F500
delek-us-holdings,F500
dell,BD
deloitte,BD
delta,BD
devon,BD
dhl,IB
dicks-sporting,BD
dillards,BD
dior,IB
directv,BD
discover,BD
discovery-media,BD
dish-networks,BD
disney,IB
dollar-general,BD
dollar-tree,BD
dominion,BD
dominos-pizza,BD
domtar-corporation,F500
doritos-tortilla-chips,BD
doubletree,BD
