name,about_us,source,cb_id,cb_desc
21st-century-fox,"21st Century Fox is the world's premier portfolio of cable, broadcast, film, pay TV and satellite assets spanning six continents across the globe. Reaching more than 1.8 billion subscribers in approximately 50 local languages every day, 21st Century Fox is home to a global portfolio of cable and broadcasting networks and properties, including FOX, FX, FXX, FXM, FS1, Fox News Channel, Fox Business Network, FOX Sports, Fox Sports Network, National Geographic, STAR India, 28 local television stations in the U.S. and more than 350 international channels; film studio Twentieth Century Fox Film; and television production studios Twentieth Century Fox Television and a 50% ownership interest in Endemol Shine Group. The Company also holds a 39.1% ownership interest in Sky, Europe’s leading entertainment company, which serves 22 million customers across five countries.  For more information about 21st Century Fox, please visit www.21CF.com.",BD,21st-century-fox,"21st Century Fox is an American multinational mass media corporation. It is one of two companies created from the 2013 split of News Corporation (as founded by Milo and Mary Switz in 1979); 21st Century Fox retains the previous News Corporation's broadcasting and film assets and serves as its legal successor, while its publishing assets were spun off to form News Corp at the same time. The split was designed to ensure that both companies are operated under more ""focused"" management, which Murdoch claimed would ""unlock"" their true value. Among its holdings are Fox Entertainment Group—owners of the 20th Century Fox film studio and Fox television network among other assets, pan-Asian pay channel operator STAR TV, Italian television provider Sky Italia, and stakes in the television providers BSkyB and Sky Deutschland."
3m,,BD,3m,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, abrasives, laminates, passive fire protection, dental and orthodontic products, electronic materials, medical products, car-care products, electronic circuits, and optical films. The company operates in the industrial and transportation; health care; safety, security and protection services; consumer and office; display and graphics; and electro and communications businesses. Its industrial and transportation business serves a range of markets, such as appliance, paper and packaging, food and beverage, electronics, automotive original equipment manufacturer, and automotive aftermarket.

3M has operations in more than 65 countries that include 29 international companies with manufacturing operations and 35 companies with laboratories. Its products are available for purchase through distributors and retailers in more than 200 countries, and online directly from the company.

3M was founded in 1902 by [Joshua Jones](https://www.crunchbase.com/person/joshua-jones) and is headquartered in Saint Paul, M.N."
abbott-labs,,BD,abbott,"Abbott Molecular Inc., a genomic disease management company, engages in the development and marketing of clinical laboratory products, which provide information critical to the evaluation and management of cancer, prenatal disorders, and other genetic diseases. It currently markets seven U.S. Food and Drug Administration or foreign cleared or approved clinical products in addition to distributing over 300 Analyte Specific Reagent and research products through its direct sales operations in the United States and Europe and a worldwide distribution network covering 59 countries. The company was founded in 1991 and is based in Des Plaines, Illinois. As on 12/05/2001, Abbott Molecular Inc. operates as a subsidiary of Abbott Laboratories Inc."
abbvie-inc,,BD,abbvie,"AbbVie is a global, research-based biopharmaceutical company formed in 2013 following separation from Abbott. The company's mission is to use its expertise, dedicated people and unique approach to innovation to develop and market advanced therapies that address some of the world's most complex and serious diseases.   In 2013, AbbVie employs approximately 21,000 people worldwide and markets medicines in more than 170 countries."
activision-blizzard,,BD,activision,Activision (NASDAQ: ATVI) is an American video game developer and publisher. It was the first independent developer and distributor of video games for gaming consoles.
adp,,BD,adp,"Automatic Data Processing, Inc. (ADP) is one of the largest providers of business processing and cloud-based solutions – including payroll, talent management, human resource management, benefits administration and time and attendance – to employers and automotive dealerships around the world. We build configurable solutions that can fit your organization's unique goals and increase your productivity.  ADP serves about 620,000 organizations in more than 125 countries, including 425,000 small-business clients and 26,000 vehicle dealerships. Over 80 percent of FORTUNE 500® companies and more than 90 FORTUNE 100 companies use at least one of ADP's services.  Partnering with ADP means you get solutions with the latest technology – so you can focus your limited time and resources on your business, not back-office administration."
advance-auto-parts,,BD,advance-auto-parts,"Headquartered in Roanoke, Va., Advance Auto Parts, Inc., a leading automotive aftermarket retailer of parts, accessories, batteries, and maintenance items, in the United States, serves both the do-it-yourself and professional installer markets.   The company operates over 3,900 stores in 39 states, Puerto Rico, and the Virgin Islands  and employs over  55,000 of the best Team Members in the business.  Advance Auto Parts works hard to create an environment of honesty, integrity, mutual trust and dedication. Since our founding by Arthur Taubman in 1932, the values haven’t changed."
aes,"

We are dedicated to improving lives and making a lasting difference in the communities in which our businesses operate. We are committed to a wide range of social, economic and environmental initiatives that will improve the lives of our customers and their communities; protect the environments in which we operate; empower our people and businesses; and improve long-term returns to our investors.
Our Mission

Improving lives by providing safe, reliable and sustainable energy solutions in every market we serve.
Our Vision

Our vision is to be the world’s leading sustainable power company that safely provides reliable, affordable energy. We do this by leveraging our unique electricity platforms and the knowledge of our people to provide the energy and infrastructure solutions our customers truly need. Our people share a passion to help meet the world’s current and increasing energy needs, while providing communities and countries the opportunity for economic growth due to the availability of reliable, affordable electric power.
Our Values

AES values are at the heart of our operations and we believe these values set AES apart from others in our industry. Every day, our people and businesses around the world are guided by the following core values:
PUT SAFETY FIRST

We always put safety first—for our people, contractors and communities.
ACT WITH INTEGRITY

Integrity is at the core of everything we do—how we conduct ourselves and how we interact with our stakeholders.
HONOR COMMITMENTS

We honor our commitments to our customers, teammates, communities, owners, suppliers and partners, and we encourage our businesses to make positive contributions to society.
STRIVE FOR EXCELLENCE

We strive to be the best in all that we do and to perform at world-class levels.
HAVE FUN THROUGH WORK

Work can be fun, fulfilling and exciting. We appreciate being part of a team that is making a difference and we will work to grow and strengthen our operations.
Our Culture

The energy our people bring to what they do is what powers AES. At its essence, our culture is how we channel that energy through the ways in which we work together.
WIN

We strive to win in everything we do.
GROW

We commit to growing our people, professionally and personally.
TEAM

We help each other across our business lines and our support functions.
SPEAK WITH CANDOR

We say what we think in an open and constructive way that moves us forward.
",F500,aes,"AES provides affordable and reliable energy to customers around the world through its distribution businesses and thermal and renewable power generation facilities.  With more than 30 years of experience, diverse mix of generation and utility sources provides the strength and flexibility to adapt to local and regional market needs, maximize plant efficiency and deliver reliable, affordable electricity."
aetna,,BD,aetna,"Aetna is a diversified health care benefits companies, providing individuals, employers, health care professionals, producers, and others with innovative benefits, products, and services. It is serving an estimated 46.7 million people with information and resources to help them make better decisions about their health care.

Aetna offers a broad range of traditional and consumer-directed health insurance products and related services, including medical, pharmacy, dental, behavioral health, group life, long-term care and disability plans, and medical management capabilities. Its customers include employer groups, individuals, college students, part-time and hourly workers, and more.

Aetna was founded in 1853 and is based in Hartford, C.T."
aflac,,BD,aflac,"Aflac Incorporated is the largest provider of supplemental insurance in the United States, founded in 1955 and based in Columbus, Georgia. In the United States, Aflac underwrites a wide range of insurance policies, but is perhaps more known for its payroll deduction insurance coverage, which pays cash benefits when a policyholder has a covered accident or illness. The company states it insures ""one of four Japanese households"" and is ""the largest life insurer in Japan in terms of individual insurance policies in force"". Aflac is also well known for its supplemental medical policies.  Aflac currently is the number one supplemental health provider in the U.S., followed closely by Allstate Workplace Division. However, its market share is higher than its next four competitors combined."
