name,sincerity,excitement,competence,sophistication,ruggedness
adobe,1.6954545455,2.2090909091,2.8,1.6916666667,0.98
advance-auto-parts,1.8454545455,1.4954545455,2.2555555556,1.1,2.12
amazon,1.9772727273,2.4090909091,2.7833333333,1.45,1.2
apple,1.8954545455,2.5409090909,2.9055555556,1.8666666667,1.04
audi,1.8272727273,2.4954545455,2.5777777778,2.3416666667,1.57
autozone,1.8772727273,1.3590909091,2.6055555556,0.8416666667,2.1
barnes-noble,2.0636363636,1.9136363636,2.5055555556,1.75,1.07
bmw,1.6181818182,2.4363636364,2.9333333333,2.5083333333,1.51
boeing,1.7818181818,2.5545454545,3.5444444444,1.7416666667,2.14
burberry,1.6636363636,2.0681818182,2.35,2.325,1.37
campbells,2.7727272727,1.35,2.1888888889,1.2416666667,1
capital-one,1.4227272727,1.4318181818,2.5333333333,1.1416666667,0.84
caterpillar,1.8136363636,1.6272727273,2.7833333333,0.8583333333,3.12
chipotle-mexican,2.0181818182,2.4045454545,2.0277777778,1.3333333333,1.15
cisco,1.5818181818,1.95,2.9944444444,1.25,0.98
comcast-corporation,0.8863636364,1.1863636364,2.1833333333,0.7916666667,0.6
deere--company,2.4590909091,1.6363636364,2.7666666667,0.9166666667,3.46
dell,1.6272727273,1.9590909091,2.8888888889,1.225,1.16
dicks-sporting,2.3681818182,1.9772727273,2.25,1.2416666667,2.62
disney,2.6315789474,2.7416267943,2.7543859649,2.0877192982,1.1157894737
dollar-general,2.0863636364,1.0181818182,1.8,0.75,0.78
dow,1.2136363636,1.3181818182,2.5833333333,0.7583333333,1.48
du-pont,1.4727272727,1.3818181818,2.6888888889,0.6583333333,1.75
electronic-arts,1.4772727273,2.5045454545,2.5388888889,1.0833333333,1.4
espn,1.7636363636,2.2090909091,2.3944444444,1.1916666667,2.41
exxonmobil,1.1818181818,1.3205741627,2.7134502924,0.8245614035,1.7789473684
facebook,1.5409090909,2.5363636364,2.5444444444,1.425,0.71
farmers-insurance-exchange,2.2636363636,1.2363636364,2.3333333333,0.85,1.37
fedex,2.1227272727,2.0863636364,3.0444444444,1.4,1.71
ford,2.0681818182,1.9090909091,2.7888888889,1.3833333333,2.72
gamestop,1.7818181818,2.3,2.45,1.2083333333,0.9
gap,1.9772727273,1.9636363636,2.1222222222,1.6333333333,1.28
