name,down.to.earth,honest,wholesome,cheerful,daring,spirited,imaginative,up.to.date,reliable,intelligent,successful,upper.class,charming,outdoorsy,tough
adobe,1.0666666667,2.4333333333,2.075,1.3333333333,2.1,1.8166666667,2.45,2.55,2.7,2.9,2.8,1.8666666667,1.5166666667,0.95,1.025
advance-auto-parts,1.6166666667,2.25,1.825,1.6833333333,1.3833333333,1.4166666667,1.425,1.7333333333,2.4666666667,1.9333333333,2.3666666667,1.0333333333,1.1666666667,2.0666666667,2.2
amazon,1.3833333333,2.65,2.025,1.8666666667,2.3666666667,2.0166666667,2.475,2.8,2.8,2.45,3.1,1.45,1.45,1.1166666667,1.325
apple,1.2166666667,2.3333333333,2.4,1.8,2.4666666667,2.2166666667,2.775,2.7833333333,2.6833333333,2.9833333333,3.05,2.2833333333,1.45,1.05,1.025
audi,1.1166666667,2.45,2,1.8,2.5666666667,2.2,2.575,2.6666666667,2.6666666667,2.3,2.7666666667,2.8166666667,1.8666666667,1.55,1.6
autozone,1.5833333333,2.4333333333,1.85,1.6333333333,1.0833333333,1.3833333333,1.175,1.7333333333,2.8333333333,2.25,2.7333333333,0.7166666667,0.9666666667,1.9333333333,2.35
barnes-noble,1.65,2.5,1.875,2.1666666667,1.7833333333,1.6166666667,1.9,2.35,2.5333333333,2.3333333333,2.65,1.8166666667,1.6833333333,1.1666666667,0.925
bmw,0.7666666667,2.3166666667,2.175,1.4,2.65,2.1333333333,2.35,2.5833333333,2.6166666667,2.85,3.3333333333,3.0666666667,1.95,1.4833333333,1.55
boeing,1,2.5,2.325,1.4833333333,2.5833333333,2.1833333333,2.625,2.85,3.3166666667,3.6166666667,3.7,2.15,1.3333333333,2.05,2.275
burberry,0.9166666667,2.2,2.05,1.6166666667,2.1333333333,1.9166666667,1.975,2.2166666667,2.35,1.7666666667,2.9333333333,2.8166666667,1.8333333333,1.5666666667,1.075
campbells,2.6166666667,3.1,2.875,2.5333333333,1.0333333333,1.3333333333,1.325,1.7,2.65,1.3333333333,2.5833333333,1,1.4833333333,1.15,0.775
capital-one,0.85,2.25,1.3,1.25,1.05,1.2333333333,1.275,2.1166666667,2.4333333333,2.5,2.6666666667,1.1666666667,1.1166666667,0.9333333333,0.7
caterpillar,1.5166666667,2.5,2.025,1.2833333333,1.55,1.3833333333,1.675,1.9166666667,3.1,2.3666666667,2.8833333333,0.7666666667,0.95,2.9,3.45
chipotle-mexican,1.5666666667,2.4,2.475,1.7833333333,2.3666666667,2.3333333333,2.4,2.5166666667,2.0666666667,1.5,2.5166666667,1.3666666667,1.3,1.2333333333,1.025
cisco,0.9333333333,2.35,1.85,1.2833333333,1.7333333333,1.5666666667,2.225,2.3666666667,2.8,3.1333333333,3.05,1.4333333333,1.0666666667,0.9166666667,1.075
comcast-corporation,0.65,1.3666666667,0.875,0.65,1.0333333333,0.9833333333,1,1.6666666667,1.4166666667,2.7333333333,2.4,0.95,0.6333333333,0.7666666667,0.35
