"","name","feat","area","frac","ftype","style","family","ver"
"1","21st-century-fox",0,456,0.00931372549019608,"sans","geom","futura","bold"
"2","21st-century-fox",1,304,0.00620915032679739,"sans","grotesque","helvetica","bold"
"3","21st-century-fox",2,362,0.0073937908496732,"sans","geom-square","eurostile","bold"
"4","21st-century-fox",3,459,0.009375,"sans","humanist","gillsans","bold"
"5","21st-century-fox",4,440,0.00898692810457516,"sans","geom","futura","bold"
"6","21st-century-fox",5,626,0.0127859477124183,"sans","grotesque","helvetica","bold"
"7","21st-century-fox",6,363,0.00741421568627451,"sans","geom-square","eurostile","bold"
"8","21st-century-fox",7,559,0.0114174836601307,"sans","grotesque","helvetica","bold"
"9","21st-century-fox",8,383,0.00782271241830065,"sans","geom-square","eurostile","bold"
"10","21st-century-fox",9,385,0.00786356209150327,"sans","geom","futura","bold"
"11","21st-century-fox",10,613,0.0125204248366013,"sans","grotesque","helvetica","bold"
"12","21st-century-fox",11,520,0.0106209150326797,"sans","geom","futura","cb"
"13","abbott-labs",0,894,0.020189701897019,"serif","oldstyle","bembo","bold"
"14","abbott-labs",1,805,0.0181797651309846,"serif","clarendon","clarendon","bold"
"15","abbott-labs",2,806,0.0182023486901536,"serif","clarendon","clarendon","bold"
"16","abbott-labs",3,605,0.0136630532971996,"serif","clarendon","clarendon","bold"
"17","abbvie-inc",0,2357,0.0102653217657921,"sans","grotesque","helvetica","light"
"18","abm",0,82,0.00234379466072143,"sans","geom","comfortaa","orig"
"19","abm",1,45,0.00128622877722518,"sans","geom","comfortaa","orig"
"20","abm",2,45,0.00128622877722518,"serif","slab","rockwell","co"
"21","abm",3,69,0.00197221745841194,"sans","geom-square","eurostile","bold"
"22","abm",4,24,0.00068598868118676,"serif","slab","rockwell","co"
"23","abm",5,31,0.000886068713199566,"sans","geom","futura","orig"
"24","abm",6,111,0.00317269765048877,"sans","humanist","gillsans","cb"
"25","abm",7,67,0.00191505173497971,"sans","geom","futura","bold"
"26","accenture",0,973,0.0141630276564774,"serif","transitional","times","cb"
"27","accenture",1,1406,0.0204657933042213,"sans","humanist","gillsans","orig"
"28","accenture",2,775,0.0112809315866084,"sans","geom","bauhaus","orig"
"29","accenture",3,1402,0.0204075691411936,"sans","humanist","gillsans","orig"
"30","accenture",4,1351,0.019665211062591,"sans","humanist","gillsans","orig"
"31","ace",0,5717,0.0818175313059034,"sans","geom-square","eurostile","bi"
"32","ace",1,826,0.0118211091234347,"sans","geom","futura","bi"
"33","ace",2,329,0.00470840787119857,"sans","geom","futura","cbi"
"34","ace",3,737,0.0105474060822898,"sans","geom","futura","bi"
"35","ace",4,332,0.00475134168157424,"sans","geom","futura","cbi"
"36","ace",5,551,0.00788550983899821,"sans","geom","futura","italic"
"37","actavis",0,6698,0.034089983713355,"callig","glyphic","copperplate-gothic","bold"
"38","actavis",1,3582,0.0182308631921824,"sans","geom","futura","cb"
"39","actavis",2,3576,0.018200325732899,"sans","humanist","gillsans","orig"
"40","actavis",3,3802,0.0193505700325733,"sans","humanist","gillsans","orig"
"41","actavis",4,3894,0.0198188110749186,"sans","geom","futura","bold"
"42","actavis",5,2225,0.0113243078175896,"sans","humanist","gillsans","bold"
"43","activision-blizzard",0,2537,0.0304785016638835,"sans","geom-square","eurostile","co"
"44","activision-blizzard",1,890,0.010692103461118,"callig","glyphic","trajan","orig"
"45","activision-blizzard",2,316,0.00379629740866661,"sans","geom","bauhaus","bold"
"46","activision-blizzard",3,314,0.00377227020987758,"sans","grotesque","helvetica","bold"
"47","activision-blizzard",4,315,0.0037842838092721,"sans","geom","bauhaus","bold"
"48","activision-blizzard",5,331,0.00397650139958433,"sans","geom","bauhaus","bold"
"49","activision-blizzard",6,987,0.0118574226023859,"sans","humanist","gillsans","orig"
"50","activision-blizzard",7,1355,0.0162784271795673,"sans","geom","bauhaus","bold"
"51","activision-blizzard",8,552,0.00663150686577205,"sans","humanist","gillsans","bold"
"52","activision-blizzard",9,596,0.0071601052391307,"sans","humanist","gillsans","bold"
"53","activision-blizzard",10,798,0.00958685231682264,"sans","humanist","gillsans","cb"
"54","activision-blizzard",11,598,0.00718413243791972,"sans","humanist","gillsans","bold"
"55","adidas",0,506,0.00727262274347476,"sans","geom","futura","orig"
"56","adidas",1,1423,0.0204524548694952,"sans","geom","futura","orig"
"57","adidas",2,1398,0.0200931355639876,"sans","geom","futura","orig"
"58","adobe",0,827,0.0141687225877193,"sans","grotesque","helvetica","cb"
"59","adobe",1,843,0.0144428453947368,"serif","transitional","times","cb"
"60","adobe",2,612,0.0104851973684211,"sans","humanist","gillsans","cb"
"61","advance-auto-parts",0,212,0.0105346849532896,"sans","geom-square","eurostile","italic"
"62","advance-auto-parts",1,110,0.00546611011727291,"serif","oldstyle","bembo","bi"
"63","advance-auto-parts",2,97,0.00482011528523156,"serif","oldstyle","bembo","bi"
"64","advance-auto-parts",3,142,0.00705625124229775,"sans","grotesque","helvetica","bi"
"65","aecom-technology",0,1116,0.0412234042553191,"sans","humanist","gillsans","orig"
"66","aecom-technology",1,1466,0.0541518912529551,"callig","glyphic","copperplate-gothic","bold"
"67","aecom-technology",2,398,0.014701536643026,"callig","casual","nadianne","bold"
"68","aecom-technology",3,1951,0.0720670803782506,"sans","geom","futura","bi"
"69","aes",0,1243,0.0180773705642816,"sans","geom","comfortaa","bold"
"70","aes",1,1169,0.0170011634671321,"sans","grotesque","helvetica","cb"
"71","aes",2,1093,0.0158958696916812,"sans","humanist","gillsans","light"
"72","aes",3,86,0.00125072716695753,"sans","humanist","gillsans","italic"
"73","aes",4,73,0.00106166375799884,"callig","casual","nadianne","orig"
"74","aes",5,49,0.000712623618382781,"callig","casual","nadianne","orig"
"75","aes",6,89,0.00129435718440954,"sans","humanist","gillsans","italic"
"76","aes",7,48,0.000698080279232112,"sans","grotesque","helvetica","ci"
"77","aes",8,51,0.000741710296684119,"serif","didone","bodoni","italic"
"78","aes",9,70,0.00101803374054683,"sans","humanist","gillsans","bi"
"79","aes",10,41,0.000596276905177429,"sans","humanist","gillsans","italic"
"80","aes",11,31,0.000450843513670739,"sans","grotesque","helvetica","cbi"
"81","aes",12,66,0.000959860383944154,"serif","slab","rockwell","italic"
"82","aetna",0,531,0.0306104801983052,"serif","transitional","times","bold"
"83","aetna",1,776,0.044733959762495,"sans","humanist","gillsans","cb"
"84","aflac",0,8413,0.0507051591128255,"sans","humanist","gillsans","orig"
"85","aflac",1,13177,0.0794177917068467,"sans","humanist","gillsans","orig"
"86","aflac",2,7193,0.0433522179363549,"sans","humanist","gillsans","orig"
"87","aflac",3,1755,0.0105773866923819,"sans","geom","futura","cbi"
"88","aflac",4,16,9.64320154291225e-05,"sans","geom","futura","light"
"89","aflac",5,3,1.80810028929605e-05,"sans","humanist","gillsans","cb"
"90","aflac",6,3,1.80810028929605e-05,"sans","humanist","gillsans","cb"
"91","aflac",7,3,1.80810028929605e-05,"sans","humanist","gillsans","cb"
"92","aflac",8,9,5.42430086788814e-05,"sans","grotesque","helvetica","light"
"93","aflac",9,3,1.80810028929605e-05,"sans","humanist","gillsans","cb"
"94","agco-corporation",0,92,0.0014829142488717,"sans","humanist","gillsans","co"
"95","agco-corporation",1,140,0.00225660863958736,"sans","grotesque","helvetica","cb"
"96","agco-corporation",2,183,0.00294970986460348,"callig","glyphic","copperplate-gothic","bold"
"97","agco-corporation",3,144,0.002321083172147,"sans","geom","bauhaus","orig"
"98","agco-corporation",4,110,0.00177304964539007,"sans","grotesque","helvetica","cb"
"99","agco-corporation",5,149,0.00240167633784655,"sans","grotesque","helvetica","bold"
"100","agco-corporation",6,79,0.00127337201805287,"sans","grotesque","helvetica","cb"
"101","agco-corporation",7,217,0.00349774339136041,"sans","grotesque","helvetica","cb"
"102","agco-corporation",8,94,0.00151515151515152,"sans","grotesque","helvetica","cb"
"103","agco-corporation",9,64,0.00103159252095422,"sans","humanist","gillsans","bold"
"104","agco-corporation",10,99,0.00159574468085106,"sans","geom","bauhaus","orig"
"105","agco-corporation",11,153,0.00246615087040619,"sans","geom-square","eurostile","bold"
"106","agco-corporation",12,138,0.00222437137330754,"sans","humanist","gillsans","cb"
"107","agco-corporation",13,85,0.00137008381689233,"sans","geom","bauhaus","orig"
"108","agco-corporation",14,145,0.00233720180528691,"serif","clarendon","clarendon","bold"
"109","agco-corporation",15,195,0.0031431334622824,"sans","humanist","gillsans","cb"
"110","agco-corporation",16,152,0.00245003223726628,"sans","grotesque","helvetica","cb"
"111","aig",0,790,0.0350177304964539,"sans","geom","futura","orig"
"112","aig",1,638,0.0282801418439716,"sans","geom","futura","orig"
"113","aig",2,308,0.0136524822695035,"sans","geom-square","eurostile","co"
"114","air-products--chemicals",0,1467,0.0194294342021615,"sans","grotesque","helvetica","bi"
"115","air-products--chemicals",1,1355,0.0179460690824327,"sans","grotesque","helvetica","bi"
"116","air-products--chemicals",2,10865,0.143899660945115,"callig","casual","nadianne","orig"
"117","airbnb",0,1778,0.0243795420266009,"sans","geom","bauhaus","orig"
"118","airbnb",1,1771,0.0242835595776772,"sans","geom","bauhaus","orig"
"119","airbnb",2,1518,0.020814479638009,"sans","geom","futura","orig"
"120","airbnb",3,745,0.0102152749211573,"sans","grotesque","helvetica","orig"
"121","airbnb",4,1292,0.0177156177156177,"sans","geom","futura","orig"
"122","airbnb",5,564,0.00773344302756067,"sans","humanist","gillsans","bold"
"123","airgas",0,4491,0.0628692219391326,"sans","geom","futura","cb"
"124","airgas",1,2106,0.0294817593862866,"sans","geom","futura","co"
"125","airgas",2,4310,0.0603354145084974,"sans","geom-square","eurostile","cb"
"126","airgas",3,3339,0.0467424475739844,"sans","grotesque","helvetica","cb"
"127","airgas",4,1871,0.026192009407285,"sans","humanist","gillsans","bold"
"128","airgas",5,181,0.00253380743063527,"sans","grotesque","helvetica","orig"
"129","airgas",6,105,0.00146988828849007,"sans","geom-square","eurostile","orig"
"130","airgas",7,188,0.00263179998320128,"sans","geom","comfortaa","bold"
"131","airgas",8,161,0.00225382870901811,"sans","grotesque","helvetica","orig"
"132","airgas",9,123,0.00172186913794552,"sans","grotesque","helvetica","orig"
"133","airgas",10,74,0.00103592126998348,"sans","grotesque","helvetica","orig"
"134","airgas",11,51,0.000713945740123751,"sans","humanist","gillsans","co"
"135","airgas",12,172,0.00240781700590755,"sans","grotesque","helvetica","light"
"136","airgas",13,119,0.00166587339362208,"sans","grotesque","helvetica","orig"
"137","airgas",14,51,0.000713945740123751,"sans","humanist","gillsans","co"
"138","airgas",15,154,0.00215583615645211,"sans","grotesque","helvetica","orig"
"139","airgas",16,120,0.00167987232970294,"sans","grotesque","helvetica","orig"
"140","airgas",17,146,0.00204384466780525,"sans","grotesque","helvetica","orig"
"141","airgas",18,214,0.00299577232130358,"sans","geom","futura","orig"
"142","airgas",19,172,0.00240781700590755,"sans","grotesque","helvetica","orig"
"143","airgas",20,158,0.00221183190077554,"sans","grotesque","helvetica","orig"
"144","airgas",21,120,0.00167987232970294,"sans","grotesque","helvetica","orig"
"145","airgas",22,128,0.00179186381834981,"sans","grotesque","helvetica","orig"
"146","ak-steel-holding-corporation",0,505,0.0159040090700091,"sans","geom","futura","bold"
"147","ak-steel-holding-corporation",1,537,0.0169117878625642,"sans","geom","futura","bold"
"148","ak-steel-holding-corporation",2,430,0.0135420275249583,"sans","humanist","gillsans","orig"
"149","ak-steel-holding-corporation",3,203,0.006393096715271,"sans","humanist","gillsans","bold"
"150","ak-steel-holding-corporation",4,216,0.00680250684974648,"sans","geom","futura","cb"
"151","ak-steel-holding-corporation",5,324,0.0102037602746197,"serif","slab","rockwell","bold"
"152","ak-steel-holding-corporation",6,326,0.0102667464491544,"serif","slab","rockwell","bold"
"153","ak-steel-holding-corporation",7,394,0.0124082763833339,"sans","geom","futura","bold"
"154","ak-steel-holding-corporation",8,388,0.0122193178597298,"sans","geom","futura","bold"
"155","akamai-technologies",0,853,0.0235765616362631,"sans","geom-square","eurostile","bi"
"156","akamai-technologies",1,587,0.0162244333886125,"sans","geom-square","eurostile","bi"
"157","akamai-technologies",2,535,0.0147871752349364,"sans","geom-square","eurostile","bi"
"158","akamai-technologies",3,774,0.0213930348258706,"sans","geom-square","eurostile","bi"
"159","akamai-technologies",4,532,0.0147042564953013,"sans","geom-square","eurostile","bi"
"160","akamai-technologies",5,228,0.00630182421227197,"sans","grotesque","helvetica","bi"
"161","allergan",0,376,0.0142348754448399,"sans","humanist","gillsans","bi"
"162","allergan",1,177,0.00670099189823578,"sans","geom","futura","ci"
"163","allergan",2,178,0.00673885060952525,"sans","geom","futura","ci"
"164","allergan",3,171,0.00647383963049898,"sans","humanist","gillsans","italic"
"165","allergan",4,294,0.0111304611191035,"sans","humanist","gillsans","bi"
"166","allergan",5,396,0.0149920496706292,"sans","humanist","gillsans","bi"
"167","alliance-data-systems-corp",0,219,0.00291859907244523,"sans","geom","comfortaa","orig"
"168","alliance-data-systems-corp",1,220,0.00293192600884909,"sans","grotesque","helvetica","light"
"169","alliance-data-systems-corp",2,500,0.00666346820192974,"sans","geom","comfortaa","light"
"170","alliance-data-systems-corp",3,323,0.00430460045844661,"sans","geom-square","eurostile","orig"
"171","alliance-data-systems-corp",4,272,0.00362492670184978,"sans","geom","comfortaa","orig"
"172","alliance-data-systems-corp",5,353,0.0047044085505624,"sans","geom","comfortaa","orig"
"173","alliance-data-systems-corp",6,135,0.00179913641452103,"sans","humanist","gillsans","co"
"174","alliance-data-systems-corp",7,632,0.00842262380723919,"sans","grotesque","helvetica","orig"
"175","alliance-data-systems-corp",8,270,0.00359827282904206,"sans","humanist","gillsans","light"
"176","alliance-data-systems-corp",9,474,0.00631696785542939,"sans","geom","comfortaa","bold"
"177","allianz",0,3027,0.0407797596594277,"sans","geom","futura","light"
"178","allianz",1,2364,0.031847820229563,"callig","glyphic","copperplate-gothic","bold"
"179","allianz",2,1144,0.015411973918198,"serif","didone","bodoni","bold"
"180","allianz",3,1082,0.0145767095974565,"sans","geom","futura","cb"
"181","allianz",4,1021,0.0137549172818882,"sans","geom","futura","cb"
"182","allianz",5,756,0.010184835910977,"sans","humanist","gillsans","bold"
"183","allianz",6,709,0.00955165166783424,"sans","humanist","gillsans","bold"
