,id,feat,label
0,21st-century-fox,,3
1,3m,,2
2,abbott-labs,,1
3,abbvie-inc,,1
4,abc,,5
5,abm,,2
6,accenture,,1
7,ace,,6
8,actavis,,6
9,activision-blizzard,,5
10,adidas,,6
11,adobe,,5
12,adp,,2
13,advance-auto-parts,,1
14,aecom-technology,,1
15,aes,,3
16,aetna,,1
17,aflac,,3
18,agco-corporation,,3
19,aig,,2
20,air-products--chemicals,,1
21,airbnb,,3
22,airgas,,2
23,ak-steel-holding-corporation,,3
24,akamai-technologies,,3
25,alaska-air-group,,3
26,alcoa,,5
27,allergan,,4
28,alliance-data-systems-corp,,1
29,allianz,,1
30,allstate,,1
31,ally-financial,,2
32,alphabet,,1
33,altria-group,,3
34,amazon,,4
35,ameren-corporation,,3
36,american-airlines,,4
37,american-electric-power-company,,3
38,american-express,,5
39,american-family-insurance-group,,3
40,american-financial-group,,2
41,ameriprise-financial,,3
42,amerisourcebergen,,1
43,amgen,,3
44,amphenol-corporation,,4
45,anadarko,,1
46,anixter-international,,1
47,anthem,,1
48,apache,,3
49,apple,,6
50,applied-materials,,1
51,aramark,,1
52,archerdanielsmidland-company,,5
53,arrow-electronics,,3
54,arthur-j-gallagher--co,,4
55,asbury-automotive-group,,2
56,ashland,,3
57,assurant,,4
58,att,,6
59,audi,,3
60,autoliv,,5
61,autonation,,1
62,autoowners-insurance-group,,1
63,autozone,,4
64,avery-dennison-corporation,,3
65,avis-budget-group,,4
66,avnet,,1
67,avon,,4
68,bacardi,,6
69,baker-hughes,,2
70,ball-corp,,5
71,bank-of-america,,4
72,barnes-noble,,1
73,baxalta-incorporated,,1
74,baxter-international,,4
75,bbt,,3
76,bcg,,3
77,becton-dickinson-and-company,,3
78,bed-bath-and-beyond,,3
79,berkshire-hathaway,,4
80,best-buy,,2
81,big-lots,,5
82,biogen-idec-inc,,3
83,black-and-decker,,4
84,blackrock,,4
85,blackstone,,2
86,bmw,,5
87,bnsf-railway,,4
88,boeing,,4
89,bond-street,,3
90,booking,,4
91,booz-allen-hamilton-holding-corp,,4
92,borgwarner-inc,,4
93,boston-scientific-corp,,3
94,bristol-myers-squibb,,4
95,broadcom,,6
96,budweiser,,3
97,buick,,1
98,burberry,,3
99,burger-king,,5
100,burlington-stores,,1
101,cabelas-inc,,1
102,cablevision-systems-corporation,,4
103,cadbury,,2
104,cadillac,,2
105,calpine-corporation,,4
106,calvin-klein,,4
107,camel,,2
108,cameron-international-corporation,,1
109,campbells,,2
110,canon,,1
111,capital-one,,3
112,cardinal-health,,3
113,carefree,,1
114,carmax,,4
115,carrier,,3
116,cartier,,1
117,caseys-general,,5
118,caterpillar,,5
119,cbi,,6
120,cbre,,1
121,cbs,,3
122,cdw-corporation,,2
123,celanese-corporation,,4
124,celgene,,2
125,centene-corporation,,1
126,centerpoint-energy,,3
127,centurylink,,4
128,cerner-corp,,1
129,ch-robinson,,4
130,ch2m-hill-companies,,1
131,charles-schwab,,0
132,charter-communications,,3
133,chase,,4
134,chesapeake-energy-corporation,,1
135,chesterfield,,2
136,chevron,,5
137,chipotle-mexican,,2
138,chs,,2
139,chubb,,4
140,cigna,,1
141,cincinnati-financial-corporation,,3
142,cinemark,,4
143,cintas-corp,,3
144,cisco,,2
145,citi,,5
146,citizens,,4
147,clinique,,3
148,clorox,,2
149,cme,,1
150,cms-energy-corporation,,3
151,coach,,3
152,coca-cola,,3
153,cognizant,,1
154,colgate,,1
155,comcast-corporation,,3
156,commercial-metals-company,,3
157,community-health-systems,,4
158,conagra-foods,,2
159,conocophillips,,1
160,cons-edison-inc,,1
161,constellation-brands,,4
162,coors,,2
163,coremark-holding-company,,1
164,corning,,4
165,costco,,3
166,courtyard,,3
167,crown-holdings-inc,,3
168,csc,,2
169,cst-brands,,3
170,csx,,2
171,cummins,,5
172,cvs,,4
173,dana-holding-corporation,,3
174,danaher,,6
175,danone,,2
176,darden-restaurants,,1
177,davita-healthcar,,3
178,dean-foods-company,,5
179,deere--company,,4
180,dell,,5
181,deloitte,,1
182,delta,,4
183,devon,,3
184,dhl,,1
185,dicks-sporting,,2
186,dillards,,1
187,dior,,3
188,directv,,1
189,discover,,4
190,discovery-media,,1
191,dish-networks,,2
192,disney,,3
193,dollar-general,,1
194,dollar-tree,,6
195,dominion,,3
196,dominos-pizza,,1
197,domtar-corporation,,6
198,doritos-tortilla-chips,,2
199,doubletree,,6
200,dover-corporation,,3
201,dow,,1
202,dr-horton,,3
203,dr-pepper,,2
204,dte-energy-co,,1
205,du-pont,,3
206,duke-energy,,3
207,eastman-chemical-company,,4
208,eaton,,3
209,ebay,,3
210,ecolab-inc,,1
211,edison-international,,1
212,electronic-arts,,5
213,eli-lilly-and-company,,2
214,emc-corporation,,3
215,emc2,,3
216,emcor-group,,1
217,emerson,,3
218,energy-future-holdings-corp,,4
219,energy-transfer-equity,,3
220,entergy,,3
221,enterprise,,1
222,envision-healthcare-holdings,,1
223,eog-resources,,1
224,equinix,,6
225,erie-insurance-group,,3
226,espn,,1
227,essendant,,1
228,esso,,2
229,estee-lauder,,4
230,eversource-energy,,4
231,exelon,,1
232,expedia,,1
233,expeditors-international-of-washington,,1
234,express-scripts,,4
235,exxonmobil,,1
236,facebook,,0
237,family-dollar,,4
238,fannie-mae,,4
239,fanta,,5
240,farmers-insurance-exchange,,6
241,fastenal-co,,1
242,fedex,,3
243,fidelity-national,,3
244,fifth-third-bank,,1
245,first-american-financial-corporation,,5
246,first-data-corp,,1
247,firstenergy-corp,,1
248,fiserv-inc,,2
249,florida-power-and-light,,5
250,flowers-foods,,4
251,fluor,,1
252,fmc-technologies,,4
253,folgers,,6
254,food-4-less,,1
255,foot-locker,,6
256,ford,,3
257,fossil,,3
258,fox,,2
259,franklin-templeton-investments,,6
260,freddie-mac,,3
261,freeport-mcmoran,,4
262,frontier,,1
263,gamestop,,1
264,gap,,0
265,garmin,,3
266,gatorade,,5
267,ge,,5
268,geico,,1
269,general-dynamics,,4
270,general-mills,,2
271,general-motors,,0
272,gilead-sciences,,1
273,gillette,,1
274,global-partners-lp,,3
275,gmc,,1
276,goldman-sachs,,0
277,goodyear,,4
278,google,,3
279,graybar-electric-company,,3
280,grey-goose,,5
281,group-1-automotive,,3
282,guardian-life-ins-co-of-america,,6
283,gucci,,0
284,halliburton,,4
285,hanesbrands,,5
286,harley-davidson,,2
287,harman-international-industries,,3
288,harman-intl,,2
289,harris-corp,,1
290,hbo,,2
291,hca-holdings,,3
292,hcl-technologies,,4
293,hd-supply,,4
294,health-net-inc,,1
295,heineken,,6
296,heinz,,3
297,henry-schein-inc,,4
298,hermes,,2
299,hersheys,,3
300,hertz,,2
301,hess,,2
302,hp-enterprise,,3
303,hilton,,6
304,hm,,5
305,hollyfrontier-corporation,,3
306,honda,,6
307,hormel,,3
