,name,feat,area,frac,label
0,21st-century-fox,0,1673.0,0.034170751633986925,78.0
1,21st-century-fox,1,2771.0,0.05659722222222222,41.0
2,21st-century-fox,2,1207.0,0.024652777777777773,27.0
3,21st-century-fox,3,288.0,0.005882352941176471,83.0
4,21st-century-fox,4,465.0,0.009497549019607842,58.0
5,21st-century-fox,5,573.0,0.01170343137254902,50.0
6,21st-century-fox,6,849.0,0.017340686274509805,20.0
7,21st-century-fox,7,876.0,0.017892156862745097,20.0
8,21st-century-fox,8,1015.0,0.0207312091503268,11.0
9,21st-century-fox,9,1207.0,0.024652777777777773,11.0
10,3m,0,35045.0,0.5232158853389072,29.0
11,abbott-labs,0,4531.0,0.10232610659439928,54.0
12,abbott-labs,1,1063.0,0.0240063233965673,87.0
13,abbvie-inc,0,9543.0,0.04156214069196195,94.0
14,abbvie-inc,1,9627.0,0.04192798160342845,94.0
15,abbvie-inc,2,9032.0,0.03933660848054075,9.0
16,abbvie-inc,3,5789.0,0.025212536148566254,23.0
17,abbvie-inc,4,9809.0,0.04272063691160586,96.0
18,abbvie-inc,5,477.0,0.002077453747256193,9999.0
19,abc,0,20440.0,0.4037530864197531,61.0
20,abc,1,1038.0,0.020503703703703705,65.0
21,abc,2,1039.0,0.02052345679012345,65.0
22,abm,0,1359.0,0.03884410907220031,39.0
23,abm,1,1520.0,0.04344594980849482,73.0
24,abm,2,1996.0,0.05705139198536556,52.0
25,abm,3,66.0,0.001886468873263591,9999.0
26,abm,4,416.0,0.011890470473903849,65.0
27,abm,5,48.0,0.0013719773623735206,9999.0
28,abm,6,106.0,0.003029783341908192,9999.0
29,abm,7,86.0,0.0024581261075858913,9999.0
30,abm,8,143.0,0.0040873492254044465,9999.0
31,abm,9,8.0,0.0002286628937289201,9999.0
32,abm,10,9.0,0.0002572457554450352,9999.0
33,abm,11,71.0,0.002029383181844166,9999.0
34,abm,12,69.0,0.001972217458411936,9999.0
35,accenture,0,848.0,0.012343522561863171,2.0
36,accenture,1,1410.0,0.02052401746724891,63.0
37,accenture,2,1158.0,0.01685589519650655,60.0
38,accenture,3,1162.0,0.016914119359534206,60.0
39,accenture,4,1347.0,0.01960698689956332,3.0
40,ace,0,3967.0,0.05677280858676208,72.0
41,ace,1,6292.0,0.09004651162790697,60.0
42,ace,2,1654.0,0.023670840787119857,92.0
43,ace,3,683.0,0.009774597495527728,14.0
44,ace,4,566.0,0.008100178890876565,46.0
45,ace,5,565.0,0.008085867620751341,46.0
46,ace,6,67.0,0.000958855098389982,9999.0
47,ace,7,679.0,0.009717352415026834,63.0
