"","X","name","feat","area","frac","label","selem","label.1","selem_desc"
"1",0,"21st-century-fox",0,1673,0.0341707516339869,78,78,1,"Tall small decorations"
"2",1,"21st-century-fox",1,2771,0.0565972222222222,41,41,1,"Small geometric decorations"
"3",2,"21st-century-fox",2,1207,0.0246527777777778,27,27,1,"Diagonal geometric solid, small size"
"5",4,"21st-century-fox",4,465,0.00949754901960784,58,58,1,"Small tall rectangular decorations"
"7",6,"21st-century-fox",6,849,0.0173406862745098,20,20,6,"two chars combined, or solid blocky smallish decorations"
"8",7,"21st-century-fox",7,876,0.0178921568627451,20,20,6,"two chars combined, or solid blocky smallish decorations"
"9",8,"21st-century-fox",8,1015,0.0207312091503268,11,11,6,"Mix of chars and ovals"
"10",9,"21st-century-fox",9,1207,0.0246527777777778,11,11,6,"Mix of chars and ovals"
"11",10,"3m",0,35045,0.523215885338907,29,29,1,"Large geometric text overlayed"
"12",11,"abbott-labs",0,4531,0.102326106594399,54,54,6,"n and n-like decorations"
"14",13,"abbvie-inc",0,9543,0.041562140691962,94,94,6,"Thin lines, round + strings"
"15",14,"abbvie-inc",1,9627,0.0419279816034284,94,94,6,"Thin lines, round + strings"
"17",16,"abbvie-inc",3,5789,0.0252125361485663,23,23,1,"Thin lines (outlines)"
"20",19,"abc",0,20440,0.403753086419753,61,61,1,"Large, mostly circular, with overlay"
"21",20,"abc",1,1038,0.0205037037037037,65,65,1,"Small, filled in circles or D-like objects"
"22",21,"abc",2,1039,0.0205234567901235,65,65,1,"Small, filled in circles or D-like objects"
"27",26,"abm",4,416,0.0118904704739038,65,65,1,"Small, filled in circles or D-like objects"
"36",35,"accenture",0,848,0.0123435225618632,2,2,1,"Small, geometric decorations"
"41",40,"ace",0,3967,0.0567728085867621,72,72,6,"Tall, narrow, decorations (decorative Y, a deer)"
"43",42,"ace",2,1654,0.0236708407871199,92,92,1,"Small-medium triangles"
"53",52,"actavis",4,20128,0.102442996742671,82,82,1,"Medium-sized, horizontal decorative elements"
"54",53,"activision-blizzard",0,3060,0.0367616141472146,70,70,1,"Small, curvy decorations"
"55",54,"activision-blizzard",1,2711,0.0325688679585291,70,70,1,"Small, curvy decorations"
"56",55,"activision-blizzard",2,3282,0.0394286332127969,70,70,1,"Small, curvy decorations"
"58",57,"activision-blizzard",4,2273,0.0273069114237317,70,70,1,"Small, curvy decorations"
"59",58,"activision-blizzard",5,1752,0.0210478261391896,70,70,1,"Small, curvy decorations"
"60",59,"activision-blizzard",6,500,0.0060067996972573,57,57,1,"Small curved, L-like decorative objects"
"61",60,"activision-blizzard",7,732,0.00879395475678468,57,57,1,"Small curved, L-like decorative objects"
"64",63,"activision-blizzard",10,540,0.00648734367303788,78,78,1,"Tall small decorations"
"65",64,"activision-blizzard",11,431,0.00517786133903579,92,92,1,"Small-medium triangles"
"66",65,"activision-blizzard",12,452,0.0054301469263206,92,92,1,"Small-medium triangles"
