name,area,frac,r,g,b,color_label
21st-century-fox,5939,0.121303105,40.47247011,16.63613403,109.0015154,7
21st-century-fox,36168,0.73872549,253.9664621,253.9507576,254.0750111,0
21st-century-fox,6853,0.139971405,154.1650372,154.4678243,160.4549832,8
3m,35045,0.523215885,237.6171779,29.29168212,37.26631474,2
3m,31935,0.476784115,254.8563019,253.2211054,253.2842649,0
abbott-labs,4531,0.102326107,1.311410285,150.0690797,215.0183183,9
abbott-labs,34734,0.784417344,254.302499,254.5264294,254.6308804,0
abbott-labs,4173,0.094241192,2.889048646,2.889048646,2.889048646,1
abbott-labs,842,0.019015357,139.3990499,164.0225653,176.0380048,8
abbvie-inc,46609,0.202993798,21.23521208,59.51841919,116.4916432,3
abbvie-inc,182999,0.797006202,254.4269641,254.5246859,254.6626484,0
abc,28108,0.555219753,252.6514871,252.6514871,252.6514871,0
abc,22517,0.444780247,2.587911356,2.587911356,2.587911356,1
abm,416,0.01189047,234.7307692,133.5480769,35.18990385,5
abm,5393,0.154147373,27.54070091,76.07417022,161.20916,7
abm,623,0.017807123,152.6083467,170.1332263,204.8699839,8
abm,28554,0.816155033,254.4021153,254.5528823,254.5861876,0
accenture,1033,0.01503639,152.1326234,25.75798645,53.47337851,13
accenture,55647,0.81,254.6435208,254.6276888,254.6311212,0
accenture,10984,0.159883552,1.183084487,1.183084487,1.183084487,1
accenture,1036,0.015080058,152.6052124,147.3590734,148.3194981,8
ace,17985,0.257388193,229.2274117,50.23797609,56.25827078,2
ace,47301,0.676937388,254.276844,253.4393987,253.4603708,0
ace,4589,0.065674419,3.290913053,3.925691872,3.925691872,1
actavis,37924,0.193017101,69.02246421,173.4143223,45.34131358,10
actavis,11125,0.056621539,31.04073008,88.37403345,108.7978781,6
actavis,147431,0.75036136,254.0752555,254.562921,254.0195413,0
activision-blizzard,20975,0.251985247,94.28085816,156.0899642,203.0834327,9
activision-blizzard,52192,0.62701378,252.5845149,253.2748122,253.8008699,0
activision-blizzard,5007,0.060152092,53.28999401,53.28999401,53.28999401,1
activision-blizzard,5065,0.060848881,116.4199408,116.4199408,116.4199408,6
adidas,50338,0.723496608,254.69675,254.69675,254.69675,0
adidas,18202,0.2616132,0.709262718,0.709262718,0.709262718,1
adidas,1036,0.014890192,134.0820463,134.0820463,134.0820463,6
adobe,10208,0.174890351,235.4067398,30.29907915,37.95199843,2
adobe,44347,0.759782758,254.4513721,254.1175502,254.1229395,0
adobe,3813,0.065326891,4.07998951,4.07998951,4.07998951,1
adp,23902,0.335499628,238.0608317,38.8334449,33.89628483,2
adp,47341,0.664500372,254.8696056,253.6392134,253.6096829,0
advance-auto-parts,336863,0.326341742,235.0156176,28.2136744,43.12784129,2
advance-auto-parts,613259,0.594105053,254.7992235,254.1966673,254.2403585,0
advance-auto-parts,82118,0.079553205,33.97777588,30.99117124,31.98777369,1
aecom-technology,19326,0.713874113,254.0487426,254.0522095,254.0506054,0
aecom-technology,7059,0.260749113,2.240979199,2.240271685,2.240554691,1
aecom-technology,687,0.025376773,123.5935199,123.5287187,123.5552283,6
aes,3384,0.04921466,18.69089835,116.9473995,171.0094563,9
aes,2009,0.029217568,129.3708313,201.0935789,47.20905923,10
aes,4499,0.065430483,2.195154479,48.92420538,81.95910202,3
aes,972,0.014136126,68.90329218,108.3796296,16.61831276,4
aes,57896,0.842001163,254.1569884,254.3992677,254.4853358,0
aetna,3495,0.201475759,98.65207439,153.9181688,55.71072961,10
aetna,13852,0.798524241,253.7284869,254.1485706,253.3939503,0
aflac,40652,0.245009643,3.67365159,162.964067,223.6106397,9
aflac,2613,0.015748554,247.0088021,152.2969767,51.76846537,5
aflac,2382,0.014356316,155.8846801,205.9372896,232.4574916,8
aflac,120273,0.724885487,254.5100023,254.6417038,254.7501663,0
agco-corporation,3384,0.054545455,195.7000591,16.2071513,42.85667849,2
agco-corporation,5446,0.087782076,31.94674991,27.99026809,28.94307749,1
agco-corporation,49992,0.805802708,254.5911546,254.5197832,254.5289646,0
agco-corporation,1871,0.030157963,2.912880812,0.772848744,1.175841796,1
agco-corporation,1347,0.021711799,164.2026726,148.8760208,150.6258352,8
aig,4280,0.189716312,15.24415888,167.6278037,229.1313084,9
aig,18280,0.810283688,251.5877462,253.7315646,254.6164114,0
air-products--chemicals,254947,0.337846398,21.5621639,148.7096887,63.28328633,10
air-products--chemicals,499677,0.662153602,254.4838065,254.7647841,254.5762703,0
airbnb,11758,0.161223091,255,91.12212961,96.10758632,2
airbnb,61172,0.838776909,255,254.2616884,254.2827437,0
airgas,19998,0.279950724,0.543254326,130.6362136,146.7221722,9
airgas,1544,0.021614357,126.9112694,161.117228,166.503886,8
airgas,1550,0.021698351,23.62451613,20.0683871,20.73096774,1
airgas,48342,0.676736568,254.0234372,254.3281618,254.3753465,0
ak-steel-holding-corporation,5010,0.157780367,197.6163673,0.203193613,59.47265469,13
ak-steel-holding-corporation,23650,0.744811514,254.6396617,254.4544186,254.5065539,0
ak-steel-holding-corporation,2541,0.080023935,3.423848878,3.423848878,3.423848878,1
