"","form_sans","form_serif","form_callig","class_grotesque","class_geom","class_geom-square","class_humanist","class_transitional","class_oldstyle","class_clarendon","class_slab","class_glyphic","class_casual","class_didone","class_monotype","class_amp","family_helvetica","family_futura","family_eurostile","family_gillsans","family_bauhaus","family_kepler","family_times","family_bembo","family_clarendon","family_rockwell","family_comfortaa","family_centaur","family_copperplate-gothic","family_nadianne","family_bodoni","family_trajan","family_americana","family_monotype","ver_bold","ver_cb","ver_bi","ver_wide","ver_light","ver_orig","ver_wb","ver_co","ver_cbi","ver_italic","ver_wbi","ver_wi","ver_ci","ver_wl","ver_wli","ver_li","width_condensed","width_wide","width_orig","width_has_condensed","width_has_wide","width_has_orig","width_mixed","weight_bold","weight_light","weight_orig","weight_has_bold","weight_has_light","weight_has_orig","weight_mixed","style_italic","style_orig","style_has_italic","style_has_orig","style_mixed"
"21st-century-fox",14,0,0,4,5,3,2,0,0,0,0,0,0,0,0,0,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,1,0,14,0,0,1,0,0,0,0,14,0,1,0
"3m",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
"abbott-labs",0,7,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,1,1,7,0,0,1,0,0,0,0,7,0,1,0
"abbvie-inc",3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,1,2,0,1,1,1,0,3,0,1,0
"abc",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,3,0,0,1,0,0,3,0,1,0
"abm",4,2,0,1,2,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,2,3,0,1,1,1,3,0,3,1,0,1,1,0,6,0,1,0
"accenture",8,1,0,3,1,0,4,0,0,0,1,0,0,0,0,0,3,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,8,0,0,1,0,0,9,0,1,0
"ace",8,1,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,6,1,0,1,1,8,0,1,1,0,0,0,9,0,1,0,0
"actavis",6,0,1,1,3,0,2,0,0,0,0,1,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,3,0,4,1,0,1,1,0,7,0,1,0
"activision-blizzard",14,1,0,1,6,4,3,0,0,0,1,0,0,0,0,0,1,4,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,1,1,0,2,4,0,0,0,0,0,0,0,0,8,3,4,1,0,1,1,9,1,5,1,0,1,1,0,15,0,1,0
"adidas",6,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,1,1,2,0,4,1,0,1,1,0,6,0,1,0
"adobe",5,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,5,0,0,1,0,0,0,0,5,0,1,0
"adp",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,2,0,1,0
"advance-auto-parts",9,6,1,7,1,1,0,1,1,0,1,0,1,3,0,0,7,1,1,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,1,0,3,2,0,0,0,0,1,5,10,0,1,1,1,14,0,2,1,0,0,0,15,1,1,0,0
"aecom-technology",3,1,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,3,1,0,1,1,4,0,1,1,0,0,0,3,2,1,1,1
"aes",8,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0,2,0,6,0,0,1,0,2,1,5,0,0,1,0,5,3,1,1,1
"aetna",2,3,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,0,0,1,0,4,0,1,1,0,0,0,3,2,1,1,1
"aflac",4,2,0,1,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,1,4,0,0,1,0,1,5,0,1,0
"agco-corporation",5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,5,0,0,1,0,0,5,0,1,0
"aig",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,3,0,1,0
"air-products--chemicals",5,2,0,4,1,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,1,3,3,0,1,1,1,7,0,0,1,0,0,0,7,0,1,0,0
"airbnb",7,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,2,0,5,1,0,1,1,0,7,0,1,0
"airgas",19,1,0,8,6,2,3,0,0,0,1,0,0,0,0,0,8,4,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,11,4,0,1,0,0,0,0,0,0,0,0,5,0,15,0,0,1,0,4,11,5,0,1,0,0,0,20,0,1,0
"ak-steel-holding-corporation",6,3,0,0,4,0,2,0,0,0,3,0,0,0,0,0,0,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,1,0,1,1,8,0,1,1,0,0,0,1,8,0,1,0
