name,match,ftype,style,family,ver,letter
21st-century-fox,3330,sans,grotesque,helvetica,bold,2
21st-century-fox,4153,sans,geom,futura,bold,s
21st-century-fox,3329,sans,grotesque,helvetica,bold,1
21st-century-fox,4039,sans,geom-square,eurostile,bold,t
21st-century-fox,576,sans,humanist,gillsans,bold,c
21st-century-fox,4157,sans,geom,futura,bold,e
21st-century-fox,3313,sans,grotesque,helvetica,bold,n
21st-century-fox,4039,sans,geom-square,eurostile,bold,t
21st-century-fox,3317,sans,grotesque,helvetica,bold,u
21st-century-fox,2764,sans,humanist,gillsans,cb,r
21st-century-fox,4044,sans,geom-square,eurostile,bold,y
21st-century-fox,4158,sans,geom,futura,bold,f
21st-century-fox,3709,sans,geom,bauhaus,bold,o
21st-century-fox,1831,sans,geom,futura,cb,x
3m,5733,serif,kepler,kepler,bi,m
abbott-labs,248,serif,transitional,times,cb,a
abbott-labs,4206,serif,oldstyle,bembo,bold,a
abbott-labs,3199,serif,clarendon,clarendon,bold,b
abbott-labs,3199,serif,clarendon,clarendon,bold,b
abbott-labs,3174,serif,clarendon,clarendon,bold,o
abbott-labs,2470,serif,slab,rockwell,cb,t
abbott-labs,2470,serif,slab,rockwell,cb,t
abbvie-inc,4914,sans,geom-square,eurostile,wide,v
abbvie-inc,2042,sans,geom,futura,light,i
abbvie-inc,4926,sans,geom-square,eurostile,wide,e
abc,5156,sans,grotesque,helvetica,wide,b
abc,4289,sans,geom,comfortaa,orig,a
abc,5129,sans,grotesque,helvetica,wide,c
abm,4831,sans,geom-square,eurostile,wb,a
abm,4964,sans,grotesque,helvetica,wb,m
abm,4265,sans,geom,comfortaa,orig,b
abm,2215,sans,geom,futura,orig,v
abm,894,serif,oldstyle,centaur,bold,g
abm,6040,serif,kepler,kepler,co,e
accenture,3090,serif,slab,rockwell,bold,t
accenture,1753,sans,grotesque,helvetica,orig,a
accenture,1754,sans,grotesque,helvetica,orig,c
accenture,1754,sans,grotesque,helvetica,orig,c
accenture,3527,sans,humanist,gillsans,orig,e
accenture,3529,sans,humanist,gillsans,orig,n
accenture,4561,sans,geom,bauhaus,orig,r
accenture,3527,sans,humanist,gillsans,orig,e
accenture,3538,sans,humanist,gillsans,orig,u
ace,5918,serif,kepler,kepler,cbi,c
ace,2938,sans,geom-square,eurostile,bi,e
ace,3973,sans,geom,futura,bi,h
ace,2957,sans,geom-square,eurostile,bi,d
ace,2967,sans,geom-square,eurostile,bi,a
ace,2595,sans,geom,futura,cbi,r
ace,3985,sans,geom,futura,bi,w
ace,2595,sans,geom,futura,cbi,r
ace,2660,sans,geom,futura,italic,e
actavis,3685,callig,glyphic,copperplate-gothic,bold,a
actavis,4552,sans,geom,bauhaus,orig,t
actavis,3526,sans,humanist,gillsans,orig,c
actavis,1753,sans,grotesque,helvetica,orig,a
actavis,3532,sans,humanist,gillsans,orig,s
actavis,4170,sans,geom,futura,bold,v
actavis,4160,sans,geom,futura,bold,i
activision-blizzard,1225,sans,geom-square,eurostile,co,l
activision-blizzard,1184,sans,humanist,gillsans,co,z
activision-blizzard,2036,sans,geom,futura,light,t
activision-blizzard,4891,sans,geom-square,eurostile,wide,l
activision-blizzard,2791,sans,humanist,gillsans,cb,i
activision-blizzard,3751,sans,geom,bauhaus,bold,i
activision-blizzard,3751,sans,geom,bauhaus,bold,i
activision-blizzard,4995,sans,grotesque,helvetica,wb,n
activision-blizzard,4831,sans,geom-square,eurostile,wb,a
activision-blizzard,1209,sans,humanist,gillsans,co,v
activision-blizzard,4192,sans,geom,futura,bold,i
activision-blizzard,2729,sans,geom-square,eurostile,cb,s
activision-blizzard,1788,sans,geom,futura,cb,b
activision-blizzard,1015,serif,slab,rockwell,co,o
activision-blizzard,1787,sans,geom,futura,cb,a
adidas,5157,sans,grotesque,helvetica,wide,d
adidas,90,sans,geom,comfortaa,bold,d
adidas,2684,sans,geom-square,eurostile,cb,i
adidas,2224,sans,geom,futura,orig,a
adidas,2224,sans,geom,futura,orig,a
adidas,5182,sans,grotesque,helvetica,wide,s
adobe,2703,sans,geom-square,eurostile,cb,d
adobe,4666,sans,grotesque,helvetica,cb,b
adobe,1787,sans,geom,futura,cb,a
adobe,2740,sans,humanist,gillsans,cb,o
adobe,1818,sans,geom,futura,cb,e
adp,1790,sans,geom,futura,cb,d
adp,4518,sans,geom,bauhaus,orig,r
advance-auto-parts,5016,sans,grotesque,helvetica,wbi,a
advance-auto-parts,4352,sans,grotesque,helvetica,bi,d
advance-auto-parts,2974,sans,geom-square,eurostile,bi,n
advance-auto-parts,1568,serif,transitional,times,bi,c
advance-auto-parts,4492,serif,slab,rockwell,bi,e
advance-auto-parts,4346,sans,grotesque,helvetica,bi,v
advance-auto-parts,6469,serif,kepler,kepler,wi,t
advance-auto-parts,6469,serif,kepler,kepler,wi,t
advance-auto-parts,5016,sans,grotesque,helvetica,wbi,a
advance-auto-parts,4342,sans,grotesque,helvetica,bi,p
advance-auto-parts,4373,sans,grotesque,helvetica,bi,o
advance-auto-parts,1331,serif,oldstyle,bembo,bi,s
advance-auto-parts,460,callig,casual,nadianne,bold,r
advance-auto-parts,5739,serif,kepler,kepler,bi,u
advance-auto-parts,5016,sans,grotesque,helvetica,wbi,a
advance-auto-parts,2596,sans,geom,futura,cbi,a
aecom-technology,2604,sans,geom,futura,cbi,o
aecom-technology,1462,serif,didone,bodoni,cbi,a
aecom-technology,3526,sans,humanist,gillsans,orig,c
