id,label
21st-century-fox,5
3m,2
abbott-labs,0
abbvie-inc,0
abc,3
abm,5
accenture,0
ace,2
actavis,1
activision-blizzard,2
adidas,1
adobe,3
adp,2
advance-auto-parts,0
aecom-technology,0
aes,5
aetna,0
aflac,5
agco-corporation,5
aig,2
air-products--chemicals,0
airbnb,5
airgas,2
ak-steel-holding-corporation,5
akamai-technologies,5
alaska-air-group,0
alcoa,1
allergan,0
alliance-data-systems-corp,0
allianz,0
allstate,0
ally-financial,2
alphabet,0
altria-group,5
amazon,0
ameren-corporation,5
american-airlines,0
american-electric-power-company,5
american-express,3
american-family-insurance-group,5
american-financial-group,5
ameriprise-financial,0
amerisourcebergen,0
amgen,5
anadarko,0
anixter-international,0
anthem,0
apache,5
apple,1
applied-materials,0
aramark,0
archerdanielsmidland-company,3
arrow-electronics,5
arthur-j-gallagher--co,0
asbury-automotive-group,2
ashland,5
assurant,0
att,1
audi,5
autoliv,3
autonation,0
autoowners-insurance-group,0
autozone,0
avery-dennison-corporation,5
avis-budget-group,0
avnet,0
avon,0
bacardi,1
baker-hughes,2
ball-corp,3
bank-of-america,0
barnes-noble,0
baxalta-incorporated,0
baxter-international,0
bbt,5
bcg,5
becton-dickinson-and-company,5
bed-bath-and-beyond,5
berkshire-hathaway,0
best-buy,2
big-lots,2
biogen-idec-inc,5
black-and-decker,0
blackrock,0
blackstone,5
bmw,3
bnsf-railway,0
boeing,0
bond-street,1
booking,0
booz-allen-hamilton-holding-corp,0
borgwarner-inc,0
boston-scientific-corp,5
bristol-myers-squibb,0
broadcom,1
budweiser,5
buick,0
burberry,5
burger-king,3
burlington-stores,0
cabelas-inc,0
cablevision-systems-corporation,0
cadbury,2
cadillac,2
calpine-corporation,0
calvin-klein,0
camel,2
cameron-international-corporation,0
campbells,5
canon,0
capital-one,5
cardinal-health,5
carefree,0
carrier,5
cartier,0
caseys-general,3
caterpillar,2
cbi,1
cbre,0
cbs,5
cdw-corporation,5
celanese-corporation,0
celgene,2
centene-corporation,0
centerpoint-energy,5
centurylink,0
cerner-corp,0
ch-robinson,0
ch2m-hill-companies,0
charles-schwab,4
charter-communications,5
chase,0
chesapeake-energy-corporation,0
chesterfield,2
chevrolet,5
chipotle-mexican,5
chs,2
chubb,0
cigna,0
cincinnati-financial-corporation,5
cinemark,0
cintas-corp,5
cisco,2
citi,3
citizens,0
clinique,5
clorox,2
cme,0
cms-energy-corporation,5
coach,5
coca-cola,5
cognizant,0
colgate,0
comcast-corporation,5
commercial-metals-company,5
community-health-systems,0
conagra-foods,2
conocophillips,0
cons-edison-inc,0
constellation-brands,0
coors,5
coremark-holding-company,0
corning,0
costco,5
courtyard,5
crown-holdings-inc,5
csc,2
cst-brands,5
csx,2
cummins,3
dana-holding-corporation,0
danaher,1
danone,5
darden-restaurants,0
davita-healthcar,5
dean-foods-company,3
deere--company,0
delek-us-holdings,3
dell,3
deloitte,0
delta,0
devon,5
dhl,0
dicks-sporting,2
dillards,5
dior,5
directv,0
discover,0
discovery-media,0
dish-networks,2
disney,5
dollar-general,0
dollar-tree,1
dominion,5
dominos-pizza,0
domtar-corporation,1
doritos-tortilla-chips,2
doubletree,1
dover-corporation,5
dow,0
dr-horton,5
dr-pepper,2
dte-energy-co,0
du-pont,5
duke-energy,5
eastman-chemical-company,0
eaton,5
ecolab-inc,0
edison-international,5
electronic-arts,3
eli-lilly-and-company,5
emc-corporation,5
emc2,5
emcor-group,0
emerson,1
energy-future-holdings-corp,0
energy-transfer-equity,1
entergy,5
enterprise,0
envision-healthcare-holdings,0
eog-resources,0
equinix,1
erie-insurance-group,5
espn,0
essendant,0
esso,1
estee-lauder,0
eversource-energy,0
exelon,0
expedia,0
expeditors-international-of-washington,0
express-scripts,0
exxonmobil,0
facebook,4
family-dollar,0
fannie-mae,0
fanta,3
farmers-insurance-exchange,5
fastenal-co,0
fedex,5
fidelity-national,5
fifth-third-bank,0
first-american-financial-corporation,3
first-data-corp,0
firstenergy-corp,0
fiserv-inc,2
florida-power-and-light,1
flowers-foods,0
fluor,0
fmc-technologies,0
folgers,1
food-4-less,0
foot-locker,1
ford,5
fossil,0
fox,2
franklin-templeton-investments,1
freddie-mac,5
freeport-mcmoran,0
frontier,0
gamestop,0
gap,4
garmin,5
gatorade,3
ge,3
geico,0
general-dynamics,0
general-mills,2
general-motors,4
gilead-sciences,0
gillette,0
global-partners-lp,5
gmc,0
goldman-sachs,4
goodyear,0
graybar-electric-company,5
grey-goose,1
group-1-automotive,5
guardian-life-ins-co-of-america,1
gucci,3
halliburton,0
hanesbrands,2
harley-davidson,2
harman-international-industries,5
harman-intl,5
harris-corp,0
hbo,5
hca-holdings,5
hcl-technologies,0
hd-supply,0
health-net-inc,0
heineken,1
heinz,0
henry-schein-inc,0
hermes,2
hersheys,5
hertz,5
hess,2
hp-enterprise,5
hilton,1
hm,2
hollyfrontier-corporation,5
honda,1
hormel,5
host-hotels-and-resorts,1
hp,3
hrg-group,0
hsbc,0
humana-inc,0
huntington-ingalls-industries,5
huntsman-corporation,0
hyatt,0
hyatt-regency,5
hyundai,1
ibm,5
icahn-enterprises-lp,0
iheartmedia,0
ikea,5
illinois-tool-works,5
infosys,5
ingersoll-rand,0
ingram-micro,0
ingredion-incorporated,1
insight-enterprises,5
intel,2
international-paper,0
intl-fcstone,0
invesco,1
iron-mountain-inc,0
jabil,0
jack-daniels,2
jack-in-the-box,3
jacobs-engineering,0
jarden-corporation,5
jb-hunt-transport-services,5
jc-penney,0
jetblue-airways-corporation,5
john-hancock,5
johnnie-walker,1
johnson-controls,5
johnson-johnson,0
johnsons,5
jones-lang-lasalle-incorporated,5
jp-morgan,0
kelloggs,5
kelly-services,2
kenworth,0
keycorp,5
kfc,3
kia,5
kimberlyclark-corporation,0
kinder-morgan,0
kindred-healthcare,5
kitchenaid,0
kkr,0
kohls,0
kraft,5
kroger,1
l-brands,0
l3-communications-holdings,1
laboratory-corp-of-america,0
lam-research-corporation,5
land-olakes,1
landrover,5
lansing-trade-group,5
las-vegas-sands,5
lawson-software,0
lear-corporation,5
lee,2
lego,4
lennar,0
lenovo,5
leucadia-national-corporation,1
level-3,5
levis,2
liberty-interactive-corporation,5
liberty-mutual-holding-company,0
lifepoint-health,0
lilly,5
lincoln,0
linkedin,5
listerine,0
lithia-motors,5
live-nation-entertainment,0
lkq-corporation,0
lm,4
lockheed-martin,0
loews-corporation,1
loreal,0
louis-vuitton,3
lowes,5
lyondellbasell,5
mac,0
macys,0
marathon-petroleum,3
markel-corporation,3
marriott,5
mars,0
marshalls,0
masco,5
massachusetts-mutual-life-insurance-company,0
mastercard,3
mattel,3
max-factor,0
maytag,5
mccormick,1
mcdonalds,4
mckesson,0
mckinsey,0
mclane-company,1
medtronic,0
mercedes-benz,1
merck,0
metlife,0
mgm-resorts-international,0
michael-kors,1
michaels,5
micron-technology,0
mini,5
minute-maid,2
mobil,5
moet,0
mohawk-industries,5
molina-healthcare,5
mondelez-international,0
monsanto-company,5
monster-beverage,3
moodys,0
morgan-stanley,0
mosaic,2
motorola,1
mountain-dew,1
mt-bank,0
mtv,2
murphy-usa,5
mutual-of-omaha-insurance-company,0
national-oilwell-varco,5
nationwide-mutual-insurance-co,5
navient-corporation,0
navistar-international-corporation,0
ncr-corporation,0
nestle,0
netapp,0
netflix,5
neutrogena,0
new-york-life-insurance-company,4
newell-brands,5
newmont-mining-corporation,5
newport,0
news-corporation,0
nextera-energy,5
ngl-energy-partners-lp,2
nielsen,5
nike,2
nisource,0
nissan,3
nordstrom,0
norfolk,5
northrop-grumman-corporation,0
northwestern-mutual-life-insurance-company,0
norwegian-cruise,5
nrg-energy,2
nucor-corporation,5
nvidia,0
nvr,5
occidental-petroleum-corporation,3
office-depot,5
old-navy,5
old-republic-international-corporation,5
omnicom-group,0
oneok,0
optumhealth,0
oracle,0
oral-b,5
oreilly-auto-parts,2
oshkosh-corporation,5
otis,0
owens-corning,3
owens-minor,0
owensillinois,2
paccar-inc,0
pacific-life,1
packaging-corporation-of-america,5
panasonic,0
panera-bread,5
paramount,3
parker-hannifin,5
parliament,0
patterson-companies,5
pbf-energy,2
peabody-energy-corporation,5
pedigree,5
penske-automotive-group,2
performance-food-group-company,0
petsmart,0
pfizer,1
pge,4
philadelphia-insurance-companies,0
philip-morris,1
phillips,3
pitney-bowes-inc,0
pizza-hut,3
plains-gp-holdings,0
pnc,5
polaris-inds,0
porsche,1
ppg,3
ppl-corporation,2
prada,0
pratt-and-whitney,0
praxair,5
precision-castparts-corp,5
priceline,0
principal-financial-group,0
progressive,0
prudential,0
pseg,0
publix,0
pultegroup,0
purina,0
pvh-corp,3
quaker-foods-and-snacks,4
qualcomm,0
quanta-services-inc,5
quest-diagnostic,5
