name,index,ncolors,nregions,frac,pcm,h_sym,v_sym,rep_frac,rep_pcm,h_pos,v_pos,avg_left,avg_right,avg_top,avg_bot,abs_left,abs_right,abs_top,abs_bot,ch_density,ch_entropy,ar,ncorners,down_diag,vert,up_diag,hor
21st-century-fox,1,1,4,0.1213031045751634,6.014872365208943,0.2217103960060324,0.3498674807637103,0.1505842663957918,0.2607193637911369,0.2407894736842105,0.4972826086956522,True,False,False,False,True,False,False,False,0.7080352885073915,0.5861066803689174,1.0,14,0.2053903345724907,0.3754646840148699,0.283457249070632,0.13568773234200746
abbott-labs,1,2,5,0.10835591689250226,10.038968379995287,0.7656406720525405,0.4869473996984735,0.3721853926186096,5.36701940764845,0.2275,0.5,True,False,False,False,True,False,False,False,0.588495032503373,0.8862585819609577,1.2345679012345678,13,0.03142857142857143,0.2885714285714286,0.03142857142857143,0.6485714285714286
abbvie-inc,1,1,3,0.12282673077593115,34.82302762007062,0.6723746353259192,-0.07565057359114602,0.009323190074812695,1.6634749562525546,0.3032638259292837,0.4921875,True,False,False,False,False,False,False,False,0.32034986085079803,0.2798945684689305,3.4244186046511627,13,0.1443011502265598,0.3150923666782851,0.11397699546880448,0.42662948762635067
abc,1,2,6,0.5310617283950617,1.1822634180683878,1.0,0.9986155104876856,0.2655973999174983,2.9224192835547003,0.4981132075471698,0.4981132075471698,False,False,False,False,False,False,False,False,0.9949668776137078,0.7401082131435336,1.0,104,0.20881226053639848,0.29118773946360155,0.20881226053639848,0.29118773946360155
abm,1,1,1,0.011890470473903849,1.2862474006609426,0.92498939516403,0.92498939516403,0.0,0.0,0.6834532374100719,0.2727272727272727,False,True,True,False,False,False,True,False,0.9788235294117648,1.2551383555212374,1.0,4,0.2153846153846154,0.2923076923076923,0.2,0.2923076923076923
abm,2,1,1,0.04344594980849482,4.104522216580459,0.5610071591886064,0.6470486009227898,0.0,0.0,0.4586330935251798,0.4759358288770054,False,False,False,False,False,False,False,False,0.7810894141829393,1.4642345774520884,1.0227272727272727,15,0.08237547892720308,0.314176245210728,0.10919540229885058,0.4942528735632184
accenture,1,1,1,0.012343522561863171,3.142653236559247,-0.1179410146516694,0.9257444383865954,0.0,0.0,0.6104417670682731,0.3236842105263158,False,False,True,False,False,False,True,False,0.7681159420289855,1.2041321691027267,0.975609756097561,7,0.159375,0.2,0.159375,0.48125
ace,1,1,2,0.08044364937388193,3.754836308623727,0.3126787487908182,0.3632729289581675,0.2057463084860345,0.04565502039650271,0.2534246575342466,0.3980392156862745,True,False,False,False,False,False,False,False,0.8630431444802702,0.7152970814742718,0.8512396694214877,7,0.10722100656455144,0.5361050328227571,0.15536105032822758,0.2013129102844639
ace,2,1,1,0.008085867620751341,4.978028591716769,0.2437087531544076,0.13499026993289184,0.0,0.0,0.6684931506849315,0.7784313725490196,False,False,False,True,False,False,False,False,0.7027363184079602,1.5069222325759908,1.0344827586206895,19,0.09580838323353294,0.2634730538922156,0.2215568862275449,0.41916167664670656
actavis,1,2,2,0.10030028501628664,4.877137550650385,-0.2260972049499116,-0.2247174798508596,0.06452022124118331,0.15751931566950228,0.5237003058103975,0.28194444444444444,False,False,True,False,False,False,True,False,0.7305382562277579,0.6842636921013009,2.107438016528925,9,0.14842903575297942,0.4452871072589382,0.23185265438786565,0.1744312026002167
activision-blizzard,1,4,18,0.2203294128953976,48.89826920043666,-0.08570227999152345,0.1571877105117369,0.054539924431770914,2.693578659987132,0.5543766578249337,0.5069686411149826,False,False,False,False,False,False,False,False,0.4489596083231334,1.8172459367430815,1.2537313432835822,129,0.1241634378302219,0.4910179640718562,0.12275449101796408,0.2620641070799577
