"","global.domcolor","global.hull_type","global.bm_label","formfactor","ncolors"
"21st-century-fox",8,1,2,1,1
"3m",10,2,8,2,0
"abbott-labs",2,3,1,2,2
"abbvie-inc",3,3,14,1,0
"abc",0,0,2,1,0
"abm",1,1,0,1,2
"accenture",0,3,9,1,2
"ace",10,2,3,1,1
"actavis",6,5,6,1,1
"activision-blizzard",2,2,4,1,2
"adidas",0,5,4,1,1
"adobe",10,0,11,1,1
"adp",10,2,6,1,0
"advance-auto-parts",10,3,4,1,1
"aecom-technology",0,3,13,1,1
"aes",3,1,5,1,3
"aetna",6,3,6,2,0
"aflac",2,1,12,1,2
"agco-corporation",0,1,15,1,3
"aig",2,2,9,1,0
"air-products--chemicals",6,3,15,1,0
"airbnb",10,1,12,1,0
"airgas",2,2,11,1,2
"ak-steel-holding-corporation",11,1,8,1,2
"akamai-technologies",9,1,13,1,1
"alaska-air-group",3,3,15,1,0
"alcoa",3,5,10,1,0
"allergan",3,3,13,1,1
"alliance-data-systems-corp",10,3,5,1,2
"allianz",3,3,11,1,0
"allstate",2,3,15,1,0
"ally-financial",0,2,8,1,1
"alphabet",10,3,8,1,0
"altria-group",3,1,10,2,3
"amazon",0,3,14,1,2
"ameren-corporation",0,1,12,1,3
"american-airlines",7,3,12,1,2
"american-electric-power-company",7,1,1,1,1
"american-express",3,0,10,1,0
"american-family-insurance-group",3,1,15,1,1
"american-financial-group",1,1,14,2,2
"ameriprise-financial",3,3,5,2,0
"amerisourcebergen",0,3,3,1,3
"amgen",3,1,6,1,0
"amphenol-corporation",3,3,8,1,0
"anadarko",3,3,7,1,0
"anixter-international",7,3,3,1,1
"anthem",3,3,6,2,1
"apache",12,1,4,2,0
"apple",0,5,3,0,0
"applied-materials",2,3,12,1,0
"aramark",0,3,4,1,2
"archerdanielsmidland-company",3,0,13,1,1
"arrow-electronics",3,1,15,1,1
"arthur-j-gallagher--co",0,3,3,2,2
"asbury-automotive-group",11,2,14,1,1
"ashland",7,1,8,2,3
"assurant",7,3,2,1,3
"att",2,5,5,0,0
"audi",0,1,7,1,1
"autoliv",3,0,4,1,2
"autonation",0,3,14,1,2
"autoowners-insurance-group",3,3,4,2,0
"autozone",10,3,15,1,2
"avery-dennison-corporation",10,1,3,1,3
"avis-budget-group",3,3,6,1,2
"avnet",0,3,7,1,1
"avon",0,3,8,1,1
"bacardi",0,5,3,1,3
"baker-hughes",0,2,13,1,2
"ball-corp",2,0,10,1,0
"bank-of-america",3,3,7,1,1
"barnes-noble",5,3,8,1,1
"baxalta-incorporated",1,3,12,1,2
"baxter-international",1,3,3,1,0
"bbt",11,1,15,2,1
"bcg",5,1,4,2,0
"becton-dickinson-and-company",9,1,14,1,1
"bed-bath-and-beyond",1,1,6,1,0
"best-buy",12,2,8,1,1
"big-lots",0,2,11,1,2
"biogen-idec-inc",3,1,7,1,0
"black-and-decker",0,3,4,1,2
"blackrock",0,3,12,1,1
"blackstone",0,1,6,2,0
"bmw",0,0,14,1,2
"bnsf-railway",9,3,14,1,1
"boeing",3,3,14,1,1
"bond-street",2,5,13,1,2
"booking",1,3,8,1,1
"booz-allen-hamilton-holding-corp",0,3,8,1,1
"borgwarner-inc",3,3,10,1,0
"boston-scientific-corp",3,1,12,2,0
"bristol-myers-squibb",3,3,15,2,0
"broadcom",0,5,15,1,2
"budweiser",10,1,7,0,0
"buick",0,3,4,1,3
"burberry",0,1,14,1,3
"burger-king",10,0,5,1,2
"burlington-stores",10,3,5,2,0
"cabelas-inc",12,3,15,1,3
"cablevision-systems-corporation",3,3,15,1,0
"cadbury",1,2,6,2,0
"cadillac",8,2,7,2,3
"calpine-corporation",0,3,15,2,1
"calvin-klein",0,3,8,1,1
"camel",0,2,4,2,1
"cameron-international-corporation",0,3,8,1,3
"campbells",10,1,6,1,3
"canon",10,3,8,2,0
"capital-one",3,1,14,1,1
"cardinal-health",0,1,14,1,2
"carefree",11,3,15,2,0
"carmax",3,3,15,1,1
"carnival",0,3,4,2,2
"carrier",1,1,7,2,0
"cartier",0,3,14,1,1
"caseys-general",10,0,3,2,3
"caterpillar",0,2,8,1,2
"cbi",2,5,9,2,0
"cbre",5,3,8,1,1
"cbs",0,1,2,1,0
"cdw-corporation",0,1,6,1,1
"celanese-corporation",0,3,5,1,2
"celgene",1,2,12,2,1
"centene-corporation",3,3,12,1,1
"centerpoint-energy",0,1,15,1,3
"centurylink",0,3,5,1,3
"cerner-corp",2,3,13,1,1
"ch-robinson",0,3,14,1,2
"ch2m-hill-companies",1,3,15,0,0
"charles-schwab",2,4,10,2,0
"charter-communications",3,1,8,1,1
"chase",0,3,5,1,3
"chesapeake-energy-corporation",3,3,14,1,2
"chesterfield",0,2,14,1,2
"chevrolet",4,1,7,1,2
"chevron",3,5,1,1,1
"chipotle-mexican",10,1,14,2,2
"chs",3,2,14,2,2
"chubb",0,3,1,1,1
"ciel",3,2,2,1,1
"cigna",2,3,12,1,1
"cincinnati-financial-corporation",3,1,14,1,2
"cinemark",10,3,14,1,0
"cintas-corp",1,1,7,1,0
"cisco",2,2,11,1,0
"citi",2,0,10,1,0
"citizens",5,3,1,1,0
"clinique",0,1,14,1,1
"clorox",3,2,6,1,3
"cme",0,3,9,1,3
"cms-energy-corporation",3,1,14,1,2
"coach",0,1,14,1,1
"coca-cola",10,1,15,2,0
"cognizant",0,3,2,1,3
"colgate",10,3,7,1,0
"comcast-corporation",0,1,3,1,2
"commercial-metals-company",3,1,7,1,2
"community-health-systems",5,3,3,2,1
"conagra-foods",10,2,7,1,1
"conocophillips",0,3,15,1,1
"cons-edison-inc",2,3,8,1,0
"constellation-brands",1,3,8,1,3
"coors",1,1,7,1,1
"coremark-holding-company",6,3,5,1,3
"corning",1,3,15,2,0
"costco",10,1,7,1,2
"courtyard",0,1,15,1,1
"crown-holdings-inc",5,1,14,1,1
"csc",10,2,9,1,0
"cst-brands",3,1,7,1,2
"csx",3,2,6,2,0
"cummins",10,0,1,1,0
"cvs",10,3,9,1,0
"dana-holding-corporation",0,3,14,1,2
"danaher",3,5,14,1,1
"danone",1,1,6,1,3
"darden-restaurants",0,3,14,1,2
"davita-healthcar",3,1,14,2,0
"dean-foods-company",3,0,14,1,2
"deere--company",5,3,2,1,2
"delek-us-holdings",10,0,2,1,2
"dell",2,0,15,1,0
"deloitte",1,3,2,1,1
"delta",3,3,4,1,2
"devon",7,1,7,2,1
"dhl",12,3,7,0,2
"dicks-sporting",5,2,6,1,2
"dillards",0,1,8,2,1
"dior",0,1,8,1,2
"directv",0,3,5,1,2
"discover",0,3,8,1,2
"discovery-media",0,3,3,1,2
"dish-networks",0,2,14,2,2
"disney",0,1,15,1,1
"dollar-general",12,3,7,1,1
"dollar-tree",6,5,13,1,3
"dominion",7,1,5,1,1
"dominos-pizza",3,3,4,1,1
"domtar-corporation",3,5,14,2,1
"doritos-tortilla-chips",0,2,7,1,3
"doubletree",7,5,13,1,1
"dover-corporation",1,1,6,1,0
"dow",10,3,7,1,0
"dr-horton",3,1,14,2,1
"dr-pepper",11,2,12,1,0
"dte-energy-co",3,3,4,1,0
"du-pont",10,1,6,1,0
"duke-energy",3,1,12,1,2
"eastman-chemical-company",10,3,8,1,0
"eaton",3,1,9,1,0
"ebay",3,3,8,1,3
"ecolab-inc",3,3,9,1,0
"edison-international",7,1,10,1,2
"electronic-arts",0,0,8,1,1
"eli-lilly-and-company",10,1,15,1,0
"emc-corporation",3,1,8,2,0
"emc2",3,1,8,2,0
"emcor-group",2,3,15,2,0
"emerson",3,5,4,1,1
"energy-future-holdings-corp",0,3,8,1,1
"energy-transfer-equity",0,5,4,1,2
"entergy",10,1,2,1,1
"enterprise",0,3,7,1,2
"envision-healthcare-holdings",3,3,10,1,2
"eog-resources",0,3,4,1,2
"equinix",10,5,13,1,2
"erie-insurance-group",3,1,0,1,3
"espn",10,3,15,2,0
"essendant",3,3,8,1,1
"esso",3,5,9,1,1
"estee-lauder",8,3,14,1,3
"eversource-energy",0,3,9,1,3
"exelon",3,3,7,1,2
"expedia",3,3,2,1,1
"expeditors-international-of-washington",0,3,14,1,3
"express-scripts",3,3,2,1,3
"exxonmobil",10,3,0,1,1
"facebook",3,4,10,0,0
"family-dollar",9,3,2,1,1
"fannie-mae",1,3,5,1,3
"fanta",9,0,2,1,2
"farmers-insurance-exchange",1,1,4,1,3
"fastenal-co",3,3,15,2,0
"fedex",1,1,6,1,1
"fidelity-national",2,1,3,1,2
"fifth-third-bank",1,3,14,1,1
"first-american-financial-corporation",3,0,4,2,0
"first-data-corp",3,3,8,1,0
"firstenergy-corp",0,3,14,1,3
"fiserv-inc",9,2,10,1,0
"florida-power-and-light",2,5,5,1,0
"flowers-foods",11,3,13,2,1
"fluor",3,3,0,1,0
"fmc-technologies",10,3,9,1,0
"folgers",10,5,4,1,3
"food-4-less",0,3,3,1,2
"foot-locker",0,5,4,1,2
"ford",3,1,7,1,0
"fossil",0,3,14,1,2
"fox",3,2,9,1,0
"franklin-templeton-investments",0,5,4,2,1
"freddie-mac",2,1,3,2,3
"freeport-mcmoran",0,3,1,1,2
"frontier",10,3,8,1,0
"gamestop",0,3,11,1,1
"gap",1,4,10,1,0
"garmin",0,1,3,1,1
"gatorade",0,0,8,2,2
"ge",3,0,5,1,0
"geico",3,3,8,1,0
"general-dynamics",1,3,15,1,3
"general-mills",2,2,3,1,0
"general-motors",3,4,10,1,0
"gilead-sciences",7,3,12,1,1
"gillette",0,3,7,1,0
"global-partners-lp",1,1,15,2,1
"gmc",10,3,13,1,3
"goldman-sachs",2,4,10,1,0
"goodyear",0,3,1,1,1
"google",3,3,8,1,3
"graybar-electric-company",0,1,4,1,3
"grey-goose",7,5,12,1,1
"group-1-automotive",0,1,0,1,1
"guardian-life-ins-co-of-america",4,5,3,1,2
"gucci",0,0,13,2,1
"halliburton",10,3,8,1,0
"hanesbrands",10,2,9,1,0
"harley-davidson",0,2,9,1,3
"harman-international-industries",3,1,14,1,2
"harman-intl",3,1,14,1,1
"harris-corp",0,3,13,1,1
"hbo",0,1,9,1,1
"hca-holdings",1,1,14,2,3
"hcl-technologies",3,3,15,0,0
"hd-supply",0,3,2,1,2
"health-net-inc",5,3,13,1,1
"heineken",5,5,4,2,2
"heinz",10,3,6,2,0
"henry-schein-inc",0,3,1,2,3
"hermes",9,2,15,1,0
"hersheys",0,1,12,1,2
"hertz",12,1,6,1,1
"hess",5,2,14,1,0
"hilton",1,5,4,2,0
"hm",10,2,12,1,0
"holiday-inn",6,5,12,1,0
"hollyfrontier-corporation",0,1,15,1,1
"honda",10,5,3,1,2
"honeywell",10,3,10,2,0
"hormel",10,1,14,1,1
"host-hotels-and-resorts",3,5,3,1,1
"hp",2,0,5,0,0
"hp-enterprise",0,1,15,1,3
"hrg-group",3,3,8,1,1
"hsbc",0,3,13,2,2
"humana-inc",6,3,11,1,0
"huntington-ingalls-industries",3,1,8,1,1
"huntsman-corporation",3,3,14,1,2
"hyatt",3,3,14,1,2
"hyatt-regency",3,1,2,1,0
"hyundai",3,5,15,1,1
"ibm",3,1,7,2,0
"icahn-enterprises-lp",2,3,15,1,0
"iheartmedia",0,3,13,1,2
"ikea",12,1,6,1,2
"illinois-tool-works",11,1,9,1,0
"infosys",2,1,15,1,0
"ingersoll-rand",10,3,14,1,1
"ingram-micro",3,3,7,1,0
"ingredion-incorporated",7,5,3,1,1
"insight-enterprises",7,1,4,1,3
"intel",2,2,14,1,0
"international-paper",0,3,4,1,3
"intl-fcstone",3,3,14,1,3
"invesco",1,5,4,1,0
"iron-mountain-inc",0,3,14,1,2
"itw",10,1,9,1,0
"jabil",3,3,4,1,1
"jack-daniels",0,2,14,2,1
"jack-in-the-box",10,0,1,1,1
"jacobs-engineering",3,3,8,1,0
"jarden-corporation",3,1,2,1,0
"jb-hunt-transport-services",12,1,7,1,3
"jc-penney",10,3,8,1,0
"jetblue-airways-corporation",3,1,8,1,0
"jm-smucker",0,1,14,1,3
"john-hancock",0,1,14,1,1
"johnnie-walker",0,5,4,1,1
"johnson-controls",1,1,14,1,3
"johnson-johnson",10,3,14,1,0
"johnsons",2,1,15,2,0
"jones-lang-lasalle-incorporated",10,1,8,2,2
"jp-morgan",0,3,15,2,1
"kelloggs",10,1,15,1,1
"kelly-services",5,2,8,1,0
"kenworth",10,3,7,1,0
"keycorp",0,1,4,1,3
"kfc",10,0,2,1,2
"kia",10,1,6,1,0
"kimberlyclark-corporation",7,3,15,1,2
"kinder-morgan",0,3,14,1,2
"kindred-healthcare",0,1,5,1,1
"kitchenaid",10,3,15,1,0
"kkr",1,3,8,1,0
"kohls",7,3,7,1,1
"kraft",10,1,6,1,1
"kroger",3,5,9,1,0
"l-brands",7,3,8,1,0
"l3-communications-holdings",10,5,3,1,2
"laboratory-corp-of-america",2,3,12,1,0
"lam-research-corporation",0,1,8,2,1
"land-olakes",10,5,7,1,2
"landrover",5,1,6,1,2
"lansing-trade-group",4,1,14,1,1
"las-vegas-sands",4,1,15,1,0
"lawson-software",0,3,9,1,2
"lear-corporation",10,1,5,1,2
"lee",0,2,15,0,1
"lego",10,4,10,1,3
"lennar",3,3,8,1,0
"lenovo",10,1,6,1,0
"leucadia-national-corporation",0,5,4,2,1
"level-3",0,1,12,1,3
"levis",10,2,6,1,1
"liberty-interactive-corporation",0,1,14,1,2
"liberty-mutual-holding-company",7,3,14,2,2
"lifepoint-health",3,3,8,2,1
